* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 30, 2020 1:51:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AKG N400 (R)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 99.946 -107.346
20.508 100.088 -108.397
20.874 100.220 -109.519
21.240 100.333 -110.706
21.606 100.427 -111.899
21.973 100.511 -113.068
22.339 100.593 -114.242
22.705 100.674 -115.480
23.071 100.744 -116.791
23.438 100.794 -118.111
23.804 100.830 -119.339
24.170 100.871 -120.422
24.536 100.928 -121.402
24.902 101.006 -122.388
25.269 101.093 -123.467
25.635 101.175 -124.637
26.001 101.242 -125.821
26.367 101.298 -126.941
26.733 101.354 -127.987
27.100 101.421 -129.020
27.466 101.488 -130.107
27.832 101.542 -131.246
28.198 101.576 -132.358
28.564 101.598 -133.351
28.931 101.624 -134.204
29.297 101.671 -135.011
29.663 101.735 -135.911
30.029 101.800 -136.987
30.396 101.845 -138.199
30.762 101.859 -139.414
31.128 101.852 -140.498
31.494 101.844 -141.412
31.860 101.853 -142.230
32.227 101.879 -143.079
32.593 101.907 -144.031
32.959 101.921 -145.055
33.325 101.915 -146.043
33.691 101.897 -146.891
34.058 101.886 -147.573
34.424 101.894 -148.156
34.790 101.924 -148.752
35.156 101.966 -149.444
35.522 102.004 -150.247
35.889 102.031 -151.116
36.255 102.042 -151.988
36.621 102.042 -152.816
36.987 102.037 -153.585
37.354 102.031 -154.306
37.720 102.029 -155.004
38.086 102.032 -155.710
38.452 102.038 -156.452
38.818 102.041 -157.250
39.185 102.033 -158.099
39.551 102.010 -158.960
39.917 101.969 -159.765
40.283 101.919 -160.444
40.649 101.871 -160.969
41.016 101.843 -161.382
41.382 101.841 -161.792
41.748 101.858 -162.319
42.114 101.877 -163.019
42.480 101.877 -163.846
42.847 101.850 -164.670
43.213 101.804 -165.361
43.579 101.761 -165.871
43.945 101.740 -166.276
44.312 101.745 -166.735
44.678 101.759 -167.370
45.044 101.756 -168.179
45.410 101.718 -169.029
45.776 101.649 -169.742
46.143 101.570 -170.205
46.509 101.509 -170.449
46.875 101.481 -170.626
47.241 101.479 -170.903
47.607 101.483 -171.353
47.974 101.469 -171.924
48.340 101.435 -172.500
48.706 101.387 -172.986
49.072 101.341 -173.366
49.438 101.305 -173.695
49.805 101.280 -174.042
50.171 101.256 -174.442
50.537 101.229 -174.882
50.903 101.193 -175.322
51.270 101.153 -175.728
51.636 101.113 -176.091
52.002 101.077 -176.426
52.368 101.046 -176.759
52.734 101.018 -177.118
53.101 100.988 -177.509
53.467 100.952 -177.916
53.833 100.910 -178.301
54.199 100.864 -178.623
54.565 100.823 -178.877
54.932 100.794 -179.107
55.298 100.776 -179.383
55.664 100.761 -179.752
56.030 100.734 179.801
56.396 100.691 179.359
56.763 100.637 179.007
57.129 100.585 178.778
57.495 100.549 178.613
57.861 100.529 178.408
58.228 100.515 178.090
58.594 100.490 177.678
58.960 100.446 177.268
59.326 100.388 176.958
59.692 100.334 176.782
60.059 100.296 176.682
60.425 100.276 176.555
60.791 100.263 176.333
61.157 100.245 176.025
61.523 100.214 175.699
61.890 100.173 175.424
62.256 100.134 175.223
62.622 100.102 175.061
62.988 100.079 174.884
63.354 100.059 174.657
63.721 100.035 174.384
64.087 100.004 174.098
64.453 99.967 173.833
64.819 99.925 173.612
65.186 99.885 173.438
65.552 99.850 173.299
65.918 99.821 173.170
66.284 99.799 173.018
66.650 99.778 172.820
67.017 99.752 172.582
67.383 99.718 172.346
67.749 99.678 172.167
68.115 99.640 172.074
68.481 99.617 172.033
68.848 99.611 171.955
69.214 99.613 171.756
69.580 99.607 171.425
69.946 99.579 171.040
70.312 99.530 170.728
70.679 99.474 170.576
71.045 99.432 170.564
71.411 99.415 170.575
71.777 99.416 170.474
72.144 99.416 170.215
72.510 99.395 169.868
72.876 99.350 169.567
73.242 99.296 169.415
73.608 99.252 169.409
73.975 99.230 169.445
74.341 99.226 169.399
74.707 99.222 169.219
75.073 99.202 168.961
75.439 99.163 168.740
75.806 99.115 168.649
76.172 99.077 168.693
76.538 99.061 168.783
76.904 99.066 168.798
77.271 99.077 168.660
77.637 99.077 168.384
78.003 99.054 168.060
78.369 99.012 167.795
78.735 98.961 167.654
79.102 98.917 167.622
79.468 98.888 167.626
79.834 98.870 167.584
80.200 98.852 167.466
80.566 98.825 167.311
80.933 98.788 167.192
81.299 98.750 167.156
81.665 98.724 167.181
82.031 98.713 167.185
82.397 98.712 167.091
82.764 98.705 166.887
83.130 98.682 166.636
83.496 98.645 166.434
83.862 98.604 166.335
84.229 98.573 166.314
84.595 98.557 166.284
84.961 98.548 166.173
85.327 98.533 165.980
85.693 98.505 165.773
86.060 98.466 165.632
86.426 98.430 165.583
86.792 98.405 165.582
87.158 98.393 165.551
87.524 98.384 165.443
87.891 98.368 165.279
88.257 98.342 165.122
88.623 98.312 165.022
88.989 98.286 164.974
89.355 98.270 164.928
89.722 98.258 164.834
90.088 98.244 164.682
90.454 98.221 164.509
90.820 98.189 164.366
91.187 98.155 164.280
91.553 98.124 164.243
91.919 98.100 164.223
92.285 98.081 164.192
92.651 98.064 164.144
93.018 98.048 164.082
93.384 98.032 164.011
93.750 98.016 163.926
94.116 97.999 163.827
94.482 97.978 163.721
94.849 97.954 163.626
95.215 97.929 163.555
95.581 97.905 163.507
95.947 97.883 163.465
96.313 97.863 163.413
96.680 97.841 163.348
97.046 97.816 163.283
97.412 97.786 163.244
97.778 97.755 163.256
98.145 97.728 163.323
98.511 97.712 163.424
98.877 97.709 163.509
99.243 97.717 163.519
99.609 97.727 163.415
99.976 97.727 163.203
100.342 97.708 162.948
100.708 97.670 162.743
101.074 97.624 162.661
101.440 97.586 162.704
101.807 97.568 162.794
102.173 97.567 162.816
102.539 97.571 162.703
102.905 97.562 162.477
103.271 97.533 162.235
103.638 97.487 162.084
104.004 97.440 162.071
104.370 97.407 162.153
104.736 97.392 162.232
105.103 97.387 162.233
105.469 97.380 162.143
105.835 97.363 162.013
106.201 97.336 161.908
106.567 97.306 161.862
106.934 97.279 161.861
107.300 97.260 161.871
107.666 97.245 161.863
108.032 97.230 161.833
108.398 97.216 161.794
108.765 97.201 161.750
109.131 97.189 161.693
109.497 97.176 161.609
109.863 97.161 161.498
110.229 97.140 161.379
110.596 97.114 161.280
110.962 97.086 161.216
111.328 97.060 161.181
111.694 97.038 161.149
112.061 97.017 161.104
112.427 96.992 161.056
112.793 96.963 161.039
113.159 96.934 161.085
113.525 96.913 161.194
113.892 96.906 161.318
114.258 96.912 161.383
114.624 96.923 161.339
114.990 96.924 161.194
115.356 96.909 161.013
115.723 96.879 160.876
116.089 96.842 160.830
116.455 96.810 160.862
116.821 96.788 160.916
117.188 96.773 160.936
117.554 96.760 160.901
117.920 96.741 160.829
118.286 96.715 160.752
118.652 96.686 160.689
119.019 96.655 160.648
119.385 96.625 160.631
119.751 96.597 160.636
120.117 96.576 160.653
120.483 96.563 160.642
120.850 96.556 160.554
121.216 96.543 160.366
121.582 96.513 160.125
121.948 96.462 159.939
122.314 96.399 159.919
122.681 96.347 160.096
123.047 96.326 160.373
123.413 96.338 160.578
123.779 96.365 160.581
124.146 96.379 160.392
124.512 96.365 160.147
124.878 96.326 160.010
125.244 96.284 160.062
125.610 96.263 160.240
125.977 96.268 160.391
126.343 96.285 160.388
126.709 96.292 160.225
127.075 96.274 160.002
127.441 96.232 159.853
127.808 96.180 159.849
128.174 96.136 159.970
128.540 96.107 160.136
128.906 96.087 160.273
129.272 96.070 160.362
129.639 96.051 160.424
130.005 96.030 160.483
130.371 96.008 160.536
130.737 95.986 160.567
131.104 95.958 160.580
131.470 95.924 160.612
131.836 95.886 160.704
132.202 95.854 160.860
132.568 95.837 161.026
132.935 95.832 161.115
133.301 95.825 161.081
133.667 95.804 160.960
134.033 95.762 160.858
134.399 95.708 160.868
134.766 95.661 160.998
135.132 95.630 161.158
135.498 95.612 161.234
135.864 95.585 161.194
136.230 95.535 161.136
136.597 95.464 161.226
136.963 95.396 161.565
137.329 95.362 162.083
137.695 95.376 162.561
138.062 95.418 162.783
138.428 95.450 162.706
138.794 95.444 162.491
139.160 95.398 162.389
139.526 95.341 162.568
139.893 95.310 162.993
140.259 95.326 163.449
140.625 95.374 163.708
140.991 95.424 163.700
141.357 95.447 163.535
141.724 95.440 163.405
142.090 95.421 163.429
142.456 95.414 163.585
142.822 95.428 163.748
143.188 95.452 163.809
143.555 95.469 163.769
143.921 95.470 163.723
144.287 95.461 163.773
144.653 95.462 163.932
145.020 95.482 164.109
145.386 95.519 164.183
145.752 95.555 164.097
146.118 95.572 163.903
146.484 95.564 163.725
146.851 95.541 163.674
147.217 95.520 163.779
147.583 95.519 163.972
147.949 95.541 164.136
148.315 95.576 164.181
148.682 95.610 164.080
149.048 95.630 163.877
149.414 95.633 163.640
149.780 95.621 163.432
150.146 95.600 163.282
150.513 95.576 163.194
150.879 95.551 163.161
151.245 95.528 163.180
151.611 95.509 163.251
151.978 95.500 163.366
152.344 95.505 163.487
152.710 95.525 163.550
153.076 95.552 163.488
153.442 95.572 163.288
153.809 95.569 163.013
154.175 95.540 162.787
154.541 95.498 162.726
154.907 95.466 162.849
155.273 95.461 163.044
155.640 95.481 163.131
156.006 95.503 163.007
156.372 95.495 162.738
156.738 95.445 162.543
157.104 95.372 162.652
157.471 95.322 163.125
157.837 95.335 163.754
158.203 95.415 164.169
158.569 95.519 164.098
158.936 95.590 163.549
159.302 95.588 162.794
159.668 95.515 162.195
160.034 95.406 162.001
160.400 95.314 162.215
160.767 95.270 162.610
161.133 95.271 162.908
161.499 95.286 162.970
161.865 95.288 162.853
162.231 95.266 162.711
162.598 95.233 162.658
162.964 95.205 162.696
163.330 95.191 162.747
163.696 95.184 162.736
164.062 95.174 162.657
164.429 95.155 162.566
164.795 95.131 162.520
165.161 95.108 162.535
165.527 95.094 162.577
165.894 95.088 162.603
166.260 95.083 162.592
166.626 95.077 162.558
166.992 95.068 162.521
167.358 95.058 162.495
167.725 95.047 162.477
168.091 95.035 162.463
168.457 95.022 162.456
168.823 95.007 162.468
169.189 94.992 162.502
169.556 94.981 162.553
169.922 94.973 162.600
170.288 94.966 162.630
170.654 94.960 162.640
171.021 94.950 162.639
171.387 94.939 162.638
171.753 94.926 162.645
172.119 94.913 162.656
172.485 94.901 162.667
172.852 94.888 162.673
173.218 94.875 162.677
173.584 94.861 162.685
173.950 94.846 162.699
174.316 94.833 162.720
174.683 94.821 162.741
175.049 94.810 162.757
175.415 94.798 162.765
175.781 94.785 162.771
176.147 94.771 162.788
176.514 94.757 162.825
176.880 94.745 162.881
177.246 94.738 162.941
177.612 94.736 162.981
177.979 94.735 162.985
178.345 94.732 162.952
178.711 94.723 162.899
179.077 94.707 162.858
179.443 94.687 162.853
179.810 94.667 162.891
180.176 94.652 162.961
180.542 94.643 163.036
180.908 94.639 163.094
181.274 94.636 163.123
181.641 94.632 163.129
182.007 94.625 163.126
182.373 94.617 163.124
182.739 94.609 163.127
183.105 94.600 163.130
183.472 94.591 163.128
183.838 94.579 163.126
184.204 94.566 163.132
184.570 94.551 163.158
184.937 94.537 163.208
185.303 94.526 163.272
185.669 94.518 163.336
186.035 94.513 163.385
186.401 94.509 163.413
186.768 94.502 163.424
187.134 94.493 163.430
187.500 94.481 163.441
187.866 94.468 163.469
188.232 94.455 163.511
188.599 94.445 163.560
188.965 94.436 163.602
189.331 94.428 163.629
189.697 94.419 163.643
190.063 94.406 163.659
190.430 94.393 163.692
190.796 94.381 163.748
191.162 94.373 163.812
191.528 94.370 163.861
191.895 94.368 163.873
192.261 94.363 163.851
192.627 94.353 163.817
192.993 94.336 163.803
193.359 94.318 163.827
193.726 94.302 163.884
194.092 94.290 163.954
194.458 94.282 164.017
194.824 94.275 164.065
195.190 94.267 164.106
195.557 94.260 164.147
195.923 94.253 164.186
196.289 94.246 164.221
