* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 30, 2020 2:01:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AKG N400 (R) M
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 101.105 -108.746
20.508 101.248 -109.912
20.874 101.370 -111.062
21.240 101.477 -112.184
21.606 101.576 -113.286
21.973 101.673 -114.403
22.339 101.767 -115.579
22.705 101.853 -116.827
23.071 101.925 -118.110
23.438 101.983 -119.362
23.804 102.036 -120.535
24.170 102.102 -121.639
24.536 102.179 -122.737
24.902 102.264 -123.898
25.269 102.345 -125.142
25.635 102.410 -126.427
26.001 102.458 -127.672
26.367 102.495 -128.819
26.733 102.531 -129.859
27.100 102.577 -130.835
27.466 102.627 -131.801
27.832 102.677 -132.786
28.198 102.722 -133.780
28.564 102.759 -134.755
28.931 102.793 -135.696
29.297 102.828 -136.614
29.663 102.865 -137.537
30.029 102.902 -138.492
30.396 102.936 -139.480
30.762 102.962 -140.483
31.128 102.981 -141.471
31.494 102.995 -142.425
31.860 103.009 -143.341
32.227 103.026 -144.235
32.593 103.047 -145.126
32.959 103.069 -146.036
33.325 103.089 -146.970
33.691 103.105 -147.921
34.058 103.116 -148.869
34.424 103.119 -149.786
34.790 103.117 -150.649
35.156 103.113 -151.450
35.522 103.113 -152.201
35.889 103.117 -152.928
36.255 103.126 -153.665
36.621 103.136 -154.435
36.987 103.141 -155.243
37.354 103.138 -156.066
37.720 103.125 -156.869
38.086 103.108 -157.624
38.452 103.091 -158.325
38.818 103.079 -158.997
39.185 103.071 -159.679
39.551 103.063 -160.396
39.917 103.049 -161.141
40.283 103.026 -161.874
40.649 102.998 -162.555
41.016 102.971 -163.174
41.382 102.952 -163.761
41.748 102.941 -164.368
42.114 102.930 -165.023
42.480 102.913 -165.707
42.847 102.886 -166.370
43.213 102.857 -166.968
43.579 102.835 -167.511
43.945 102.823 -168.058
44.312 102.816 -168.677
44.678 102.802 -169.383
45.044 102.771 -170.120
45.410 102.720 -170.791
45.776 102.662 -171.323
46.143 102.611 -171.717
46.509 102.578 -172.049
46.875 102.561 -172.413
47.241 102.549 -172.861
47.607 102.533 -173.373
47.974 102.504 -173.894
48.340 102.470 -174.376
48.706 102.437 -174.818
49.072 102.408 -175.248
49.438 102.381 -175.697
49.805 102.351 -176.162
50.171 102.316 -176.620
50.537 102.277 -177.046
50.903 102.240 -177.440
51.270 102.206 -177.825
51.636 102.173 -178.220
52.002 102.137 -178.622
52.368 102.096 -179.006
52.734 102.055 -179.349
53.101 102.017 -179.656
53.467 101.986 -179.962
53.833 101.961 179.697
54.199 101.934 179.306
54.565 101.898 178.890
54.932 101.854 178.496
55.298 101.806 178.160
55.664 101.760 177.883
56.030 101.722 177.634
56.396 101.691 177.370
56.763 101.662 177.069
57.129 101.630 176.741
57.495 101.593 176.417
57.861 101.555 176.121
58.228 101.517 175.857
58.594 101.485 175.604
58.960 101.456 175.334
59.326 101.428 175.037
59.692 101.395 174.727
60.059 101.357 174.434
60.425 101.319 174.175
60.791 101.283 173.948
61.157 101.253 173.728
61.523 101.225 173.490
61.890 101.196 173.227
62.256 101.162 172.956
62.622 101.125 172.705
62.988 101.086 172.491
63.354 101.049 172.309
63.721 101.018 172.137
64.087 100.991 171.951
64.453 100.965 171.742
64.819 100.936 171.514
65.186 100.905 171.282
65.552 100.872 171.057
65.918 100.837 170.846
66.284 100.802 170.651
66.650 100.768 170.471
67.017 100.736 170.300
67.383 100.707 170.128
67.749 100.680 169.942
68.115 100.652 169.739
68.481 100.621 169.527
68.848 100.586 169.330
69.214 100.550 169.166
69.580 100.516 169.039
69.946 100.488 168.924
70.312 100.466 168.790
70.679 100.445 168.617
71.045 100.420 168.414
71.411 100.388 168.215
71.777 100.352 168.055
72.144 100.318 167.943
72.510 100.291 167.859
72.876 100.271 167.761
73.242 100.255 167.617
73.608 100.236 167.421
73.975 100.211 167.200
74.341 100.176 166.993
74.707 100.137 166.829
75.073 100.098 166.720
75.439 100.063 166.653
75.806 100.036 166.604
76.172 100.015 166.544
76.538 100.000 166.451
76.904 99.986 166.312
77.271 99.970 166.126
77.637 99.947 165.911
78.003 99.915 165.698
78.369 99.877 165.522
78.735 99.837 165.403
79.102 99.800 165.337
79.468 99.772 165.293
79.834 99.751 165.234
80.200 99.733 165.136
80.566 99.714 165.000
80.933 99.691 164.850
81.299 99.666 164.705
81.665 99.639 164.576
82.031 99.613 164.452
82.397 99.589 164.322
82.764 99.563 164.182
83.130 99.533 164.046
83.496 99.502 163.932
83.862 99.471 163.852
84.229 99.445 163.795
84.595 99.424 163.739
84.961 99.407 163.658
85.327 99.391 163.543
85.693 99.372 163.403
86.060 99.349 163.258
86.426 99.322 163.130
86.792 99.294 163.026
87.158 99.268 162.941
87.524 99.244 162.861
87.891 99.221 162.775
88.257 99.198 162.684
88.623 99.173 162.594
88.989 99.148 162.516
89.355 99.124 162.451
89.722 99.102 162.390
90.088 99.083 162.318
90.454 99.064 162.225
90.820 99.042 162.117
91.187 99.016 162.011
91.553 98.988 161.927
91.919 98.960 161.867
92.285 98.937 161.820
92.651 98.916 161.762
93.018 98.897 161.682
93.384 98.875 161.582
93.750 98.850 161.481
94.116 98.823 161.397
94.482 98.795 161.336
94.849 98.770 161.293
95.215 98.748 161.255
95.581 98.728 161.215
95.947 98.711 161.166
96.313 98.695 161.102
96.680 98.680 161.015
97.046 98.661 160.902
97.412 98.637 160.782
97.778 98.606 160.689
98.145 98.572 160.658
98.511 98.543 160.692
98.877 98.528 160.751
99.243 98.525 160.764
99.609 98.527 160.674
99.976 98.522 160.476
100.342 98.499 160.226
100.708 98.458 160.011
101.074 98.408 159.895
101.440 98.359 159.891
101.807 98.322 159.949
102.173 98.298 159.998
102.539 98.282 159.985
102.905 98.264 159.902
103.271 98.237 159.780
103.638 98.200 159.671
104.004 98.156 159.620
104.370 98.114 159.645
104.736 98.079 159.727
105.103 98.058 159.821
105.469 98.048 159.868
105.835 98.043 159.827
106.201 98.033 159.699
106.567 98.010 159.526
106.934 97.973 159.373
107.300 97.930 159.287
107.666 97.887 159.273
108.032 97.851 159.298
108.398 97.821 159.320
108.765 97.792 159.324
109.131 97.762 159.328
109.497 97.732 159.352
109.863 97.708 159.388
110.229 97.690 159.394
110.596 97.673 159.330
110.962 97.645 159.202
111.328 97.601 159.080
111.694 97.544 159.057
112.061 97.487 159.185
112.427 97.449 159.422
112.793 97.434 159.652
113.159 97.435 159.767
113.525 97.433 159.742
113.892 97.414 159.647
114.258 97.376 159.595
114.624 97.331 159.659
114.990 97.294 159.828
115.356 97.270 160.028
115.723 97.256 160.192
116.089 97.242 160.310
116.455 97.222 160.426
116.821 97.199 160.587
117.188 97.182 160.797
117.554 97.175 161.014
117.920 97.174 161.191
118.286 97.173 161.322
118.652 97.166 161.443
119.019 97.156 161.601
119.385 97.150 161.805
119.751 97.155 162.019
120.117 97.168 162.195
120.483 97.183 162.312
120.850 97.195 162.390
121.216 97.204 162.463
121.582 97.215 162.547
121.948 97.232 162.622
122.314 97.253 162.655
122.681 97.274 162.626
123.047 97.290 162.548
123.413 97.300 162.450
123.779 97.305 162.353
124.146 97.307 162.257
124.512 97.308 162.157
124.878 97.305 162.056
125.244 97.300 161.965
125.610 97.296 161.886
125.977 97.293 161.797
126.343 97.291 161.670
126.709 97.281 161.499
127.075 97.258 161.332
127.441 97.223 161.250
127.808 97.188 161.308
128.174 97.171 161.483
128.540 97.182 161.660
128.906 97.215 161.700
129.272 97.250 161.537
129.639 97.265 161.222
130.005 97.251 160.889
130.371 97.217 160.667
130.737 97.181 160.601
131.104 97.159 160.630
131.470 97.155 160.642
131.836 97.156 160.565
132.202 97.150 160.408
132.568 97.130 160.244
132.935 97.101 160.142
133.301 97.073 160.117
133.667 97.053 160.126
134.033 97.039 160.117
134.399 97.025 160.072
134.766 97.007 160.018
135.132 96.986 159.991
135.498 96.968 159.997
135.864 96.959 159.995
136.230 96.955 159.935
136.597 96.947 159.802
136.963 96.927 159.636
137.329 96.893 159.513
137.695 96.855 159.491
138.062 96.824 159.568
138.428 96.810 159.684
138.794 96.811 159.758
139.160 96.817 159.742
139.526 96.819 159.644
139.893 96.809 159.520
140.259 96.788 159.431
140.625 96.764 159.412
140.991 96.745 159.454
141.357 96.733 159.520
141.724 96.729 159.567
142.090 96.728 159.568
142.456 96.724 159.522
142.822 96.714 159.449
143.188 96.695 159.375
143.555 96.670 159.327
143.921 96.642 159.317
144.287 96.614 159.345
144.653 96.590 159.402
145.020 96.570 159.470
145.386 96.555 159.529
145.752 96.545 159.558
146.118 96.537 159.546
146.484 96.526 159.493
146.851 96.510 159.419
147.217 96.490 159.353
147.583 96.467 159.315
147.949 96.446 159.306
148.315 96.431 159.307
148.682 96.419 159.292
149.048 96.406 159.253
149.414 96.391 159.206
149.780 96.372 159.176
150.146 96.353 159.177
150.513 96.337 159.202
150.879 96.323 159.230
151.245 96.311 159.250
151.611 96.298 159.265
151.978 96.285 159.282
152.344 96.272 159.298
152.710 96.259 159.302
153.076 96.243 159.287
153.442 96.223 159.270
153.809 96.199 159.280
154.175 96.176 159.327
154.541 96.161 159.383
154.907 96.153 159.395
155.273 96.144 159.335
155.640 96.124 159.241
156.006 96.094 159.193
156.372 96.066 159.246
156.738 96.056 159.359
157.104 96.070 159.404
157.471 96.092 159.257
157.837 96.096 158.918
158.203 96.061 158.534
158.569 95.992 158.321
158.936 95.916 158.416
159.302 95.868 158.772
159.668 95.868 159.178
160.034 95.902 159.408
160.400 95.939 159.380
160.767 95.950 159.196
161.133 95.929 159.037
161.499 95.893 159.035
161.865 95.864 159.190
162.231 95.854 159.396
162.598 95.858 159.541
162.964 95.862 159.590
163.330 95.857 159.586
163.696 95.842 159.595
164.062 95.824 159.644
164.429 95.809 159.712
164.795 95.797 159.762
165.161 95.784 159.780
165.527 95.766 159.789
165.894 95.745 159.817
166.260 95.726 159.868
166.626 95.712 159.920
166.992 95.701 159.946
167.358 95.689 159.937
167.725 95.673 159.915
168.091 95.654 159.911
168.457 95.636 159.938
168.823 95.622 159.986
169.189 95.613 160.024
169.556 95.607 160.033
169.922 95.598 160.015
170.288 95.586 159.993
170.654 95.571 159.991
171.021 95.556 160.016
171.387 95.543 160.056
171.753 95.533 160.090
172.119 95.523 160.108
172.485 95.509 160.120
172.852 95.493 160.149
173.218 95.477 160.206
173.584 95.465 160.283
173.950 95.458 160.348
174.316 95.454 160.377
174.683 95.447 160.367
175.049 95.435 160.344
175.415 95.417 160.344
175.781 95.399 160.383
176.147 95.386 160.446
176.514 95.378 160.502
176.880 95.374 160.523
177.246 95.368 160.510
177.612 95.357 160.482
177.979 95.342 160.466
178.345 95.325 160.478
178.711 95.309 160.515
179.077 95.295 160.566
179.443 95.283 160.622
179.810 95.274 160.678
180.176 95.266 160.730
180.542 95.260 160.770
180.908 95.254 160.794
181.274 95.245 160.805
181.641 95.234 160.818
182.007 95.222 160.842
182.373 95.210 160.879
182.739 95.201 160.912
183.105 95.193 160.923
183.472 95.181 160.913
183.838 95.163 160.901
184.204 95.141 160.922
184.570 95.119 160.995
184.937 95.103 161.109
185.303 95.096 161.224
185.669 95.095 161.298
186.035 95.095 161.316
186.401 95.090 161.297
186.768 95.077 161.283
187.134 95.061 161.306
187.500 95.047 161.367
187.866 95.040 161.436
188.232 95.038 161.475
188.599 95.035 161.467
188.965 95.026 161.431
189.331 95.008 161.407
189.697 94.987 161.434
190.063 94.968 161.516
190.430 94.957 161.623
190.796 94.955 161.710
191.162 94.956 161.744
191.528 94.953 161.730
191.895 94.942 161.700
192.261 94.925 161.694
192.627 94.905 161.733
192.993 94.888 161.811
193.359 94.875 161.906
193.726 94.867 161.998
194.092 94.861 162.079
194.458 94.856 162.148
194.824 94.853 162.204
195.190 94.851 162.242
195.557 94.847 162.256
195.923 94.841 162.251
196.289 94.829 162.245
