* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 30, 2020 1:48:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AKG N400 (R) RHA
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 99.887 -107.682
20.508 100.013 -108.917
20.874 100.115 -110.091
21.240 100.202 -111.192
21.606 100.285 -112.234
21.973 100.373 -113.261
22.339 100.468 -114.339
22.705 100.563 -115.515
23.071 100.652 -116.787
23.438 100.726 -118.105
23.804 100.787 -119.398
24.170 100.847 -120.617
24.536 100.908 -121.753
24.902 100.977 -122.838
25.269 101.053 -123.914
25.635 101.133 -125.008
26.001 101.210 -126.120
26.367 101.281 -127.237
26.733 101.345 -128.341
27.100 101.406 -129.418
27.466 101.459 -130.457
27.832 101.506 -131.449
28.198 101.550 -132.395
28.564 101.594 -133.310
28.931 101.640 -134.221
29.297 101.686 -135.159
29.663 101.727 -136.138
30.029 101.761 -137.147
30.396 101.785 -138.157
30.762 101.802 -139.139
31.128 101.815 -140.084
31.494 101.828 -140.997
31.860 101.844 -141.900
32.227 101.861 -142.807
32.593 101.877 -143.724
32.959 101.891 -144.644
33.325 101.903 -145.558
33.691 101.912 -146.455
34.058 101.923 -147.330
34.424 101.933 -148.181
34.790 101.943 -149.014
35.156 101.952 -149.834
35.522 101.960 -150.647
35.889 101.964 -151.451
36.255 101.965 -152.237
36.621 101.963 -152.997
36.987 101.960 -153.730
37.354 101.957 -154.448
37.720 101.953 -155.164
38.086 101.951 -155.887
38.452 101.945 -156.616
38.818 101.935 -157.338
39.185 101.922 -158.044
39.551 101.908 -158.734
39.917 101.893 -159.415
40.283 101.876 -160.094
40.649 101.858 -160.766
41.016 101.839 -161.424
41.382 101.820 -162.064
41.748 101.803 -162.694
42.114 101.787 -163.329
42.480 101.769 -163.973
42.847 101.748 -164.609
43.213 101.724 -165.210
43.579 101.703 -165.767
43.945 101.689 -166.301
44.312 101.683 -166.865
44.678 101.678 -167.505
45.044 101.663 -168.215
45.410 101.629 -168.931
45.776 101.578 -169.562
46.143 101.521 -170.044
46.509 101.473 -170.388
46.875 101.444 -170.674
47.241 101.434 -171.004
47.607 101.428 -171.436
47.974 101.414 -171.950
48.340 101.387 -172.480
48.706 101.350 -172.963
49.072 101.313 -173.382
49.438 101.281 -173.769
49.805 101.255 -174.170
50.171 101.228 -174.605
50.537 101.195 -175.054
50.903 101.157 -175.480
51.270 101.118 -175.861
51.636 101.082 -176.208
52.002 101.051 -176.554
52.368 101.023 -176.923
52.734 100.992 -177.311
53.101 100.956 -177.691
53.467 100.919 -178.039
53.833 100.885 -178.356
54.199 100.856 -178.667
54.565 100.830 -179.003
54.932 100.802 -179.374
55.298 100.767 -179.755
55.664 100.726 179.893
56.030 100.682 179.597
56.396 100.643 179.351
56.763 100.612 179.119
57.129 100.586 178.859
57.495 100.561 178.555
57.861 100.532 178.223
58.228 100.495 177.901
58.594 100.455 177.616
58.960 100.418 177.369
59.326 100.385 177.135
59.692 100.356 176.886
60.059 100.326 176.613
60.425 100.293 176.335
60.791 100.257 176.079
61.157 100.222 175.857
61.523 100.191 175.656
61.890 100.165 175.445
62.256 100.141 175.201
62.622 100.114 174.930
62.988 100.081 174.659
63.354 100.045 174.417
63.721 100.009 174.211
64.087 99.976 174.026
64.453 99.947 173.835
64.819 99.918 173.629
65.186 99.886 173.423
65.552 99.852 173.240
65.918 99.820 173.088
66.284 99.794 172.951
66.650 99.773 172.796
67.017 99.754 172.599
67.383 99.732 172.364
67.749 99.703 172.122
68.115 99.670 171.907
68.481 99.636 171.733
68.848 99.605 171.585
69.214 99.580 171.435
69.580 99.556 171.264
69.946 99.530 171.074
70.312 99.501 170.884
70.679 99.470 170.715
71.045 99.439 170.572
71.411 99.412 170.444
71.777 99.387 170.311
72.144 99.364 170.165
72.510 99.339 170.008
72.876 99.312 169.856
73.242 99.284 169.722
73.608 99.258 169.606
73.975 99.236 169.491
74.341 99.217 169.357
74.707 99.198 169.188
75.073 99.174 168.993
75.439 99.143 168.801
75.806 99.107 168.647
76.172 99.071 168.550
76.538 99.040 168.498
76.904 99.019 168.452
77.271 99.005 168.370
77.637 98.992 168.232
78.003 98.974 168.052
78.369 98.948 167.869
78.735 98.918 167.720
79.102 98.889 167.610
79.468 98.864 167.517
79.834 98.843 167.411
80.200 98.821 167.280
80.566 98.796 167.141
80.933 98.767 167.026
81.299 98.739 166.954
81.665 98.716 166.910
82.031 98.701 166.856
82.397 98.690 166.757
82.764 98.677 166.607
83.130 98.657 166.433
83.496 98.629 166.277
83.862 98.599 166.165
84.229 98.570 166.093
84.595 98.547 166.031
84.961 98.527 165.952
85.327 98.507 165.852
85.693 98.483 165.747
86.060 98.457 165.659
86.426 98.432 165.593
86.792 98.411 165.535
87.158 98.393 165.462
87.524 98.376 165.365
87.891 98.355 165.254
88.257 98.332 165.151
88.623 98.307 165.069
88.989 98.285 165.005
89.355 98.267 164.937
89.722 98.251 164.848
90.088 98.233 164.736
90.454 98.213 164.616
90.820 98.189 164.509
91.187 98.164 164.424
91.553 98.142 164.354
91.919 98.122 164.286
92.285 98.103 164.208
92.651 98.083 164.122
93.018 98.062 164.037
93.384 98.041 163.963
93.750 98.020 163.900
94.116 98.002 163.836
94.482 97.985 163.760
94.849 97.966 163.667
95.215 97.945 163.565
95.581 97.919 163.472
95.947 97.892 163.407
96.313 97.865 163.374
96.680 97.843 163.360
97.046 97.824 163.339
97.412 97.807 163.295
97.778 97.788 163.230
98.145 97.764 163.169
98.511 97.737 163.144
98.877 97.714 163.162
99.243 97.700 163.197
99.609 97.695 163.199
99.976 97.693 163.126
100.342 97.687 162.974
100.708 97.668 162.788
101.074 97.637 162.631
101.440 97.601 162.548
101.807 97.569 162.534
102.173 97.547 162.544
102.539 97.532 162.525
102.905 97.519 162.454
103.271 97.501 162.349
103.638 97.476 162.252
104.004 97.448 162.195
104.370 97.423 162.178
104.736 97.404 162.172
105.103 97.391 162.143
105.469 97.378 162.077
105.835 97.361 161.984
106.201 97.340 161.893
106.567 97.315 161.825
106.934 97.290 161.789
107.300 97.270 161.769
107.666 97.253 161.744
108.032 97.237 161.701
108.398 97.219 161.641
108.765 97.198 161.584
109.131 97.176 161.546
109.497 97.154 161.533
109.863 97.137 161.530
110.229 97.124 161.511
110.596 97.111 161.457
110.962 97.095 161.374
111.328 97.073 161.287
111.694 97.047 161.225
112.061 97.020 161.201
112.427 96.996 161.202
112.793 96.976 161.204
113.159 96.959 161.187
113.525 96.941 161.152
113.892 96.920 161.113
114.258 96.897 161.087
114.624 96.875 161.077
114.990 96.856 161.076
115.356 96.838 161.072
115.723 96.823 161.057
116.089 96.807 161.027
116.455 96.792 160.981
116.821 96.774 160.922
117.188 96.752 160.861
117.554 96.726 160.817
117.920 96.699 160.810
118.286 96.675 160.842
118.652 96.658 160.885
119.019 96.646 160.903
119.385 96.634 160.878
119.751 96.615 160.832
120.117 96.588 160.820
120.483 96.559 160.883
120.850 96.541 161.012
121.216 96.537 161.136
121.582 96.545 161.171
121.948 96.549 161.083
122.314 96.537 160.920
122.681 96.503 160.782
123.047 96.457 160.758
123.413 96.413 160.870
123.779 96.384 161.059
124.146 96.371 161.235
124.512 96.365 161.340
124.878 96.357 161.379
125.244 96.341 161.402
125.610 96.322 161.448
125.977 96.304 161.523
126.343 96.291 161.598
126.709 96.280 161.645
127.075 96.268 161.665
127.441 96.252 161.684
127.808 96.235 161.725
128.174 96.222 161.790
128.540 96.215 161.849
128.906 96.212 161.875
129.272 96.209 161.860
129.639 96.202 161.823
130.005 96.191 161.795
130.371 96.179 161.796
130.737 96.170 161.825
131.104 96.167 161.858
131.470 96.169 161.872
131.836 96.173 161.849
132.202 96.175 161.788
132.568 96.171 161.708
132.935 96.161 161.636
133.301 96.146 161.604
133.667 96.131 161.626
134.033 96.122 161.689
134.399 96.122 161.748
134.766 96.128 161.756
135.132 96.132 161.698
135.498 96.125 161.608
135.864 96.107 161.550
136.230 96.086 161.572
136.597 96.073 161.664
136.963 96.074 161.756
137.329 96.087 161.763
137.695 96.097 161.651
138.062 96.092 161.460
138.428 96.067 161.283
138.794 96.032 161.198
139.160 95.998 161.220
139.526 95.976 161.294
139.893 95.966 161.343
140.259 95.960 161.326
140.625 95.947 161.261
140.991 95.927 161.198
141.357 95.904 161.174
141.724 95.883 161.186
142.090 95.866 161.200
142.456 95.853 161.191
142.822 95.837 161.162
143.188 95.817 161.139
143.555 95.796 161.142
143.921 95.778 161.167
144.287 95.763 161.193
144.653 95.751 161.202
145.020 95.739 161.198
145.386 95.725 161.196
145.752 95.712 161.206
146.118 95.702 161.218
146.484 95.695 161.211
146.851 95.687 161.177
147.217 95.676 161.127
147.583 95.660 161.090
147.949 95.644 161.080
148.315 95.631 161.093
148.682 95.622 161.104
149.048 95.615 161.094
149.414 95.606 161.060
149.780 95.594 161.022
150.146 95.579 160.999
150.513 95.564 160.997
150.879 95.552 161.007
151.245 95.541 161.011
151.611 95.530 160.999
151.978 95.517 160.973
152.344 95.499 160.947
152.710 95.478 160.941
153.076 95.455 160.971
153.442 95.435 161.036
153.809 95.422 161.115
154.175 95.415 161.172
154.541 95.411 161.176
154.907 95.402 161.130
155.273 95.385 161.072
155.640 95.362 161.051
156.006 95.341 161.092
156.372 95.331 161.156
156.738 95.332 161.166
157.104 95.335 161.063
157.471 95.324 160.860
157.837 95.289 160.655
158.203 95.235 160.576
158.569 95.180 160.696
158.936 95.146 160.973
159.302 95.145 161.271
159.668 95.168 161.444
160.034 95.195 161.433
160.400 95.207 161.289
160.767 95.198 161.127
161.133 95.173 161.043
161.499 95.147 161.067
161.865 95.129 161.160
162.231 95.122 161.257
162.598 95.121 161.317
162.964 95.120 161.334
163.330 95.116 161.328
163.696 95.107 161.318
164.062 95.096 161.314
164.429 95.083 161.316
164.795 95.069 161.329
165.161 95.054 161.354
165.527 95.041 161.388
165.894 95.029 161.419
166.260 95.018 161.435
166.626 95.004 161.439
166.992 94.988 161.446
167.358 94.970 161.475
167.725 94.954 161.529
168.091 94.942 161.594
168.457 94.934 161.643
168.823 94.928 161.662
169.189 94.919 161.659
169.556 94.907 161.654
169.922 94.893 161.669
170.288 94.880 161.706
170.654 94.870 161.750
171.021 94.863 161.781
171.387 94.856 161.792
171.753 94.847 161.790
172.119 94.835 161.791
172.485 94.821 161.807
172.852 94.808 161.836
173.218 94.796 161.867
173.584 94.785 161.893
173.950 94.774 161.911
174.316 94.761 161.930
174.683 94.747 161.959
175.049 94.734 161.999
175.415 94.722 162.045
175.781 94.713 162.087
176.147 94.705 162.118
176.514 94.697 162.138
176.880 94.689 162.148
177.246 94.680 162.151
177.612 94.670 162.151
177.979 94.658 162.154
178.345 94.645 162.166
178.711 94.631 162.195
179.077 94.619 162.242
179.443 94.610 162.295
179.810 94.604 162.341
180.176 94.599 162.368
180.542 94.592 162.379
180.908 94.583 162.385
181.274 94.571 162.399
181.641 94.559 162.428
182.007 94.547 162.468
182.373 94.536 162.510
182.739 94.526 162.551
183.105 94.516 162.591
183.472 94.506 162.634
183.838 94.497 162.679
184.204 94.489 162.718
184.570 94.482 162.746
184.937 94.474 162.762
185.303 94.465 162.775
185.669 94.455 162.790
186.035 94.444 162.810
186.401 94.434 162.832
186.768 94.425 162.852
187.134 94.414 162.873
187.500 94.404 162.901
187.866 94.394 162.938
188.232 94.386 162.981
188.599 94.380 163.018
188.965 94.375 163.040
189.331 94.368 163.049
189.697 94.359 163.056
190.063 94.347 163.077
190.430 94.335 163.119
190.796 94.326 163.174
191.162 94.319 163.230
191.528 94.313 163.276
191.895 94.307 163.310
192.261 94.299 163.341
192.627 94.290 163.378
192.993 94.282 163.421
193.359 94.274 163.464
193.726 94.268 163.498
194.092 94.261 163.519
194.458 94.252 163.533
194.824 94.241 163.549
195.190 94.229 163.578
195.557 94.218 163.620
195.923 94.208 163.667
196.289 94.200 163.712
