* Measurement data measured by REW V5.19
* Source: default [default], no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Dec 22, 2020 3:26:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Radsone HE100 (L)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 105.277 -161.505
20.508 105.264 -162.192
20.874 105.241 -162.839
21.240 105.210 -163.491
21.606 105.170 -164.165
21.973 105.120 -164.847
22.339 105.064 -165.518
22.705 105.008 -166.173
23.071 104.957 -166.828
23.438 104.910 -167.508
23.804 104.868 -168.227
24.170 104.830 -168.975
24.536 104.788 -169.721
24.902 104.745 -170.425
25.269 104.705 -171.068
25.635 104.672 -171.659
26.001 104.649 -172.230
26.367 104.632 -172.820
26.733 104.616 -173.444
27.100 104.597 -174.081
27.466 104.569 -174.692
27.832 104.535 -175.244
28.198 104.500 -175.736
28.564 104.469 -176.198
28.931 104.440 -176.670
29.297 104.409 -177.169
29.663 104.369 -177.674
30.029 104.323 -178.148
30.396 104.276 -178.567
30.762 104.234 -178.945
31.128 104.200 -179.323
31.494 104.171 -179.741
31.860 104.140 179.797
32.227 104.104 179.322
32.593 104.064 178.876
32.959 104.025 178.474
33.325 103.992 178.098
33.691 103.965 177.712
34.058 103.943 177.299
34.424 103.917 176.871
34.790 103.885 176.463
35.156 103.852 176.103
35.522 103.821 175.785
35.889 103.796 175.479
36.255 103.773 175.156
36.621 103.747 174.811
36.987 103.714 174.468
37.354 103.677 174.160
37.720 103.639 173.904
38.086 103.609 173.680
38.452 103.586 173.450
38.818 103.567 173.178
39.185 103.547 172.853
39.551 103.519 172.499
39.917 103.484 172.153
40.283 103.446 171.844
40.649 103.408 171.576
41.016 103.376 171.325
41.382 103.349 171.063
41.748 103.323 170.773
42.114 103.295 170.469
42.480 103.264 170.177
42.847 103.232 169.917
43.213 103.205 169.680
43.579 103.184 169.433
43.945 103.165 169.143
44.312 103.141 168.809
44.678 103.106 168.473
45.044 103.061 168.194
45.410 103.015 168.011
45.776 102.978 167.910
46.143 102.956 167.829
46.509 102.945 167.695
46.875 102.938 167.470
47.241 102.923 167.170
47.607 102.897 166.846
47.974 102.858 166.550
48.340 102.814 166.307
48.706 102.769 166.114
49.072 102.727 165.957
49.438 102.688 165.827
49.805 102.653 165.718
50.171 102.624 165.621
50.537 102.602 165.510
50.903 102.584 165.361
51.270 102.567 165.161
51.636 102.544 164.924
52.002 102.514 164.684
52.368 102.479 164.471
52.734 102.443 164.296
53.101 102.409 164.146
53.467 102.379 163.999
53.833 102.351 163.838
54.199 102.322 163.664
54.565 102.290 163.490
54.932 102.255 163.332
55.298 102.219 163.201
55.664 102.184 163.100
56.030 102.153 163.022
56.396 102.127 162.955
56.763 102.106 162.880
57.129 102.089 162.777
57.495 102.074 162.638
57.861 102.055 162.467
58.228 102.032 162.282
58.594 102.005 162.105
58.960 101.975 161.952
59.326 101.945 161.821
59.692 101.917 161.704
60.059 101.890 161.590
60.425 101.865 161.473
60.791 101.840 161.356
61.157 101.815 161.241
61.523 101.791 161.127
61.890 101.768 161.008
62.256 101.746 160.880
62.622 101.722 160.742
62.988 101.696 160.602
63.354 101.669 160.470
63.721 101.641 160.352
64.087 101.615 160.245
64.453 101.591 160.139
64.819 101.569 160.023
65.186 101.547 159.894
65.552 101.522 159.758
65.918 101.495 159.629
66.284 101.467 159.516
66.650 101.440 159.421
67.017 101.415 159.335
67.383 101.392 159.244
67.749 101.369 159.141
68.115 101.344 159.028
68.481 101.317 158.921
68.848 101.287 158.832
69.214 101.257 158.766
69.580 101.229 158.714
69.946 101.204 158.659
70.312 101.180 158.592
70.679 101.155 158.508
71.045 101.129 158.415
71.411 101.100 158.319
71.777 101.070 158.228
72.144 101.040 158.145
72.510 101.008 158.073
72.876 100.979 158.017
73.242 100.952 157.973
73.608 100.929 157.931
73.975 100.912 157.872
74.341 100.896 157.781
74.707 100.880 157.656
75.073 100.858 157.516
75.439 100.832 157.391
75.806 100.804 157.308
76.172 100.778 157.270
76.538 100.759 157.258
76.904 100.747 157.237
77.271 100.737 157.185
77.637 100.725 157.103
78.003 100.708 157.017
78.369 100.685 156.960
78.735 100.662 156.948
79.102 100.643 156.972
79.468 100.630 156.997
79.834 100.622 156.991
80.200 100.612 156.940
80.566 100.598 156.859
80.933 100.576 156.778
81.299 100.550 156.721
81.665 100.523 156.691
82.031 100.500 156.671
82.397 100.479 156.641
82.764 100.458 156.587
83.130 100.436 156.514
83.496 100.411 156.436
83.862 100.384 156.363
84.229 100.358 156.297
84.595 100.332 156.233
84.961 100.308 156.171
85.327 100.283 156.113
85.693 100.260 156.064
86.060 100.240 156.023
86.426 100.223 155.980
86.792 100.209 155.923
87.158 100.196 155.844
87.524 100.181 155.748
87.891 100.162 155.652
88.257 100.139 155.575
88.623 100.116 155.529
88.989 100.094 155.512
89.355 100.075 155.511
89.722 100.060 155.507
90.088 100.045 155.490
90.454 100.028 155.465
90.820 100.009 155.444
91.187 99.989 155.442
91.553 99.970 155.461
91.919 99.955 155.488
92.285 99.945 155.497
92.651 99.937 155.466
93.018 99.927 155.393
93.384 99.910 155.296
93.750 99.887 155.207
94.116 99.860 155.148
94.482 99.834 155.124
94.849 99.811 155.120
95.215 99.793 155.115
95.581 99.777 155.100
95.947 99.762 155.072
96.313 99.747 155.037
96.680 99.732 154.996
97.046 99.717 154.948
97.412 99.700 154.898
97.778 99.681 154.857
98.145 99.662 154.839
98.511 99.644 154.847
98.877 99.632 154.862
99.243 99.625 154.855
99.609 99.618 154.804
99.976 99.607 154.714
100.342 99.588 154.616
100.708 99.563 154.549
101.074 99.536 154.533
101.440 99.514 154.554
101.807 99.498 154.577
102.173 99.486 154.568
102.539 99.473 154.522
102.905 99.455 154.458
103.271 99.432 154.407
103.638 99.408 154.388
104.004 99.387 154.395
104.370 99.370 154.408
104.736 99.357 154.407
105.103 99.344 154.383
105.469 99.330 154.347
105.835 99.315 154.310
106.201 99.298 154.282
106.567 99.282 154.261
106.934 99.266 154.242
107.300 99.251 154.222
107.666 99.236 154.204
108.032 99.220 154.190
108.398 99.205 154.183
108.765 99.190 154.176
109.131 99.176 154.164
109.497 99.161 154.145
109.863 99.143 154.126
110.229 99.125 154.116
110.596 99.106 154.122
110.962 99.089 154.137
111.328 99.075 154.149
111.694 99.061 154.147
112.061 99.048 154.129
112.427 99.032 154.105
112.793 99.016 154.085
113.159 98.999 154.071
113.525 98.984 154.059
113.892 98.971 154.038
114.258 98.956 154.008
114.624 98.940 153.976
114.990 98.923 153.956
115.356 98.906 153.953
115.723 98.893 153.956
116.089 98.882 153.949
116.455 98.872 153.919
116.821 98.859 153.876
117.188 98.842 153.839
117.554 98.822 153.830
117.920 98.804 153.853
118.286 98.791 153.891
118.652 98.781 153.921
119.019 98.773 153.927
119.385 98.764 153.912
119.751 98.751 153.892
120.117 98.737 153.881
120.483 98.721 153.881
120.850 98.707 153.883
121.216 98.693 153.878
121.582 98.678 153.866
121.948 98.662 153.855
122.314 98.644 153.855
122.681 98.627 153.865
123.047 98.611 153.881
123.413 98.597 153.893
123.779 98.584 153.899
124.146 98.570 153.901
124.512 98.558 153.902
124.878 98.546 153.898
125.244 98.534 153.882
125.610 98.521 153.853
125.977 98.505 153.821
126.343 98.487 153.805
126.709 98.467 153.816
127.075 98.452 153.852
127.441 98.441 153.889
127.808 98.434 153.903
128.174 98.427 153.881
128.540 98.416 153.835
128.906 98.399 153.790
129.272 98.379 153.773
129.639 98.359 153.790
130.005 98.342 153.832
130.371 98.329 153.877
130.737 98.320 153.906
131.104 98.312 153.912
131.470 98.302 153.900
131.836 98.289 153.880
132.202 98.275 153.863
132.568 98.259 153.856
132.935 98.242 153.862
133.301 98.227 153.877
133.667 98.212 153.898
134.033 98.199 153.918
134.399 98.187 153.934
134.766 98.175 153.943
135.132 98.162 153.948
135.498 98.150 153.951
135.864 98.137 153.952
136.230 98.124 153.954
136.597 98.110 153.957
136.963 98.095 153.965
137.329 98.081 153.981
137.695 98.069 153.999
138.062 98.058 154.014
138.428 98.047 154.017
138.794 98.036 154.008
139.160 98.023 153.994
139.526 98.008 153.988
139.893 97.992 153.995
140.259 97.977 154.015
140.625 97.964 154.036
140.991 97.953 154.048
141.357 97.941 154.049
141.724 97.928 154.046
142.090 97.914 154.050
142.456 97.899 154.064
142.822 97.886 154.082
143.188 97.875 154.095
143.555 97.863 154.098
143.921 97.850 154.096
144.287 97.836 154.100
144.653 97.821 154.116
145.020 97.808 154.143
145.386 97.797 154.172
145.752 97.788 154.191
146.118 97.780 154.197
146.484 97.771 154.190
146.851 97.761 154.174
147.217 97.750 154.154
147.583 97.738 154.133
147.949 97.723 154.116
148.315 97.707 154.110
148.682 97.692 154.123
149.048 97.678 154.154
149.414 97.667 154.186
149.780 97.660 154.201
150.146 97.651 154.189
150.513 97.638 154.165
150.879 97.619 154.164
151.245 97.598 154.216
151.611 97.583 154.322
151.978 97.580 154.440
152.344 97.586 154.509
152.710 97.593 154.491
153.076 97.592 154.405
153.442 97.575 154.317
153.809 97.547 154.305
154.175 97.521 154.401
154.541 97.508 154.565
154.907 97.512 154.710
155.273 97.525 154.760
155.640 97.534 154.701
156.006 97.530 154.588
156.372 97.511 154.499
156.738 97.487 154.482
157.104 97.466 154.529
157.471 97.454 154.589
157.837 97.447 154.614
158.203 97.438 154.596
158.569 97.423 154.563
158.936 97.403 154.556
159.302 97.383 154.587
159.668 97.367 154.642
160.034 97.356 154.690
160.400 97.348 154.710
160.767 97.338 154.710
161.133 97.325 154.707
161.499 97.310 154.716
161.865 97.297 154.738
162.231 97.285 154.764
162.598 97.274 154.788
162.964 97.263 154.808
163.330 97.253 154.829
163.696 97.244 154.851
164.062 97.236 154.867
164.429 97.228 154.873
164.795 97.218 154.870
165.161 97.207 154.871
165.527 97.193 154.889
165.894 97.181 154.925
166.260 97.172 154.970
166.626 97.166 155.006
166.992 97.162 155.023
167.358 97.156 155.018
167.725 97.147 155.004
168.091 97.137 154.992
168.457 97.124 154.989
168.823 97.111 154.993
169.189 97.098 155.000
169.556 97.085 155.011
169.922 97.071 155.030
170.288 97.057 155.063
170.654 97.045 155.111
171.021 97.036 155.165
171.387 97.030 155.210
171.753 97.026 155.233
172.119 97.021 155.235
172.485 97.014 155.227
172.852 97.003 155.223
173.218 96.992 155.235
173.584 96.982 155.260
173.950 96.974 155.286
174.316 96.966 155.304
174.683 96.959 155.314
175.049 96.949 155.322
175.415 96.939 155.339
175.781 96.929 155.366
176.147 96.921 155.397
176.514 96.913 155.426
176.880 96.907 155.447
177.246 96.899 155.462
177.612 96.892 155.476
177.979 96.884 155.485
178.345 96.876 155.489
178.711 96.867 155.488
179.077 96.855 155.489
179.443 96.842 155.505
179.810 96.829 155.539
180.176 96.820 155.584
180.542 96.813 155.622
180.908 96.808 155.639
181.274 96.801 155.638
181.641 96.791 155.633
182.007 96.778 155.643
182.373 96.766 155.673
182.739 96.755 155.719
183.105 96.748 155.765
183.472 96.742 155.805
183.838 96.736 155.837
184.204 96.730 155.866
184.570 96.725 155.892
184.937 96.721 155.909
185.303 96.716 155.913
185.669 96.708 155.909
186.035 96.697 155.910
186.401 96.684 155.930
186.768 96.672 155.973
187.134 96.662 156.025
187.500 96.655 156.070
187.866 96.649 156.100
188.232 96.642 156.118
188.599 96.633 156.135
188.965 96.623 156.158
189.331 96.614 156.185
189.697 96.606 156.208
190.063 96.598 156.221
190.430 96.588 156.231
190.796 96.578 156.245
191.162 96.568 156.271
191.528 96.561 156.306
191.895 96.555 156.339
192.261 96.551 156.357
192.627 96.548 156.357
192.993 96.542 156.346
193.359 96.533 156.338
193.726 96.523 156.343
194.092 96.513 156.366
194.458 96.504 156.400
194.824 96.497 156.438
195.190 96.491 156.473
195.557 96.486 156.505
195.923 96.480 156.536
196.289 96.475 156.568
196.655 96.470 156.597
197.021 96.464 156.619
197.388 96.458 156.634
197.754 96.450 156.648
198.120 96.439 156.674
