* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 24, 2020 4:01:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ER2SE (L)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 92.223 -95.882
20.508 92.444 -97.266
20.874 92.609 -99.075
21.240 92.684 -101.063
21.606 92.670 -102.879
21.973 92.602 -104.236
22.339 92.534 -105.057
22.705 92.516 -105.524
23.071 92.562 -105.959
23.438 92.649 -106.616
23.804 92.739 -107.544
24.170 92.811 -108.617
24.536 92.857 -109.660
24.902 92.891 -110.564
25.269 92.931 -111.328
25.635 92.984 -112.028
26.001 93.048 -112.744
26.367 93.113 -113.513
26.733 93.172 -114.323
27.100 93.223 -115.140
27.466 93.262 -115.934
27.832 93.292 -116.686
28.198 93.313 -117.386
28.564 93.330 -118.036
28.931 93.345 -118.642
29.297 93.361 -119.222
29.663 93.378 -119.795
30.029 93.395 -120.374
30.396 93.414 -120.964
30.762 93.431 -121.565
31.128 93.448 -122.179
31.494 93.463 -122.803
31.860 93.477 -123.430
32.227 93.488 -124.046
32.593 93.499 -124.639
32.959 93.512 -125.206
33.325 93.528 -125.758
33.691 93.546 -126.304
34.058 93.568 -126.840
34.424 93.588 -127.352
34.790 93.609 -127.824
35.156 93.635 -128.260
35.522 93.665 -128.688
35.889 93.699 -129.136
36.255 93.731 -129.616
36.621 93.756 -130.109
36.987 93.771 -130.582
37.354 93.782 -131.007
37.720 93.791 -131.380
38.086 93.807 -131.721
38.452 93.829 -132.062
38.818 93.855 -132.433
39.185 93.881 -132.858
39.551 93.901 -133.342
39.917 93.910 -133.859
40.283 93.906 -134.358
40.649 93.894 -134.776
41.016 93.885 -135.090
41.382 93.891 -135.341
41.748 93.916 -135.625
42.114 93.949 -136.020
42.480 93.974 -136.521
42.847 93.980 -137.027
43.213 93.975 -137.414
43.579 93.979 -137.641
43.945 94.013 -137.809
44.312 94.077 -138.105
44.678 94.145 -138.661
45.044 94.184 -139.438
45.410 94.172 -140.235
45.776 94.118 -140.805
46.143 94.054 -141.007
46.509 94.019 -140.904
46.875 94.031 -140.720
47.241 94.078 -140.681
47.607 94.132 -140.866
47.974 94.164 -141.191
48.340 94.173 -141.511
48.706 94.172 -141.731
49.072 94.177 -141.871
49.438 94.194 -142.016
49.805 94.215 -142.239
50.171 94.228 -142.539
50.537 94.227 -142.851
50.903 94.216 -143.108
51.270 94.206 -143.291
51.636 94.205 -143.440
52.002 94.212 -143.614
52.368 94.222 -143.848
52.734 94.228 -144.130
53.101 94.227 -144.419
53.467 94.221 -144.682
53.833 94.217 -144.914
54.199 94.217 -145.134
54.565 94.218 -145.364
54.932 94.218 -145.603
55.298 94.215 -145.829
55.664 94.210 -146.010
56.030 94.211 -146.141
56.396 94.222 -146.252
56.763 94.243 -146.398
57.129 94.270 -146.624
57.495 94.290 -146.934
57.861 94.298 -147.282
58.228 94.291 -147.596
58.594 94.276 -147.826
58.960 94.266 -147.968
59.326 94.265 -148.069
59.692 94.274 -148.191
60.059 94.286 -148.368
60.425 94.295 -148.590
60.791 94.296 -148.818
61.157 94.291 -149.014
61.523 94.286 -149.168
61.890 94.286 -149.296
62.256 94.291 -149.427
62.622 94.297 -149.580
62.988 94.304 -149.753
63.354 94.308 -149.937
63.721 94.311 -150.121
64.087 94.312 -150.299
64.453 94.313 -150.471
64.819 94.312 -150.633
65.186 94.312 -150.784
65.552 94.313 -150.925
65.918 94.316 -151.061
66.284 94.321 -151.203
66.650 94.326 -151.358
67.017 94.331 -151.526
67.383 94.332 -151.700
67.749 94.331 -151.868
68.115 94.327 -152.017
68.481 94.323 -152.139
68.848 94.321 -152.235
69.214 94.323 -152.317
69.580 94.330 -152.405
69.946 94.339 -152.518
70.312 94.349 -152.665
70.679 94.354 -152.835
71.045 94.355 -153.006
71.411 94.352 -153.155
71.777 94.349 -153.271
72.144 94.349 -153.365
72.510 94.354 -153.460
72.876 94.362 -153.576
73.242 94.370 -153.720
73.608 94.376 -153.879
73.975 94.378 -154.038
74.341 94.378 -154.183
74.707 94.379 -154.318
75.073 94.381 -154.451
75.439 94.382 -154.589
75.806 94.381 -154.729
76.172 94.378 -154.855
76.538 94.374 -154.954
76.904 94.372 -155.023
77.271 94.374 -155.078
77.637 94.381 -155.142
78.003 94.390 -155.236
78.369 94.398 -155.364
78.735 94.400 -155.508
79.102 94.397 -155.640
79.468 94.392 -155.738
79.834 94.388 -155.804
80.200 94.390 -155.856
80.566 94.396 -155.926
80.933 94.403 -156.033
81.299 94.408 -156.175
81.665 94.406 -156.326
82.031 94.399 -156.455
82.397 94.391 -156.547
82.764 94.387 -156.610
83.130 94.387 -156.670
83.496 94.391 -156.749
83.862 94.395 -156.850
84.229 94.397 -156.960
84.595 94.397 -157.057
84.961 94.399 -157.139
85.327 94.404 -157.219
85.693 94.412 -157.321
86.060 94.419 -157.455
86.426 94.422 -157.604
86.792 94.419 -157.739
87.158 94.414 -157.835
87.524 94.412 -157.897
87.891 94.416 -157.954
88.257 94.423 -158.035
88.623 94.428 -158.148
88.989 94.428 -158.270
89.355 94.422 -158.367
89.722 94.417 -158.420
90.088 94.417 -158.446
90.454 94.423 -158.484
90.820 94.432 -158.566
91.187 94.436 -158.689
91.553 94.433 -158.819
91.919 94.424 -158.914
92.285 94.416 -158.955
92.651 94.413 -158.963
93.018 94.418 -158.978
93.384 94.427 -159.033
93.750 94.435 -159.129
94.116 94.438 -159.243
94.482 94.438 -159.346
94.849 94.437 -159.430
95.215 94.438 -159.505
95.581 94.440 -159.593
95.947 94.442 -159.698
96.313 94.440 -159.809
96.680 94.434 -159.904
97.046 94.426 -159.970
97.412 94.419 -160.005
97.778 94.415 -160.021
98.145 94.413 -160.025
98.511 94.415 -160.022
98.877 94.422 -160.017
99.243 94.433 -160.030
99.609 94.449 -160.086
99.976 94.463 -160.204
100.342 94.471 -160.372
100.708 94.467 -160.551
101.074 94.454 -160.690
101.440 94.437 -160.760
101.807 94.425 -160.769
102.173 94.422 -160.759
102.539 94.426 -160.774
102.905 94.432 -160.834
103.271 94.435 -160.925
103.638 94.434 -161.016
104.004 94.430 -161.087
104.370 94.427 -161.136
104.736 94.428 -161.183
105.103 94.430 -161.240
105.469 94.432 -161.308
105.835 94.433 -161.376
106.201 94.433 -161.433
106.567 94.435 -161.486
106.934 94.439 -161.547
107.300 94.444 -161.628
107.666 94.446 -161.723
108.032 94.443 -161.814
108.398 94.438 -161.882
108.765 94.432 -161.923
109.131 94.429 -161.945
109.497 94.428 -161.964
109.863 94.429 -161.988
110.229 94.431 -162.014
110.596 94.433 -162.038
110.962 94.437 -162.065
111.328 94.443 -162.108
111.694 94.450 -162.181
112.061 94.453 -162.282
112.427 94.450 -162.389
112.793 94.441 -162.473
113.159 94.431 -162.513
113.525 94.424 -162.514
113.892 94.423 -162.500
114.258 94.427 -162.501
114.624 94.435 -162.533
114.990 94.441 -162.596
115.356 94.444 -162.672
115.723 94.445 -162.747
116.089 94.444 -162.813
116.455 94.442 -162.869
116.821 94.441 -162.916
117.188 94.440 -162.955
117.554 94.440 -162.987
117.920 94.442 -163.014
118.286 94.446 -163.046
118.652 94.451 -163.094
119.019 94.456 -163.162
119.385 94.458 -163.245
119.751 94.455 -163.328
120.117 94.449 -163.389
120.483 94.441 -163.414
120.850 94.435 -163.403
121.216 94.436 -163.374
121.582 94.443 -163.357
121.948 94.454 -163.379
122.314 94.465 -163.448
122.681 94.470 -163.548
123.047 94.470 -163.652
123.413 94.465 -163.733
123.779 94.459 -163.789
124.146 94.455 -163.831
124.512 94.452 -163.877
124.878 94.447 -163.929
125.244 94.440 -163.972
125.610 94.432 -163.987
125.977 94.427 -163.970
126.343 94.429 -163.943
126.709 94.436 -163.937
127.075 94.447 -163.979
127.441 94.454 -164.067
127.808 94.455 -164.174
128.174 94.450 -164.267
128.540 94.442 -164.328
128.906 94.436 -164.358
129.272 94.432 -164.373
129.639 94.432 -164.390
130.005 94.434 -164.419
130.371 94.437 -164.464
130.737 94.439 -164.527
131.104 94.438 -164.602
131.470 94.433 -164.677
131.836 94.425 -164.732
132.202 94.414 -164.747
132.568 94.407 -164.722
132.935 94.408 -164.680
133.301 94.415 -164.658
133.667 94.427 -164.689
134.033 94.434 -164.774
134.399 94.434 -164.885
134.766 94.425 -164.975
135.132 94.411 -165.009
135.498 94.401 -164.985
135.864 94.398 -164.932
136.230 94.403 -164.891
136.597 94.413 -164.891
136.963 94.422 -164.936
137.329 94.427 -165.008
137.695 94.428 -165.082
138.062 94.425 -165.142
138.428 94.422 -165.185
138.794 94.419 -165.218
139.160 94.418 -165.251
139.526 94.417 -165.287
139.893 94.415 -165.327
140.259 94.412 -165.365
140.625 94.408 -165.394
140.991 94.405 -165.411
141.357 94.403 -165.417
141.724 94.403 -165.419
142.090 94.405 -165.428
142.456 94.409 -165.450
142.822 94.413 -165.489
143.188 94.415 -165.540
143.555 94.415 -165.593
143.921 94.414 -165.643
144.287 94.413 -165.689
144.653 94.411 -165.730
145.020 94.408 -165.769
145.386 94.404 -165.799
145.752 94.401 -165.815
146.118 94.399 -165.817
146.484 94.401 -165.816
146.851 94.406 -165.828
147.217 94.411 -165.866
147.583 94.414 -165.927
147.949 94.413 -165.994
148.315 94.409 -166.049
148.682 94.403 -166.083
149.048 94.399 -166.103
149.414 94.397 -166.122
149.780 94.394 -166.147
150.146 94.390 -166.173
150.513 94.385 -166.189
150.879 94.381 -166.191
151.245 94.379 -166.183
151.611 94.379 -166.178
151.978 94.382 -166.186
152.344 94.384 -166.209
152.710 94.386 -166.243
153.076 94.386 -166.283
153.442 94.385 -166.321
153.809 94.383 -166.352
154.175 94.380 -166.369
154.541 94.379 -166.371
154.907 94.382 -166.369
155.273 94.389 -166.384
155.640 94.397 -166.434
156.006 94.400 -166.512
156.372 94.398 -166.591
156.738 94.391 -166.634
157.104 94.385 -166.628
157.471 94.387 -166.602
157.837 94.398 -166.606
158.203 94.409 -166.679
158.569 94.413 -166.810
158.936 94.403 -166.944
159.302 94.383 -167.014
159.668 94.362 -166.988
160.034 94.350 -166.892
160.400 94.352 -166.790
160.767 94.362 -166.738
161.133 94.373 -166.749
161.499 94.379 -166.798
161.865 94.379 -166.847
162.231 94.376 -166.876
162.598 94.375 -166.889
162.964 94.374 -166.900
163.330 94.374 -166.919
163.696 94.373 -166.939
164.062 94.372 -166.954
164.429 94.370 -166.964
164.795 94.370 -166.976
165.161 94.370 -166.998
165.527 94.368 -167.025
165.894 94.364 -167.046
166.260 94.360 -167.049
166.626 94.357 -167.037
166.992 94.356 -167.023
167.358 94.358 -167.020
167.725 94.359 -167.031
168.091 94.360 -167.051
168.457 94.360 -167.071
168.823 94.359 -167.091
169.189 94.359 -167.113
169.556 94.359 -167.141
169.922 94.357 -167.171
170.288 94.355 -167.197
170.654 94.353 -167.211
171.021 94.352 -167.219
171.387 94.354 -167.230
171.753 94.356 -167.253
172.119 94.358 -167.286
172.485 94.358 -167.320
172.852 94.356 -167.347
173.218 94.356 -167.364
173.584 94.356 -167.376
173.950 94.358 -167.391
174.316 94.359 -167.413
174.683 94.360 -167.438
175.049 94.359 -167.459
175.415 94.358 -167.469
175.781 94.357 -167.471
176.147 94.358 -167.474
176.514 94.360 -167.485
176.880 94.361 -167.503
177.246 94.359 -167.523
177.612 94.357 -167.533
177.979 94.355 -167.530
178.345 94.355 -167.522
178.711 94.357 -167.522
179.077 94.360 -167.544
179.443 94.360 -167.583
179.810 94.357 -167.626
180.176 94.351 -167.650
180.542 94.345 -167.646
180.908 94.342 -167.622
181.274 94.345 -167.601
181.641 94.350 -167.606
182.007 94.356 -167.647
182.373 94.358 -167.710
182.739 94.355 -167.773
183.105 94.350 -167.816
183.472 94.344 -167.834
183.838 94.339 -167.835
184.204 94.338 -167.832
184.570 94.338 -167.834
184.937 94.339 -167.844
185.303 94.339 -167.857
185.669 94.338 -167.868
