* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS  With no timing reference
* Dated: Sep 24, 2020 3:55:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ER2SE (R)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 91.281 -85.511
20.508 91.348 -87.067
20.874 91.388 -88.251
21.240 91.444 -89.175
21.606 91.530 -90.082
21.973 91.627 -91.144
22.339 91.706 -92.358
22.705 91.756 -93.582
23.071 91.784 -94.668
23.438 91.813 -95.569
23.804 91.858 -96.354
24.170 91.929 -97.140
24.536 92.009 -98.003
24.902 92.085 -98.938
25.269 92.150 -99.893
25.635 92.209 -100.821
26.001 92.267 -101.723
26.367 92.326 -102.645
26.733 92.383 -103.634
27.100 92.428 -104.696
27.466 92.449 -105.766
27.832 92.446 -106.736
28.198 92.432 -107.512
28.564 92.429 -108.086
28.931 92.457 -108.562
29.297 92.517 -109.111
29.663 92.592 -109.859
30.029 92.656 -110.807
30.396 92.692 -111.829
30.762 92.701 -112.759
31.128 92.702 -113.496
31.494 92.717 -114.066
31.860 92.756 -114.593
32.227 92.811 -115.197
32.593 92.862 -115.897
32.959 92.898 -116.608
33.325 92.920 -117.216
33.691 92.947 -117.671
34.058 92.997 -118.041
34.424 93.070 -118.459
34.790 93.152 -119.035
35.156 93.223 -119.779
35.522 93.265 -120.603
35.889 93.279 -121.381
36.255 93.273 -122.027
36.621 93.263 -122.526
36.987 93.258 -122.920
37.354 93.261 -123.264
37.720 93.271 -123.586
38.086 93.289 -123.894
38.452 93.315 -124.204
38.818 93.349 -124.556
39.185 93.386 -124.994
39.551 93.414 -125.520
39.917 93.425 -126.072
40.283 93.422 -126.558
40.649 93.418 -126.928
41.016 93.428 -127.228
41.382 93.456 -127.577
41.748 93.487 -128.064
42.114 93.500 -128.656
42.480 93.488 -129.204
42.847 93.466 -129.557
43.213 93.468 -129.718
43.579 93.516 -129.895
43.945 93.596 -130.368
44.312 93.661 -131.257
44.678 93.662 -132.391
45.044 93.582 -133.382
45.410 93.454 -133.841
45.776 93.349 -133.645
46.143 93.333 -133.074
46.509 93.418 -132.649
46.875 93.551 -132.746
47.241 93.665 -133.361
47.607 93.718 -134.192
47.974 93.714 -134.894
48.340 93.693 -135.301
48.706 93.691 -135.489
49.072 93.717 -135.667
49.438 93.752 -135.969
49.805 93.773 -136.363
50.171 93.773 -136.713
50.537 93.766 -136.920
50.903 93.773 -137.013
51.270 93.799 -137.114
51.636 93.835 -137.328
52.002 93.862 -137.655
52.368 93.872 -138.010
52.734 93.870 -138.304
53.101 93.868 -138.520
53.467 93.876 -138.713
53.833 93.891 -138.953
54.199 93.905 -139.264
54.565 93.909 -139.613
54.932 93.904 -139.942
55.298 93.895 -140.220
55.664 93.888 -140.454
56.030 93.887 -140.672
56.396 93.890 -140.893
56.763 93.894 -141.125
57.129 93.898 -141.360
57.495 93.903 -141.596
57.861 93.907 -141.830
58.228 93.910 -142.054
58.594 93.911 -142.251
58.960 93.914 -142.413
59.326 93.922 -142.548
59.692 93.937 -142.688
60.059 93.957 -142.863
60.425 93.977 -143.088
60.791 93.990 -143.342
61.157 93.997 -143.594
61.523 93.999 -143.816
61.890 94.002 -144.010
62.256 94.006 -144.195
62.622 94.012 -144.394
62.988 94.016 -144.610
63.354 94.016 -144.825
63.721 94.014 -145.020
64.087 94.013 -145.189
64.453 94.016 -145.349
64.819 94.021 -145.526
65.186 94.027 -145.730
65.552 94.029 -145.949
65.918 94.027 -146.152
66.284 94.024 -146.318
66.650 94.025 -146.452
67.017 94.032 -146.582
67.383 94.045 -146.743
67.749 94.058 -146.945
68.115 94.065 -147.169
68.481 94.067 -147.379
68.848 94.068 -147.551
69.214 94.072 -147.693
69.580 94.082 -147.838
69.946 94.094 -148.022
70.312 94.103 -148.249
70.679 94.102 -148.489
71.045 94.093 -148.692
71.411 94.080 -148.823
71.777 94.072 -148.885
72.144 94.075 -148.919
72.510 94.086 -148.978
72.876 94.101 -149.092
73.242 94.113 -149.254
73.608 94.117 -149.426
73.975 94.117 -149.574
74.341 94.117 -149.689
74.707 94.121 -149.791
75.073 94.129 -149.914
75.439 94.136 -150.075
75.806 94.137 -150.257
76.172 94.132 -150.423
76.538 94.123 -150.540
76.904 94.118 -150.607
77.271 94.120 -150.653
77.637 94.131 -150.724
78.003 94.144 -150.847
78.369 94.154 -151.015
78.735 94.157 -151.200
79.102 94.155 -151.370
79.468 94.152 -151.512
79.834 94.150 -151.630
80.200 94.150 -151.740
80.566 94.153 -151.850
80.933 94.156 -151.964
81.299 94.160 -152.082
81.665 94.165 -152.209
82.031 94.170 -152.349
82.397 94.172 -152.496
82.764 94.170 -152.636
83.130 94.167 -152.751
83.496 94.164 -152.836
83.862 94.165 -152.904
84.229 94.170 -152.975
84.595 94.177 -153.062
84.961 94.184 -153.166
85.327 94.190 -153.280
85.693 94.196 -153.402
86.060 94.202 -153.542
86.426 94.206 -153.707
86.792 94.203 -153.884
87.158 94.193 -154.035
87.524 94.180 -154.128
87.891 94.172 -154.160
88.257 94.175 -154.174
88.623 94.189 -154.234
88.989 94.203 -154.375
89.355 94.210 -154.576
89.722 94.204 -154.774
90.088 94.191 -154.909
90.454 94.181 -154.970
90.820 94.181 -154.999
91.187 94.189 -155.061
91.553 94.198 -155.181
91.919 94.199 -155.333
92.285 94.192 -155.457
92.651 94.183 -155.514
93.018 94.182 -155.517
93.384 94.191 -155.524
93.750 94.207 -155.591
94.116 94.220 -155.730
94.482 94.221 -155.898
94.849 94.212 -156.029
95.215 94.200 -156.083
95.581 94.194 -156.073
95.947 94.200 -156.049
96.313 94.214 -156.073
96.680 94.229 -156.172
97.046 94.237 -156.330
97.412 94.233 -156.498
97.778 94.219 -156.622
98.145 94.202 -156.671
98.511 94.191 -156.650
98.877 94.190 -156.599
99.243 94.201 -156.572
99.609 94.218 -156.607
99.976 94.233 -156.715
100.342 94.242 -156.868
100.708 94.243 -157.025
101.074 94.238 -157.153
101.440 94.233 -157.244
101.807 94.232 -157.315
102.173 94.235 -157.394
102.539 94.239 -157.499
102.905 94.241 -157.624
103.271 94.238 -157.749
103.638 94.232 -157.851
104.004 94.226 -157.921
104.370 94.224 -157.971
104.736 94.226 -158.022
105.103 94.231 -158.095
105.469 94.234 -158.191
105.835 94.234 -158.297
106.201 94.230 -158.389
106.567 94.224 -158.450
106.934 94.221 -158.484
107.300 94.223 -158.514
107.666 94.228 -158.566
108.032 94.233 -158.651
108.398 94.233 -158.755
108.765 94.226 -158.845
109.131 94.216 -158.890
109.497 94.210 -158.888
109.863 94.211 -158.868
110.229 94.221 -158.872
110.596 94.233 -158.929
110.962 94.242 -159.035
111.328 94.244 -159.160
111.694 94.241 -159.269
112.061 94.236 -159.346
112.427 94.233 -159.398
112.793 94.233 -159.445
113.159 94.235 -159.500
113.525 94.237 -159.562
113.892 94.239 -159.618
114.258 94.241 -159.663
114.624 94.247 -159.706
114.990 94.255 -159.768
115.356 94.263 -159.862
115.723 94.267 -159.981
116.089 94.263 -160.098
116.455 94.254 -160.177
116.821 94.244 -160.202
117.188 94.240 -160.184
117.554 94.243 -160.162
117.920 94.252 -160.173
118.286 94.261 -160.233
118.652 94.265 -160.322
119.019 94.262 -160.406
119.385 94.257 -160.459
119.751 94.254 -160.486
120.117 94.254 -160.512
120.483 94.256 -160.566
120.850 94.254 -160.644
121.216 94.247 -160.717
121.582 94.237 -160.747
121.948 94.231 -160.724
122.314 94.235 -160.682
122.681 94.250 -160.676
123.047 94.269 -160.750
123.413 94.283 -160.900
123.779 94.285 -161.079
124.146 94.276 -161.226
124.512 94.264 -161.302
124.878 94.255 -161.316
125.244 94.256 -161.308
125.610 94.264 -161.324
125.977 94.274 -161.383
126.343 94.280 -161.475
126.709 94.280 -161.572
127.075 94.276 -161.647
127.441 94.271 -161.689
127.808 94.268 -161.705
128.174 94.268 -161.711
128.540 94.271 -161.728
128.906 94.275 -161.765
129.272 94.277 -161.822
129.639 94.275 -161.886
130.005 94.270 -161.940
130.371 94.262 -161.970
130.737 94.256 -161.977
131.104 94.254 -161.977
131.470 94.254 -161.987
131.836 94.256 -162.020
132.202 94.255 -162.071
132.568 94.251 -162.122
132.935 94.246 -162.157
133.301 94.242 -162.175
133.667 94.242 -162.185
134.033 94.244 -162.203
134.399 94.248 -162.240
134.766 94.252 -162.292
135.132 94.254 -162.350
135.498 94.255 -162.406
135.864 94.257 -162.456
136.230 94.259 -162.506
136.597 94.263 -162.561
136.963 94.266 -162.626
137.329 94.268 -162.700
137.695 94.267 -162.776
138.062 94.264 -162.846
138.428 94.258 -162.898
138.794 94.251 -162.927
139.160 94.245 -162.930
139.526 94.242 -162.914
139.893 94.242 -162.893
140.259 94.246 -162.882
140.625 94.252 -162.892
140.991 94.257 -162.924
141.357 94.261 -162.973
141.724 94.261 -163.032
142.090 94.260 -163.094
142.456 94.255 -163.152
142.822 94.248 -163.200
143.188 94.239 -163.228
143.555 94.230 -163.225
143.921 94.225 -163.194
144.287 94.227 -163.156
144.653 94.236 -163.145
145.020 94.248 -163.188
145.386 94.256 -163.289
145.752 94.255 -163.415
146.118 94.246 -163.518
146.484 94.234 -163.564
146.851 94.227 -163.559
147.217 94.229 -163.548
147.583 94.236 -163.583
147.949 94.241 -163.675
148.315 94.236 -163.786
148.682 94.223 -163.854
149.048 94.208 -163.837
149.414 94.204 -163.756
149.780 94.214 -163.681
150.146 94.233 -163.680
150.513 94.249 -163.770
150.879 94.254 -163.903
151.245 94.247 -164.008
151.611 94.237 -164.041
151.978 94.231 -164.016
152.344 94.235 -163.985
152.710 94.243 -163.992
153.076 94.249 -164.039
153.442 94.250 -164.097
153.809 94.247 -164.136
154.175 94.244 -164.155
154.541 94.242 -164.173
154.907 94.239 -164.198
155.273 94.232 -164.214
155.640 94.225 -164.200
156.006 94.222 -164.158
156.372 94.226 -164.128
156.738 94.233 -164.159
157.104 94.233 -164.256
157.471 94.219 -164.360
157.837 94.192 -164.380
158.203 94.168 -164.262
158.569 94.163 -164.046
158.936 94.185 -163.857
159.302 94.226 -163.824
159.668 94.265 -163.991
160.034 94.282 -164.292
160.400 94.272 -164.601
160.767 94.243 -164.805
161.133 94.212 -164.870
161.499 94.191 -164.837
161.865 94.183 -164.784
162.231 94.185 -164.763
162.598 94.189 -164.781
162.964 94.191 -164.818
163.330 94.192 -164.853
163.696 94.193 -164.882
164.062 94.196 -164.915
164.429 94.198 -164.957
164.795 94.199 -164.999
165.161 94.197 -165.029
165.527 94.196 -165.039
165.894 94.197 -165.036
166.260 94.200 -165.035
166.626 94.205 -165.052
166.992 94.209 -165.089
167.358 94.209 -165.135
167.725 94.205 -165.172
168.091 94.200 -165.186
168.457 94.195 -165.178
168.823 94.193 -165.161
169.189 94.195 -165.154
169.556 94.197 -165.169
169.922 94.197 -165.200
170.288 94.194 -165.230
170.654 94.190 -165.242
171.021 94.188 -165.236
171.387 94.190 -165.229
171.753 94.195 -165.247
172.119 94.200 -165.300
172.485 94.201 -165.376
172.852 94.196 -165.445
173.218 94.187 -165.481
173.584 94.180 -165.478
173.950 94.179 -165.456
174.316 94.183 -165.445
174.683 94.189 -165.463
175.049 94.194 -165.508
175.415 94.195 -165.563
175.781 94.193 -165.608
176.147 94.190 -165.632
176.514 94.189 -165.641
176.880 94.190 -165.645
177.246 94.192 -165.653
177.612 94.196 -165.669
177.979 94.200 -165.695
178.345 94.203 -165.730
178.711 94.204 -165.773
179.077 94.203 -165.815
179.443 94.200 -165.844
179.810 94.196 -165.850
180.176 94.195 -165.836
180.542 94.198 -165.819
180.908 94.204 -165.825
181.274 94.210 -165.865
181.641 94.212 -165.931
182.007 94.208 -165.995
182.373 94.199 -166.027
182.739 94.191 -166.016
183.105 94.187 -165.980
183.472 94.190 -165.952
183.838 94.196 -165.960
184.204 94.201 -166.008
184.570 94.199 -166.074
184.937 94.192 -166.126
185.303 94.184 -166.147
185.669 94.177 -166.139
