* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Dec 20, 2020 12:00:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FiiO FD5 (L)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 100.717 -118.248
20.508 100.778 -119.184
20.874 100.834 -120.008
21.240 100.891 -120.828
21.606 100.947 -121.730
21.973 100.990 -122.724
22.339 101.013 -123.750
22.705 101.023 -124.737
23.071 101.031 -125.661
23.438 101.045 -126.558
23.804 101.065 -127.478
24.170 101.089 -128.431
24.536 101.108 -129.373
24.902 101.125 -130.251
25.269 101.151 -131.063
25.635 101.190 -131.876
26.001 101.235 -132.771
26.367 101.267 -133.754
26.733 101.272 -134.730
27.100 101.256 -135.544
27.466 101.234 -136.092
27.832 101.236 -136.406
28.198 101.276 -136.655
28.564 101.350 -137.034
28.931 101.432 -137.644
29.297 101.498 -138.448
29.663 101.537 -139.328
30.029 101.554 -140.176
30.396 101.560 -140.957
30.762 101.563 -141.693
31.128 101.561 -142.409
31.494 101.553 -143.099
31.860 101.540 -143.724
32.227 101.529 -144.264
32.593 101.529 -144.751
32.959 101.542 -145.251
33.325 101.561 -145.819
33.691 101.576 -146.449
34.058 101.583 -147.085
34.424 101.582 -147.664
34.790 101.582 -148.163
35.156 101.591 -148.619
35.522 101.609 -149.087
35.889 101.628 -149.601
36.255 101.642 -150.146
36.621 101.648 -150.679
36.987 101.651 -151.168
37.354 101.656 -151.617
37.720 101.666 -152.062
38.086 101.680 -152.537
38.452 101.692 -153.045
38.818 101.696 -153.556
39.185 101.694 -154.034
39.551 101.691 -154.463
39.917 101.693 -154.863
40.283 101.700 -155.265
40.649 101.708 -155.693
41.016 101.714 -156.139
41.382 101.715 -156.577
41.748 101.715 -156.986
42.114 101.718 -157.369
42.480 101.724 -157.753
42.847 101.730 -158.159
43.213 101.732 -158.582
43.579 101.726 -158.985
43.945 101.717 -159.327
44.312 101.713 -159.604
44.678 101.720 -159.855
45.044 101.737 -160.150
45.410 101.757 -160.537
45.776 101.769 -161.006
46.143 101.764 -161.496
46.509 101.747 -161.933
46.875 101.725 -162.281
47.241 101.710 -162.560
47.607 101.705 -162.828
47.974 101.704 -163.136
48.340 101.702 -163.491
48.706 101.694 -163.860
49.072 101.683 -164.209
49.438 101.672 -164.527
49.805 101.666 -164.837
50.171 101.663 -165.168
50.537 101.659 -165.526
50.903 101.648 -165.887
51.270 101.634 -166.216
51.636 101.619 -166.495
52.002 101.611 -166.743
52.368 101.609 -166.997
52.734 101.608 -167.285
53.101 101.605 -167.599
53.467 101.595 -167.909
53.833 101.583 -168.183
54.199 101.572 -168.414
54.565 101.566 -168.628
54.932 101.567 -168.859
55.298 101.568 -169.132
55.664 101.566 -169.441
56.030 101.558 -169.763
56.396 101.544 -170.070
56.763 101.527 -170.349
57.129 101.510 -170.602
57.495 101.495 -170.836
57.861 101.482 -171.059
58.228 101.472 -171.276
58.594 101.465 -171.496
58.960 101.462 -171.729
59.326 101.459 -171.985
59.692 101.456 -172.264
60.059 101.450 -172.556
60.425 101.441 -172.844
60.791 101.430 -173.113
61.157 101.419 -173.360
61.523 101.409 -173.593
61.890 101.402 -173.825
62.256 101.395 -174.065
62.622 101.387 -174.309
62.988 101.376 -174.546
63.354 101.364 -174.767
63.721 101.353 -174.970
64.087 101.344 -175.162
64.453 101.337 -175.358
64.819 101.331 -175.566
65.186 101.325 -175.788
65.552 101.316 -176.017
65.918 101.305 -176.241
66.284 101.293 -176.456
66.650 101.281 -176.664
67.017 101.270 -176.871
67.383 101.258 -177.081
67.749 101.247 -177.292
68.115 101.234 -177.498
68.481 101.222 -177.691
68.848 101.210 -177.874
69.214 101.200 -178.052
69.580 101.193 -178.234
69.946 101.185 -178.423
70.312 101.178 -178.618
70.679 101.171 -178.819
71.045 101.163 -179.025
71.411 101.153 -179.235
71.777 101.141 -179.444
72.144 101.126 -179.641
72.510 101.110 -179.812
72.876 101.094 -179.954
73.242 101.083 179.920
73.608 101.076 179.788
73.975 101.071 179.634
74.341 101.064 179.457
74.707 101.055 179.272
75.073 101.043 179.096
75.439 101.031 178.936
75.806 101.021 178.780
76.172 101.013 178.611
76.538 101.005 178.421
76.904 100.993 178.220
77.271 100.977 178.029
77.637 100.960 177.861
78.003 100.945 177.716
78.369 100.932 177.578
78.735 100.922 177.431
79.102 100.911 177.274
79.468 100.900 177.115
79.834 100.887 176.967
80.200 100.876 176.830
80.566 100.867 176.696
80.933 100.859 176.553
81.299 100.851 176.399
81.665 100.842 176.242
82.031 100.830 176.093
82.397 100.819 175.957
82.764 100.809 175.829
83.130 100.801 175.699
83.496 100.793 175.560
83.862 100.784 175.413
84.229 100.774 175.265
84.595 100.763 175.118
84.961 100.751 174.973
85.327 100.740 174.824
85.693 100.726 174.674
86.060 100.712 174.528
86.426 100.697 174.390
86.792 100.682 174.261
87.158 100.668 174.138
87.524 100.655 174.015
87.891 100.642 173.893
88.257 100.631 173.772
88.623 100.621 173.650
88.989 100.613 173.518
89.355 100.605 173.366
89.722 100.596 173.192
90.088 100.581 173.013
90.454 100.562 172.855
90.820 100.541 172.740
91.187 100.524 172.666
91.553 100.514 172.607
91.919 100.510 172.526
92.285 100.507 172.403
92.651 100.502 172.244
93.018 100.490 172.080
93.384 100.474 171.940
93.750 100.457 171.833
94.116 100.444 171.746
94.482 100.435 171.653
94.849 100.426 171.538
95.215 100.415 171.406
95.581 100.401 171.274
95.947 100.384 171.161
96.313 100.368 171.072
96.680 100.355 170.996
97.046 100.345 170.912
97.412 100.337 170.808
97.778 100.327 170.683
98.145 100.314 170.553
98.511 100.297 170.435
98.877 100.280 170.340
99.243 100.266 170.268
99.609 100.255 170.203
99.976 100.247 170.127
100.342 100.242 170.027
100.708 100.236 169.904
101.074 100.227 169.766
101.440 100.215 169.628
101.807 100.200 169.498
102.173 100.185 169.380
102.539 100.168 169.277
102.905 100.153 169.188
103.271 100.138 169.111
103.638 100.126 169.040
104.004 100.116 168.965
104.370 100.107 168.874
104.736 100.099 168.766
105.103 100.087 168.646
105.469 100.074 168.529
105.835 100.058 168.424
106.201 100.043 168.334
106.567 100.028 168.253
106.934 100.015 168.175
107.300 100.004 168.095
107.666 99.994 168.011
108.032 99.984 167.924
108.398 99.974 167.829
108.765 99.964 167.724
109.131 99.952 167.613
109.497 99.937 167.508
109.863 99.921 167.424
110.229 99.906 167.362
110.596 99.895 167.310
110.962 99.888 167.242
111.328 99.882 167.146
111.694 99.872 167.024
112.061 99.858 166.900
112.427 99.839 166.801
112.793 99.821 166.738
113.159 99.807 166.699
113.525 99.799 166.655
113.892 99.793 166.584
114.258 99.787 166.482
114.624 99.777 166.365
114.990 99.763 166.255
115.356 99.748 166.168
115.723 99.734 166.099
116.089 99.723 166.034
116.455 99.713 165.961
116.821 99.703 165.877
117.188 99.692 165.791
117.554 99.679 165.714
117.920 99.667 165.648
118.286 99.656 165.584
118.652 99.646 165.513
119.019 99.636 165.431
119.385 99.622 165.346
119.751 99.606 165.274
120.117 99.589 165.224
120.483 99.574 165.193
120.850 99.563 165.163
121.216 99.554 165.112
121.582 99.546 165.026
121.948 99.533 164.917
122.314 99.514 164.810
122.681 99.492 164.733
123.047 99.470 164.694
123.413 99.455 164.673
123.779 99.446 164.632
124.146 99.439 164.542
124.512 99.429 164.402
124.878 99.410 164.248
125.244 99.383 164.128
125.610 99.356 164.070
125.977 99.335 164.062
126.343 99.324 164.055
126.709 99.320 164.001
127.075 99.316 163.885
127.441 99.304 163.733
127.808 99.283 163.599
128.174 99.258 163.517
128.540 99.236 163.488
128.906 99.221 163.479
129.272 99.211 163.456
129.639 99.201 163.410
130.005 99.188 163.358
130.371 99.174 163.321
130.737 99.161 163.303
131.104 99.152 163.287
131.470 99.145 163.252
131.836 99.136 163.192
132.202 99.124 163.122
132.568 99.109 163.061
132.935 99.093 163.014
133.301 99.078 162.971
133.667 99.063 162.917
134.033 99.046 162.856
134.399 99.026 162.806
134.766 99.006 162.784
135.132 98.990 162.778
135.498 98.979 162.755
135.864 98.971 162.680
136.230 98.956 162.556
136.597 98.930 162.428
136.963 98.896 162.357
137.329 98.861 162.374
137.695 98.835 162.451
138.062 98.822 162.519
138.428 98.815 162.521
138.794 98.802 162.457
139.160 98.776 162.387
139.526 98.741 162.384
139.893 98.707 162.477
140.259 98.685 162.625
140.625 98.675 162.749
140.991 98.670 162.791
141.357 98.657 162.761
141.724 98.628 162.734
142.090 98.588 162.793
142.456 98.550 162.972
142.822 98.527 163.230
143.188 98.524 163.477
143.555 98.532 163.633
143.921 98.541 163.675
144.287 98.537 163.649
144.653 98.519 163.638
145.020 98.493 163.717
145.386 98.471 163.910
145.752 98.467 164.183
146.118 98.486 164.449
146.484 98.524 164.619
146.851 98.568 164.646
147.217 98.606 164.544
147.583 98.628 164.383
147.949 98.636 164.244
148.315 98.637 164.176
148.682 98.641 164.181
149.048 98.653 164.221
149.414 98.675 164.249
149.780 98.702 164.235
150.146 98.730 164.164
150.513 98.756 164.030
150.879 98.772 163.841
151.245 98.773 163.627
151.611 98.758 163.451
151.978 98.732 163.382
152.344 98.711 163.438
152.710 98.706 163.554
153.076 98.721 163.600
153.442 98.738 163.481
153.809 98.734 163.225
154.175 98.696 162.983
154.541 98.636 162.941
154.907 98.585 163.171
155.273 98.577 163.548
155.640 98.618 163.806
156.006 98.682 163.730
156.372 98.726 163.308
156.738 98.723 162.733
157.104 98.672 162.270
157.471 98.603 162.089
157.837 98.552 162.163
158.203 98.538 162.308
158.569 98.552 162.325
158.936 98.568 162.151
159.302 98.565 161.875
159.668 98.540 161.645
160.034 98.507 161.550
160.400 98.487 161.571
160.767 98.484 161.608
161.133 98.493 161.567
161.499 98.500 161.433
161.865 98.493 161.261
162.231 98.475 161.128
162.598 98.452 161.076
162.964 98.434 161.092
163.330 98.426 161.129
163.696 98.424 161.143
164.062 98.423 161.116
164.429 98.419 161.061
164.795 98.411 161.000
165.161 98.400 160.948
165.527 98.389 160.906
165.894 98.378 160.866
166.260 98.367 160.821
166.626 98.356 160.770
166.992 98.343 160.717
167.358 98.330 160.665
167.725 98.316 160.615
168.091 98.302 160.566
168.457 98.288 160.519
168.823 98.273 160.477
169.189 98.258 160.445
169.556 98.243 160.426
169.922 98.231 160.416
170.288 98.222 160.406
170.654 98.214 160.388
171.021 98.207 160.359
171.387 98.200 160.322
171.753 98.191 160.280
172.119 98.181 160.239
172.485 98.171 160.201
172.852 98.160 160.168
173.218 98.149 160.142
173.584 98.139 160.120
173.950 98.130 160.096
174.316 98.121 160.064
174.683 98.111 160.023
175.049 98.100 159.981
175.415 98.088 159.946
175.781 98.077 159.923
176.147 98.068 159.905
176.514 98.061 159.876
176.880 98.054 159.828
177.246 98.046 159.764
177.612 98.034 159.698
177.979 98.020 159.649
178.345 98.005 159.625
178.711 97.993 159.619
179.077 97.984 159.621
179.443 97.977 159.619
179.810 97.972 159.607
180.176 97.966 159.585
180.542 97.961 159.556
180.908 97.955 159.522
181.274 97.948 159.484
181.641 97.939 159.447
182.007 97.928 159.417
182.373 97.917 159.398
182.739 97.907 159.387
183.105 97.897 159.377
183.472 97.888 159.363
183.838 97.879 159.341
184.204 97.869 159.317
184.570 97.857 159.296
184.937 97.846 159.281
185.303 97.835 159.270
185.669 97.825 159.256
186.035 97.815 159.236
186.401 97.805 159.208
186.768 97.794 159.179
187.134 97.782 159.157
187.500 97.770 159.148
187.866 97.760 159.147
188.232 97.753 159.143
188.599 97.747 159.126
188.965 97.742 159.091
189.331 97.734 159.048
189.697 97.725 159.008
190.063 97.714 158.980
190.430 97.704 158.962
190.796 97.697 158.944
191.162 97.689 158.916
191.528 97.680 158.882
191.895 97.668 158.853
192.261 97.655 158.842
192.627 97.642 158.851
192.993 97.632 158.871
193.359 97.625 158.887
193.726 97.620 158.888
194.092 97.614 158.873
194.458 97.607 158.847
194.824 97.598 158.817
