* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Dec 20, 2020 12:06:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FiiO FD5 (R)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 100.466 -116.419
20.508 100.535 -117.476
20.874 100.588 -118.419
21.240 100.639 -119.326
21.606 100.688 -120.285
21.973 100.724 -121.328
22.339 100.740 -122.397
22.705 100.737 -123.394
23.071 100.733 -124.254
23.438 100.744 -125.001
23.804 100.780 -125.739
24.170 100.840 -126.574
24.536 100.903 -127.547
24.902 100.954 -128.605
25.269 100.988 -129.651
25.635 101.011 -130.605
26.001 101.034 -131.448
26.367 101.062 -132.215
26.733 101.098 -132.958
27.100 101.140 -133.707
27.466 101.178 -134.463
27.832 101.209 -135.209
28.198 101.234 -135.931
28.564 101.253 -136.623
28.931 101.266 -137.281
29.297 101.277 -137.896
29.663 101.287 -138.472
30.029 101.301 -139.030
30.396 101.320 -139.604
30.762 101.340 -140.225
31.128 101.354 -140.892
31.494 101.359 -141.569
31.860 101.354 -142.202
32.227 101.349 -142.759
32.593 101.352 -143.252
32.959 101.368 -143.734
33.325 101.395 -144.265
33.691 101.425 -144.878
34.058 101.452 -145.559
34.424 101.466 -146.261
34.790 101.469 -146.925
35.156 101.464 -147.510
35.522 101.460 -148.005
35.889 101.464 -148.434
36.255 101.478 -148.845
36.621 101.499 -149.286
36.987 101.521 -149.784
37.354 101.535 -150.327
37.720 101.538 -150.871
38.086 101.534 -151.366
38.452 101.528 -151.786
38.818 101.527 -152.148
39.185 101.534 -152.496
39.551 101.548 -152.876
39.917 101.563 -153.306
40.283 101.572 -153.770
40.649 101.577 -154.240
41.016 101.577 -154.697
41.382 101.577 -155.139
41.748 101.576 -155.572
42.114 101.575 -155.999
42.480 101.574 -156.413
42.847 101.573 -156.814
43.213 101.576 -157.213
43.579 101.580 -157.633
43.945 101.582 -158.079
44.312 101.576 -158.529
44.678 101.563 -158.936
45.044 101.547 -159.265
45.410 101.538 -159.517
45.776 101.542 -159.742
46.143 101.558 -160.002
46.509 101.578 -160.337
46.875 101.593 -160.738
47.241 101.599 -161.163
47.607 101.596 -161.570
47.974 101.587 -161.935
48.340 101.579 -162.265
48.706 101.572 -162.576
49.072 101.568 -162.882
49.438 101.565 -163.188
49.805 101.562 -163.498
50.171 101.560 -163.819
50.537 101.557 -164.156
50.903 101.550 -164.500
51.270 101.539 -164.831
51.636 101.525 -165.126
52.002 101.513 -165.385
52.368 101.508 -165.628
52.734 101.508 -165.890
53.101 101.509 -166.193
53.467 101.507 -166.531
53.833 101.499 -166.875
54.199 101.486 -167.191
54.565 101.472 -167.465
54.932 101.461 -167.708
55.298 101.456 -167.949
55.664 101.453 -168.211
56.030 101.449 -168.499
56.396 101.441 -168.795
56.763 101.429 -169.074
57.129 101.415 -169.321
57.495 101.404 -169.538
57.861 101.397 -169.743
58.228 101.394 -169.957
58.594 101.392 -170.192
58.960 101.389 -170.446
59.326 101.383 -170.702
59.692 101.375 -170.949
60.059 101.367 -171.184
60.425 101.361 -171.415
60.791 101.356 -171.654
61.157 101.350 -171.906
61.523 101.341 -172.161
61.890 101.330 -172.407
62.256 101.319 -172.635
62.622 101.309 -172.851
62.988 101.301 -173.069
63.354 101.294 -173.301
63.721 101.286 -173.545
64.087 101.275 -173.788
64.453 101.262 -174.017
64.819 101.249 -174.226
65.186 101.239 -174.422
65.552 101.231 -174.621
65.918 101.225 -174.835
66.284 101.218 -175.064
66.650 101.209 -175.302
67.017 101.197 -175.532
67.383 101.183 -175.745
67.749 101.170 -175.937
68.115 101.159 -176.113
68.481 101.150 -176.284
68.848 101.143 -176.459
69.214 101.137 -176.644
69.580 101.130 -176.834
69.946 101.122 -177.023
70.312 101.115 -177.210
70.679 101.109 -177.401
71.045 101.103 -177.607
71.411 101.094 -177.828
71.777 101.082 -178.051
72.144 101.065 -178.253
72.510 101.048 -178.419
72.876 101.034 -178.555
73.242 101.026 -178.688
73.608 101.022 -178.849
73.975 101.017 -179.047
74.341 101.007 -179.265
74.707 100.992 -179.466
75.073 100.975 -179.629
75.439 100.962 -179.761
75.806 100.955 -179.895
76.172 100.951 179.942
76.538 100.945 179.745
76.904 100.934 179.542
77.271 100.918 179.362
77.637 100.902 179.221
78.003 100.891 179.101
78.369 100.884 178.975
78.735 100.879 178.821
79.102 100.872 178.645
79.468 100.861 178.467
79.834 100.848 178.305
80.200 100.834 178.162
80.566 100.822 178.028
80.933 100.812 177.892
81.299 100.800 177.756
81.665 100.789 177.627
82.031 100.778 177.510
82.397 100.770 177.396
82.764 100.764 177.272
83.130 100.759 177.125
83.496 100.752 176.960
83.862 100.742 176.792
84.229 100.729 176.635
84.595 100.717 176.491
84.961 100.706 176.349
85.327 100.695 176.197
85.693 100.683 176.036
86.060 100.667 175.879
86.426 100.649 175.745
86.792 100.632 175.642
87.158 100.619 175.561
87.524 100.612 175.477
87.891 100.609 175.361
88.257 100.606 175.204
88.623 100.598 175.013
88.989 100.582 174.820
89.355 100.561 174.658
89.722 100.538 174.549
90.088 100.519 174.490
90.454 100.509 174.449
90.820 100.506 174.388
91.187 100.508 174.277
91.553 100.507 174.114
91.919 100.499 173.924
92.285 100.485 173.744
92.651 100.466 173.600
93.018 100.449 173.494
93.384 100.435 173.408
93.750 100.426 173.317
94.116 100.419 173.205
94.482 100.410 173.074
94.849 100.399 172.935
95.215 100.385 172.805
95.581 100.370 172.692
95.947 100.356 172.597
96.313 100.345 172.511
96.680 100.335 172.423
97.046 100.327 172.323
97.412 100.319 172.204
97.778 100.309 172.074
98.145 100.294 171.949
98.511 100.278 171.847
98.877 100.262 171.774
99.243 100.251 171.720
99.609 100.245 171.656
99.976 100.242 171.558
100.342 100.237 171.419
100.708 100.227 171.259
101.074 100.210 171.112
101.440 100.191 170.999
101.807 100.174 170.920
102.173 100.161 170.851
102.539 100.152 170.767
102.905 100.143 170.656
103.271 100.132 170.529
103.638 100.117 170.406
104.004 100.101 170.301
104.370 100.086 170.214
104.736 100.073 170.133
105.103 100.062 170.048
105.469 100.051 169.955
105.835 100.039 169.861
106.201 100.028 169.771
106.567 100.016 169.686
106.934 100.006 169.602
107.300 99.997 169.517
107.666 99.987 169.429
108.032 99.978 169.340
108.398 99.969 169.252
108.765 99.960 169.162
109.131 99.950 169.069
109.497 99.941 168.973
109.863 99.930 168.878
110.229 99.919 168.785
110.596 99.908 168.694
110.962 99.897 168.602
111.328 99.885 168.507
111.694 99.873 168.410
112.061 99.859 168.319
112.427 99.845 168.239
112.793 99.833 168.167
113.159 99.821 168.097
113.525 99.811 168.021
113.892 99.802 167.935
114.258 99.790 167.843
114.624 99.778 167.753
114.990 99.764 167.674
115.356 99.751 167.607
115.723 99.739 167.545
116.089 99.728 167.482
116.455 99.717 167.411
116.821 99.706 167.333
117.188 99.692 167.257
117.554 99.677 167.193
117.920 99.662 167.149
118.286 99.649 167.122
118.652 99.640 167.097
119.019 99.635 167.053
119.385 99.631 166.975
119.751 99.625 166.863
120.117 99.613 166.736
120.483 99.596 166.620
120.850 99.576 166.532
121.216 99.557 166.474
121.582 99.542 166.426
121.948 99.531 166.366
122.314 99.521 166.283
122.681 99.508 166.185
123.047 99.491 166.095
123.413 99.472 166.033
123.779 99.456 166.005
124.146 99.445 165.995
124.512 99.441 165.976
124.878 99.439 165.923
125.244 99.437 165.832
125.610 99.430 165.722
125.977 99.417 165.620
126.343 99.402 165.548
126.709 99.388 165.505
127.075 99.379 165.471
127.441 99.372 165.418
127.808 99.364 165.333
128.174 99.351 165.229
128.540 99.330 165.138
128.906 99.306 165.092
129.272 99.283 165.102
129.639 99.268 165.142
130.005 99.261 165.169
130.371 99.260 165.145
130.737 99.258 165.058
131.104 99.248 164.934
131.470 99.231 164.813
131.836 99.208 164.728
132.202 99.186 164.684
132.568 99.169 164.659
132.935 99.157 164.624
133.301 99.145 164.562
133.667 99.130 164.482
134.033 99.110 164.414
134.399 99.089 164.383
134.766 99.071 164.396
135.132 99.061 164.427
135.498 99.060 164.432
135.864 99.063 164.373
136.230 99.062 164.245
136.597 99.050 164.079
136.963 99.026 163.932
137.329 98.994 163.853
137.695 98.964 163.856
138.062 98.942 163.910
138.428 98.931 163.957
138.794 98.925 163.953
139.160 98.917 163.891
139.526 98.902 163.805
139.893 98.879 163.741
140.259 98.855 163.726
140.625 98.834 163.749
140.991 98.819 163.778
141.357 98.809 163.786
141.724 98.799 163.766
142.090 98.788 163.734
142.456 98.777 163.698
142.822 98.767 163.654
143.188 98.757 163.584
143.555 98.743 163.480
143.921 98.721 163.362
144.287 98.688 163.273
144.653 98.648 163.264
145.020 98.610 163.359
145.386 98.584 163.539
145.752 98.575 163.750
146.118 98.583 163.923
146.484 98.601 164.004
146.851 98.621 163.977
147.217 98.633 163.867
147.583 98.633 163.730
147.949 98.624 163.620
148.315 98.612 163.563
148.682 98.606 163.544
149.048 98.607 163.512
149.414 98.611 163.421
149.780 98.608 163.266
150.146 98.591 163.098
150.513 98.559 163.000
150.879 98.522 163.038
151.245 98.496 163.215
151.611 98.494 163.454
151.978 98.516 163.635
152.344 98.549 163.661
152.710 98.574 163.518
153.076 98.574 163.293
153.442 98.544 163.133
153.809 98.498 163.174
154.175 98.465 163.451
154.541 98.468 163.851
154.907 98.515 164.152
155.273 98.585 164.157
155.640 98.640 163.817
156.006 98.647 163.271
156.372 98.596 162.776
156.738 98.507 162.566
157.104 98.419 162.722
157.471 98.368 163.115
157.837 98.364 163.495
158.203 98.385 163.667
158.569 98.400 163.617
158.936 98.390 163.484
159.302 98.359 163.434
159.668 98.329 163.532
160.034 98.318 163.704
160.400 98.328 163.815
160.767 98.343 163.788
161.133 98.346 163.661
161.499 98.332 163.544
161.865 98.310 163.524
162.231 98.296 163.599
162.598 98.298 163.690
162.964 98.311 163.715
163.330 98.322 163.654
163.696 98.324 163.559
164.062 98.317 163.497
164.429 98.311 163.494
164.795 98.313 163.517
165.161 98.321 163.509
165.527 98.329 163.447
165.894 98.329 163.355
166.260 98.322 163.286
166.626 98.313 163.269
166.992 98.311 163.286
167.358 98.316 163.284
167.725 98.324 163.223
168.091 98.327 163.108
168.457 98.320 162.985
168.823 98.306 162.901
169.189 98.294 162.867
169.556 98.288 162.850
169.922 98.288 162.805
170.288 98.287 162.712
170.654 98.279 162.600
171.021 98.264 162.515
171.387 98.249 162.483
171.753 98.240 162.487
172.119 98.238 162.482
172.485 98.239 162.434
172.852 98.237 162.350
173.218 98.229 162.269
173.584 98.218 162.222
173.950 98.211 162.205
174.316 98.209 162.181
174.683 98.209 162.118
175.049 98.204 162.021
175.415 98.192 161.928
175.781 98.177 161.878
176.147 98.164 161.870
176.514 98.158 161.864
176.880 98.156 161.818
177.246 98.149 161.728
177.612 98.134 161.636
177.979 98.113 161.595
178.345 98.095 161.620
178.711 98.087 161.672
179.077 98.089 161.688
179.443 98.093 161.632
179.810 98.090 161.524
180.176 98.076 161.422
180.542 98.058 161.376
180.908 98.044 161.385
181.274 98.038 161.404
181.641 98.039 161.381
182.007 98.038 161.298
182.373 98.029 161.186
182.739 98.011 161.098
183.105 97.989 161.069
183.472 97.971 161.095
183.838 97.962 161.139
184.204 97.959 161.160
184.570 97.957 161.137
184.937 97.953 161.078
185.303 97.944 161.010
185.669 97.930 160.956
186.035 97.916 160.930
186.401 97.903 160.925
186.768 97.894 160.924
187.134 97.888 160.910
187.500 97.882 160.875
187.866 97.875 160.821
188.232 97.865 160.764
188.599 97.852 160.717
188.965 97.839 160.688
189.331 97.828 160.673
189.697 97.818 160.662
190.063 97.809 160.650
190.430 97.801 160.638
190.796 97.793 160.629
191.162 97.787 160.623
191.528 97.782 160.612
191.895 97.777 160.588
192.261 97.770 160.554
192.627 97.759 160.525
192.993 97.747 160.519
193.359 97.736 160.540
193.726 97.729 160.570
194.092 97.726 160.581
194.458 97.723 160.554
