* Measurement data measured by REW V5.19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Dec 21, 2020 11:50:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FD5 (R) narrow; triple L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.142, 99.902, -115.154
20.508, 99.965, -116.215
20.874, 100.003, -117.180
21.240, 100.028, -118.017
21.606, 100.054, -118.738
21.973, 100.094, -119.415
22.339, 100.151, -120.150
22.705, 100.215, -121.020
23.071, 100.272, -122.021
23.438, 100.313, -123.084
23.804, 100.339, -124.119
24.170, 100.365, -125.071
24.536, 100.395, -125.939
24.902, 100.435, -126.764
25.269, 100.485, -127.592
25.635, 100.539, -128.455
26.001, 100.591, -129.359
26.367, 100.634, -130.296
26.733, 100.664, -131.235
27.100, 100.683, -132.127
27.466, 100.688, -132.919
27.832, 100.691, -133.582
28.198, 100.700, -134.141
28.564, 100.723, -134.669
28.931, 100.755, -135.245
29.297, 100.785, -135.898
29.663, 100.804, -136.594
30.029, 100.811, -137.264
30.396, 100.815, -137.864
30.762, 100.825, -138.410
31.128, 100.845, -138.965
31.494, 100.868, -139.581
31.860, 100.887, -140.256
32.227, 100.894, -140.936
32.593, 100.895, -141.558
32.959, 100.897, -142.106
33.325, 100.907, -142.614
33.691, 100.926, -143.137
34.058, 100.949, -143.697
34.424, 100.968, -144.272
34.790, 100.981, -144.821
35.156, 100.996, -145.332
35.522, 101.014, -145.833
35.889, 101.035, -146.365
36.255, 101.050, -146.940
36.621, 101.053, -147.516
36.987, 101.045, -148.024
37.354, 101.036, -148.429
37.720, 101.039, -148.766
38.086, 101.059, -149.121
38.452, 101.086, -149.570
38.818, 101.105, -150.117
39.185, 101.106, -150.689
39.551, 101.092, -151.188
39.917, 101.076, -151.560
40.283, 101.072, -151.836
40.649, 101.086, -152.105
41.016, 101.112, -152.455
41.382, 101.138, -152.906
41.748, 101.152, -153.415
42.114, 101.154, -153.913
42.480, 101.147, -154.356
42.847, 101.140, -154.740
43.213, 101.134, -155.082
43.579, 101.131, -155.395
43.945, 101.131, -155.677
44.312, 101.136, -155.931
44.678, 101.151, -156.189
45.044, 101.174, -156.502
45.410, 101.198, -156.908
45.776, 101.212, -157.398
46.143, 101.208, -157.906
46.509, 101.190, -158.355
46.875, 101.167, -158.697
47.241, 101.152, -158.955
47.607, 101.152, -159.196
47.974, 101.159, -159.492
48.340, 101.166, -159.865
48.706, 101.165, -160.285
49.072, 101.154, -160.696
49.438, 101.137, -161.055
49.805, 101.122, -161.357
50.171, 101.113, -161.626
50.537, 101.110, -161.894
50.903, 101.110, -162.181
51.270, 101.109, -162.480
51.636, 101.107, -162.775
52.002, 101.104, -163.053
52.368, 101.105, -163.318
52.734, 101.109, -163.586
53.101, 101.115, -163.880
53.467, 101.119, -164.212
53.833, 101.119, -164.572
54.199, 101.109, -164.929
54.565, 101.091, -165.243
54.932, 101.071, -165.488
55.298, 101.054, -165.663
55.664, 101.048, -165.803
56.030, 101.053, -165.958
56.396, 101.065, -166.174
56.763, 101.078, -166.468
57.129, 101.084, -166.828
57.495, 101.078, -167.214
57.861, 101.060, -167.577
58.228, 101.035, -167.878
58.594, 101.010, -168.105
58.960, 100.990, -168.273
59.326, 100.979, -168.423
59.692, 100.975, -168.590
60.059, 100.973, -168.791
60.425, 100.970, -169.013
60.791, 100.964, -169.230
61.157, 100.958, -169.424
61.523, 100.956, -169.605
61.890, 100.959, -169.803
62.256, 100.963, -170.043
62.622, 100.963, -170.324
62.988, 100.954, -170.613
63.354, 100.940, -170.870
63.721, 100.924, -171.077
64.087, 100.914, -171.251
64.453, 100.910, -171.432
64.819, 100.909, -171.652
65.186, 100.905, -171.913
65.552, 100.893, -172.185
65.918, 100.876, -172.433
66.284, 100.857, -172.636
66.650, 100.840, -172.801
67.017, 100.828, -172.949
67.383, 100.820, -173.099
67.749, 100.815, -173.260
68.115, 100.811, -173.432
68.481, 100.808, -173.614
68.848, 100.805, -173.807
69.214, 100.801, -174.012
69.580, 100.794, -174.222
69.946, 100.785, -174.423
70.312, 100.774, -174.601
70.679, 100.764, -174.752
71.045, 100.758, -174.887
71.411, 100.756, -175.028
71.777, 100.759, -175.196
72.144, 100.761, -175.402
72.510, 100.759, -175.641
72.876, 100.751, -175.892
73.242, 100.736, -176.131
73.608, 100.717, -176.333
73.975, 100.697, -176.486
74.341, 100.682, -176.598
74.707, 100.673, -176.694
75.073, 100.673, -176.809
75.439, 100.675, -176.973
75.806, 100.676, -177.192
76.172, 100.670, -177.443
76.538, 100.654, -177.686
76.904, 100.632, -177.881
77.271, 100.609, -178.006
77.637, 100.592, -178.076
78.003, 100.586, -178.127
78.369, 100.589, -178.206
78.735, 100.596, -178.341
79.102, 100.600, -178.530
79.468, 100.598, -178.749
79.834, 100.589, -178.961
80.200, 100.576, -179.141
80.566, 100.562, -179.285
80.933, 100.551, -179.404
81.299, 100.544, -179.522
81.665, 100.539, -179.656
82.031, 100.533, -179.810
82.397, 100.524, -179.975
82.764, 100.512, 179.868
83.130, 100.496, 179.734
83.496, 100.482, 179.627
83.862, 100.471, 179.535
84.229, 100.464, 179.435
84.595, 100.458, 179.310
84.961, 100.450, 179.157
85.327, 100.438, 178.996
85.693, 100.421, 178.853
86.060, 100.405, 178.743
86.426, 100.392, 178.657
86.792, 100.386, 178.567
87.158, 100.383, 178.442
87.524, 100.380, 178.275
87.891, 100.372, 178.084
88.257, 100.359, 177.899
88.623, 100.344, 177.736
88.989, 100.331, 177.593
89.355, 100.319, 177.451
89.722, 100.307, 177.298
90.088, 100.292, 177.147
90.454, 100.275, 177.023
90.820, 100.259, 176.945
91.187, 100.249, 176.902
91.553, 100.249, 176.854
91.919, 100.254, 176.759
92.285, 100.259, 176.603
92.651, 100.257, 176.406
93.018, 100.246, 176.215
93.384, 100.229, 176.068
93.750, 100.212, 175.972
94.116, 100.201, 175.905
94.482, 100.195, 175.831
94.849, 100.190, 175.729
95.215, 100.183, 175.605
95.581, 100.172, 175.482
95.947, 100.159, 175.379
96.313, 100.148, 175.293
96.680, 100.140, 175.207
97.046, 100.134, 175.100
97.412, 100.125, 174.969
97.778, 100.111, 174.834
98.145, 100.094, 174.723
98.511, 100.076, 174.654
98.877, 100.063, 174.617
99.243, 100.058, 174.580
99.609, 100.059, 174.509
99.976, 100.060, 174.388
100.342, 100.057, 174.232
100.708, 100.048, 174.071
101.074, 100.035, 173.930
101.440, 100.021, 173.813
101.807, 100.008, 173.711
102.173, 99.996, 173.609
102.539, 99.984, 173.506
102.905, 99.970, 173.411
103.271, 99.956, 173.334
103.638, 99.944, 173.273
104.004, 99.935, 173.215
104.370, 99.928, 173.146
104.736, 99.922, 173.060
105.103, 99.914, 172.962
105.469, 99.906, 172.860
105.835, 99.896, 172.756
106.201, 99.886, 172.647
106.567, 99.874, 172.535
106.934, 99.859, 172.429
107.300, 99.844, 172.342
107.666, 99.830, 172.279
108.032, 99.820, 172.227
