* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 30, 2020 12:55:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FiiO FH3 (L)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 105.763 -161.419
20.508 105.751 -162.165
20.874 105.720 -162.824
21.240 105.679 -163.413
21.606 105.638 -163.967
21.973 105.598 -164.526
22.339 105.561 -165.121
22.705 105.526 -165.766
23.071 105.489 -166.460
23.438 105.452 -167.185
23.804 105.413 -167.921
24.170 105.380 -168.649
24.536 105.349 -169.358
24.902 105.320 -170.043
25.269 105.296 -170.705
25.635 105.275 -171.347
26.001 105.256 -171.971
26.367 105.238 -172.576
26.733 105.219 -173.160
27.100 105.203 -173.718
27.466 105.184 -174.247
27.832 105.163 -174.746
28.198 105.140 -175.220
28.564 105.115 -175.674
28.931 105.090 -176.116
29.297 105.063 -176.554
29.663 105.033 -176.993
30.029 105.002 -177.436
30.396 104.970 -177.880
30.762 104.935 -178.323
31.128 104.900 -178.764
31.494 104.865 -179.202
31.860 104.831 -179.642
32.227 104.798 179.914
32.593 104.765 179.470
32.959 104.733 179.031
33.325 104.702 178.601
33.691 104.673 178.179
34.058 104.650 177.759
34.424 104.628 177.336
34.790 104.604 176.913
35.156 104.578 176.501
35.522 104.550 176.115
35.889 104.520 175.766
36.255 104.492 175.453
36.621 104.468 175.160
36.987 104.447 174.865
37.354 104.427 174.550
37.720 104.404 174.214
38.086 104.378 173.869
38.452 104.348 173.539
38.818 104.314 173.238
39.185 104.282 172.968
39.551 104.252 172.711
39.917 104.226 172.446
40.283 104.202 172.156
40.649 104.176 171.845
41.016 104.148 171.525
41.382 104.118 171.212
41.748 104.089 170.907
42.114 104.061 170.601
42.480 104.034 170.283
42.847 104.003 169.959
43.213 103.968 169.654
43.579 103.932 169.392
43.945 103.899 169.178
44.312 103.874 168.985
44.678 103.857 168.769
45.044 103.840 168.503
45.410 103.818 168.200
45.776 103.786 167.903
46.143 103.748 167.661
46.509 103.711 167.490
46.875 103.681 167.362
47.241 103.661 167.224
47.607 103.645 167.039
47.974 103.624 166.807
48.340 103.597 166.556
48.706 103.564 166.322
49.072 103.531 166.117
49.438 103.499 165.928
49.805 103.470 165.732
50.171 103.441 165.521
50.537 103.409 165.306
50.903 103.375 165.106
51.270 103.341 164.928
51.636 103.311 164.763
52.002 103.284 164.593
52.368 103.258 164.404
52.734 103.230 164.199
53.101 103.200 163.997
53.467 103.167 163.814
53.833 103.136 163.655
54.199 103.108 163.510
54.565 103.082 163.361
54.932 103.058 163.196
55.298 103.031 163.019
55.664 103.001 162.846
56.030 102.969 162.692
56.396 102.937 162.563
56.763 102.907 162.450
57.129 102.880 162.337
57.495 102.854 162.214
57.861 102.828 162.080
58.228 102.798 161.950
58.594 102.768 161.838
58.960 102.739 161.748
59.326 102.713 161.668
59.692 102.692 161.579
60.059 102.673 161.465
60.425 102.654 161.325
60.791 102.632 161.172
61.157 102.608 161.018
61.523 102.583 160.870
61.890 102.559 160.725
62.256 102.534 160.576
62.622 102.508 160.424
62.988 102.480 160.276
63.354 102.451 160.143
63.721 102.424 160.028
64.087 102.399 159.921
64.453 102.377 159.805
64.819 102.355 159.671
65.186 102.331 159.521
65.552 102.304 159.374
65.918 102.273 159.250
66.284 102.243 159.157
66.650 102.215 159.088
67.017 102.192 159.026
67.383 102.173 158.950
67.749 102.155 158.854
68.115 102.135 158.741
68.481 102.113 158.623
68.848 102.090 158.510
69.214 102.065 158.405
69.580 102.040 158.305
69.946 102.015 158.207
70.312 101.988 158.112
70.679 101.962 158.023
71.045 101.934 157.945
71.411 101.908 157.877
71.777 101.883 157.815
72.144 101.860 157.751
72.510 101.837 157.681
72.876 101.815 157.602
73.242 101.793 157.518
73.608 101.769 157.433
73.975 101.746 157.350
74.341 101.722 157.268
74.707 101.697 157.188
75.073 101.673 157.111
75.439 101.648 157.041
75.806 101.623 156.979
76.172 101.600 156.924
76.538 101.578 156.873
76.904 101.558 156.819
77.271 101.538 156.758
77.637 101.518 156.690
78.003 101.497 156.619
78.369 101.475 156.551
78.735 101.453 156.490
79.102 101.430 156.439
79.468 101.409 156.393
79.834 101.390 156.347
80.200 101.371 156.296
80.566 101.352 156.239
80.933 101.334 156.177
81.299 101.315 156.112
81.665 101.295 156.045
82.031 101.275 155.977
82.397 101.255 155.908
82.764 101.234 155.843
83.130 101.212 155.784
83.496 101.191 155.734
83.862 101.170 155.689
84.229 101.151 155.644
84.595 101.133 155.593
84.961 101.115 155.535
85.327 101.096 155.471
85.693 101.076 155.408
86.060 101.056 155.348
86.426 101.035 155.294
86.792 101.013 155.243
87.158 100.992 155.196
87.524 100.971 155.152
87.891 100.950 155.112
88.257 100.930 155.075
88.623 100.910 155.038
88.989 100.890 155.001
89.355 100.870 154.963
89.722 100.850 154.929
90.088 100.831 154.898
90.454 100.812 154.867
90.820 100.795 154.830
91.187 100.777 154.785
91.553 100.758 154.733
91.919 100.738 154.684
92.285 100.717 154.644
92.651 100.696 154.613
93.018 100.677 154.586
93.384 100.658 154.556
93.750 100.639 154.522
94.116 100.620 154.489
94.482 100.600 154.462
94.849 100.580 154.442
95.215 100.562 154.423
95.581 100.545 154.401
95.947 100.528 154.374
96.313 100.510 154.345
96.680 100.492 154.317
97.046 100.474 154.290
97.412 100.455 154.261
97.778 100.436 154.230
98.145 100.415 154.206
98.511 100.393 154.201
98.877 100.373 154.217
99.243 100.358 154.241
99.609 100.347 154.248
99.976 100.338 154.218
100.342 100.327 154.148
100.708 100.310 154.062
101.074 100.286 153.991
101.440 100.261 153.956
101.807 100.237 153.954
102.173 100.218 153.964
102.539 100.203 153.961
102.905 100.189 153.934
103.271 100.173 153.893
103.638 100.154 153.854
104.004 100.135 153.829
104.370 100.116 153.818
104.736 100.099 153.809
105.103 100.084 153.794
105.469 100.069 153.769
105.835 100.054 153.739
106.201 100.037 153.711
106.567 100.019 153.689
106.934 100.002 153.672
107.300 99.986 153.659
107.666 99.970 153.650
108.032 99.954 153.644
108.398 99.939 153.642
108.765 99.924 153.641
109.131 99.911 153.637
109.497 99.898 153.627
109.863 99.885 153.609
110.229 99.870 153.587
110.596 99.854 153.568
110.962 99.837 153.558
111.328 99.820 153.558
111.694 99.805 153.564
112.061 99.792 153.568
112.427 99.779 153.563
112.793 99.766 153.546
113.159 99.751 153.522
113.525 99.735 153.502
113.892 99.717 153.492
114.258 99.700 153.493
114.624 99.684 153.501
114.990 99.670 153.508
115.356 99.657 153.509
115.723 99.643 153.502
116.089 99.630 153.490
116.455 99.615 153.478
116.821 99.600 153.469
117.188 99.585 153.462
117.554 99.570 153.457
117.920 99.556 153.450
118.286 99.542 153.442
118.652 99.528 153.433
119.019 99.513 153.425
119.385 99.498 153.421
119.751 99.484 153.422
120.117 99.470 153.427
120.483 99.457 153.431
120.850 99.446 153.427
121.216 99.434 153.411
121.582 99.421 153.385
121.948 99.406 153.357
122.314 99.388 153.339
122.681 99.370 153.340
123.047 99.352 153.358
123.413 99.337 153.385
123.779 99.324 153.411
124.146 99.313 153.426
124.512 99.302 153.428
124.878 99.290 153.422
125.244 99.276 153.413
125.610 99.261 153.410
125.977 99.246 153.413
126.343 99.231 153.420
126.709 99.217 153.427
127.075 99.203 153.430
127.441 99.188 153.431
127.808 99.173 153.433
128.174 99.158 153.442
128.540 99.144 153.456
128.906 99.131 153.470
129.272 99.119 153.479
129.639 99.108 153.480
130.005 99.096 153.475
130.371 99.082 153.470
130.737 99.069 153.472
131.104 99.056 153.478
131.470 99.044 153.484
131.836 99.032 153.485
132.202 99.020 153.479
132.568 99.006 153.473
132.935 98.992 153.474
133.301 98.977 153.485
133.667 98.963 153.503
134.033 98.951 153.523
134.399 98.939 153.539
134.766 98.928 153.551
135.132 98.916 153.561
135.498 98.906 153.566
135.864 98.895 153.564
136.230 98.885 153.550
136.597 98.872 153.527
136.963 98.858 153.503
137.329 98.841 153.490
137.695 98.823 153.494
138.062 98.806 153.515
138.428 98.792 153.546
138.794 98.780 153.577
139.160 98.770 153.604
139.526 98.760 153.623
139.893 98.752 153.633
140.259 98.743 153.634
140.625 98.733 153.626
140.991 98.720 153.618
141.357 98.706 153.620
141.724 98.692 153.639
142.090 98.679 153.674
142.456 98.669 153.710
142.822 98.661 153.729
143.188 98.652 153.725
143.555 98.640 153.703
143.921 98.624 153.685
144.287 98.604 153.692
144.653 98.584 153.733
145.020 98.568 153.799
145.386 98.557 153.866
145.752 98.551 153.911
146.118 98.546 153.922
146.484 98.539 153.903
146.851 98.528 153.874
147.217 98.513 153.855
147.583 98.497 153.860
147.949 98.484 153.886
148.315 98.474 153.916
148.682 98.468 153.929
149.048 98.463 153.914
149.414 98.455 153.880
149.780 98.442 153.846
150.146 98.427 153.833
150.513 98.411 153.848
150.879 98.398 153.884
151.245 98.388 153.925
151.611 98.379 153.963
151.978 98.371 153.996
152.344 98.364 154.029
152.710 98.357 154.056
153.076 98.351 154.068
153.442 98.342 154.061
153.809 98.329 154.048
154.175 98.312 154.054
154.541 98.294 154.096
154.907 98.280 154.165
155.273 98.272 154.222
155.640 98.267 154.228
156.006 98.257 154.181
156.372 98.235 154.127
156.738 98.204 154.134
157.104 98.174 154.239
157.471 98.157 154.414
157.837 98.159 154.578
158.203 98.173 154.647
158.569 98.186 154.594
158.936 98.186 154.462
159.302 98.172 154.335
159.668 98.148 154.276
160.034 98.127 154.294
160.400 98.114 154.348
160.767 98.109 154.385
161.133 98.106 154.379
161.499 98.099 154.345
161.865 98.088 154.315
162.231 98.074 154.313
162.598 98.062 154.338
162.964 98.052 154.371
163.330 98.045 154.396
163.696 98.037 154.411
164.062 98.028 154.422
164.429 98.018 154.440
164.795 98.008 154.464
165.161 97.998 154.491
165.527 97.988 154.517
165.894 97.979 154.541
166.260 97.969 154.565
166.626 97.959 154.590
166.992 97.949 154.615
167.358 97.940 154.637
167.725 97.932 154.653
168.091 97.923 154.663
168.457 97.913 154.668
168.823 97.903 154.672
169.189 97.892 154.676
169.556 97.880 154.684
169.922 97.869 154.699
170.288 97.859 154.722
170.654 97.850 154.747
171.021 97.843 154.769
171.387 97.836 154.783
171.753 97.829 154.789
172.119 97.821 154.793
172.485 97.811 154.800
172.852 97.801 154.814
173.218 97.792 154.836
173.584 97.783 154.861
173.950 97.774 154.887
174.316 97.767 154.911
174.683 97.759 154.933
175.049 97.751 154.952
175.415 97.743 154.967
175.781 97.734 154.982
176.147 97.725 154.997
176.514 97.716 155.016
176.880 97.706 155.037
177.246 97.698 155.058
177.612 97.689 155.075
177.979 97.680 155.088
178.345 97.671 155.101
178.711 97.661 155.116
179.077 97.652 155.136
179.443 97.643 155.160
179.810 97.634 155.183
180.176 97.627 155.203
180.542 97.619 155.220
180.908 97.611 155.234
181.274 97.603 155.247
181.641 97.595 155.260
182.007 97.587 155.273
182.373 97.578 155.286
182.739 97.568 155.302
183.105 97.559 155.325
183.472 97.549 155.356
183.838 97.542 155.391
184.204 97.535 155.422
184.570 97.530 155.444
184.937 97.524 155.456
185.303 97.516 155.462
185.669 97.508 155.470
186.035 97.498 155.486
186.401 97.489 155.510
186.768 97.481 155.538
187.134 97.474 155.562
187.500 97.468 155.580
187.866 97.460 155.592
188.232 97.452 155.604
188.599 97.444 155.620
188.965 97.435 155.641
189.331 97.427 155.664
189.697 97.420 155.688
190.063 97.412 155.709
190.430 97.405 155.727
190.796 97.398 155.745
191.162 97.391 155.762
191.528 97.383 155.780
191.895 97.376 155.799
192.261 97.368 155.820
192.627 97.361 155.844
192.993 97.353 155.870
193.359 97.347 155.896
193.726 97.341 155.920
194.092 97.335 155.938
194.458 97.329 155.951
194.824 97.323 155.960
195.190 97.315 155.969
195.557 97.307 155.985
195.923 97.298 156.007
196.289 97.291 156.035
196.655 97.285 156.064
197.021 97.279 156.087
197.388 97.274 156.102
197.754 97.268 156.111
198.120 97.260 156.120
