* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 30, 2020 12:52:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FiiO FH3 (R)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 105.141 -162.017
20.508 105.135 -162.717
20.874 105.113 -163.367
21.240 105.082 -163.995
21.606 105.045 -164.629
21.973 105.004 -165.286
22.339 104.957 -165.967
22.705 104.906 -166.656
23.071 104.854 -167.337
23.438 104.806 -168.001
23.804 104.764 -168.662
24.170 104.735 -169.340
24.536 104.709 -170.045
24.902 104.682 -170.763
25.269 104.653 -171.463
25.635 104.622 -172.112
26.001 104.594 -172.700
26.367 104.572 -173.248
26.733 104.555 -173.788
27.100 104.541 -174.340
27.466 104.522 -174.892
27.832 104.496 -175.412
28.198 104.465 -175.871
28.564 104.436 -176.274
28.931 104.414 -176.662
29.297 104.396 -177.088
29.663 104.377 -177.584
30.029 104.347 -178.139
30.396 104.304 -178.702
30.762 104.247 -179.209
31.128 104.185 -179.619
31.494 104.129 -179.935
31.860 104.087 179.799
32.227 104.059 179.521
32.593 104.041 179.183
32.959 104.026 178.769
33.325 104.007 178.301
33.691 103.980 177.817
34.058 103.949 177.359
34.424 103.916 176.949
34.790 103.884 176.588
35.156 103.856 176.256
35.522 103.833 175.928
35.889 103.812 175.585
36.255 103.789 175.225
36.621 103.761 174.862
36.987 103.728 174.513
37.354 103.691 174.195
37.720 103.654 173.911
38.086 103.621 173.655
38.452 103.592 173.413
38.818 103.566 173.168
39.185 103.543 172.907
39.551 103.521 172.619
39.917 103.498 172.301
40.283 103.471 171.962
40.649 103.439 171.624
41.016 103.402 171.312
41.382 103.365 171.043
41.748 103.332 170.814
42.114 103.305 170.596
42.480 103.285 170.355
42.847 103.264 170.074
43.213 103.237 169.771
43.579 103.202 169.490
43.945 103.163 169.274
44.312 103.128 169.132
44.678 103.104 169.028
45.044 103.092 168.899
45.410 103.085 168.697
45.776 103.073 168.417
46.143 103.050 168.105
46.509 103.015 167.818
46.875 102.976 167.593
47.241 102.939 167.424
47.607 102.909 167.273
47.974 102.883 167.098
48.340 102.858 166.882
48.706 102.829 166.639
49.072 102.794 166.397
49.438 102.758 166.179
49.805 102.722 165.986
50.171 102.688 165.807
50.537 102.658 165.627
50.903 102.628 165.442
51.270 102.599 165.255
51.636 102.570 165.073
52.002 102.542 164.900
52.368 102.514 164.731
52.734 102.488 164.561
53.101 102.462 164.386
53.467 102.434 164.210
53.833 102.406 164.042
54.199 102.376 163.889
54.565 102.347 163.755
54.932 102.319 163.632
55.298 102.294 163.508
55.664 102.269 163.369
56.030 102.243 163.216
56.396 102.213 163.057
56.763 102.181 162.910
57.129 102.147 162.785
57.495 102.114 162.682
57.861 102.084 162.586
58.228 102.056 162.485
58.594 102.030 162.370
58.960 102.003 162.243
59.326 101.974 162.114
59.692 101.945 161.992
60.059 101.917 161.876
60.425 101.890 161.763
60.791 101.864 161.649
61.157 101.839 161.530
61.523 101.813 161.408
61.890 101.786 161.285
62.256 101.759 161.166
62.622 101.732 161.055
62.988 101.704 160.955
63.354 101.678 160.863
63.721 101.654 160.774
64.087 101.631 160.676
64.453 101.608 160.566
64.819 101.583 160.448
65.186 101.556 160.333
65.552 101.527 160.236
65.918 101.498 160.160
66.284 101.472 160.099
66.650 101.449 160.037
67.017 101.428 159.959
67.383 101.407 159.863
67.749 101.384 159.756
68.115 101.360 159.652
68.481 101.333 159.559
68.848 101.307 159.479
69.214 101.282 159.408
69.580 101.258 159.340
69.946 101.235 159.271
70.312 101.213 159.199
70.679 101.191 159.122
71.045 101.168 159.041
71.411 101.145 158.960
71.777 101.120 158.883
72.144 101.095 158.818
72.510 101.071 158.765
72.876 101.049 158.718
73.242 101.029 158.667
73.608 101.009 158.604
73.975 100.989 158.529
74.341 100.968 158.450
74.707 100.944 158.376
75.073 100.920 158.312
75.439 100.896 158.257
75.806 100.874 158.203
76.172 100.853 158.145
76.538 100.831 158.084
76.904 100.808 158.024
77.271 100.784 157.970
77.637 100.761 157.922
78.003 100.739 157.879
78.369 100.718 157.835
78.735 100.697 157.787
79.102 100.676 157.737
79.468 100.655 157.685
79.834 100.634 157.634
80.200 100.613 157.588
80.566 100.592 157.545
80.933 100.571 157.508
81.299 100.551 157.474
81.665 100.532 157.442
82.031 100.515 157.406
82.397 100.497 157.365
82.764 100.480 157.318
83.130 100.462 157.269
83.496 100.443 157.222
83.862 100.423 157.179
84.229 100.404 157.141
84.595 100.385 157.103
84.961 100.365 157.067
85.327 100.345 157.033
85.693 100.326 157.002
86.060 100.306 156.972
86.426 100.287 156.941
86.792 100.267 156.907
87.158 100.246 156.874
87.524 100.225 156.846
87.891 100.205 156.826
88.257 100.185 156.809
88.623 100.167 156.789
88.989 100.150 156.758
89.355 100.132 156.720
89.722 100.113 156.680
90.088 100.093 156.646
90.454 100.074 156.618
90.820 100.056 156.588
91.187 100.039 156.549
91.553 100.020 156.503
91.919 100.000 156.462
92.285 99.978 156.436
92.651 99.958 156.429
93.018 99.941 156.428
93.384 99.926 156.418
93.750 99.912 156.392
94.116 99.895 156.355
94.482 99.877 156.322
94.849 99.858 156.303
95.215 99.839 156.297
95.581 99.823 156.292
95.947 99.808 156.278
96.313 99.791 156.257
96.680 99.773 156.239
97.046 99.754 156.230
97.412 99.737 156.229
97.778 99.720 156.223
98.145 99.703 156.208
98.511 99.684 156.191
98.877 99.663 156.187
99.243 99.642 156.209
99.609 99.626 156.248
99.976 99.615 156.278
100.342 99.608 156.272
100.708 99.599 156.222
101.074 99.585 156.148
101.440 99.564 156.083
101.807 99.540 156.053
102.173 99.518 156.060
102.539 99.501 156.082
102.905 99.488 156.092
103.271 99.476 156.075
103.638 99.462 156.039
104.004 99.445 156.003
104.370 99.427 155.984
104.736 99.408 155.985
105.103 99.393 155.996
105.469 99.380 156.004
105.835 99.367 156.000
106.201 99.355 155.985
106.567 99.341 155.965
106.934 99.326 155.947
107.300 99.311 155.934
107.666 99.296 155.928
108.032 99.281 155.926
108.398 99.266 155.927
108.765 99.252 155.929
109.131 99.238 155.931
109.497 99.224 155.932
109.863 99.210 155.931
110.229 99.197 155.929
110.596 99.183 155.927
110.962 99.169 155.926
111.328 99.154 155.926
111.694 99.141 155.927
112.061 99.127 155.930
112.427 99.114 155.932
112.793 99.101 155.933
113.159 99.088 155.931
113.525 99.075 155.927
113.892 99.061 155.924
114.258 99.047 155.925
114.624 99.033 155.931
114.990 99.020 155.941
115.356 99.008 155.950
115.723 98.996 155.956
116.089 98.984 155.957
116.455 98.972 155.956
116.821 98.959 155.956
117.188 98.946 155.957
117.554 98.933 155.958
117.920 98.920 155.956
118.286 98.906 155.955
118.652 98.892 155.957
119.019 98.878 155.967
119.385 98.864 155.982
119.751 98.851 155.996
120.117 98.839 156.003
120.483 98.825 156.002
120.850 98.810 156.004
121.216 98.794 156.018
121.582 98.778 156.049
121.948 98.766 156.087
122.314 98.758 156.117
122.681 98.751 156.122
123.047 98.742 156.103
123.413 98.730 156.074
123.779 98.715 156.054
124.146 98.699 156.056
124.512 98.684 156.076
124.878 98.673 156.099
125.244 98.663 156.109
125.610 98.654 156.102
125.977 98.642 156.086
126.343 98.628 156.075
126.709 98.613 156.077
127.075 98.599 156.091
127.441 98.586 156.106
127.808 98.575 156.117
128.174 98.563 156.123
128.540 98.550 156.130
128.906 98.537 156.144
129.272 98.524 156.166
129.639 98.513 156.189
130.005 98.504 156.206
130.371 98.494 156.213
130.737 98.484 156.210
131.104 98.472 156.206
131.470 98.459 156.205
131.836 98.446 156.211
132.202 98.432 156.225
132.568 98.420 156.242
132.935 98.408 156.261
133.301 98.397 156.279
133.667 98.387 156.292
134.033 98.377 156.300
134.399 98.367 156.301
134.766 98.356 156.300
135.132 98.344 156.300
135.498 98.333 156.306
135.864 98.322 156.316
136.230 98.312 156.325
136.597 98.303 156.326
136.963 98.293 156.319
137.329 98.282 156.306
137.695 98.268 156.299
138.062 98.254 156.305
138.428 98.239 156.329
138.794 98.226 156.367
139.160 98.216 156.411
139.526 98.208 156.450
139.893 98.202 156.477
140.259 98.196 156.488
140.625 98.189 156.484
140.991 98.180 156.470
141.357 98.169 156.458
141.724 98.155 156.454
142.090 98.140 156.464
142.456 98.127 156.485
142.822 98.115 156.507
143.188 98.103 156.526
143.555 98.091 156.540
143.921 98.078 156.559
144.287 98.066 156.586
144.653 98.056 156.618
145.020 98.049 156.641
145.386 98.043 156.640
145.752 98.035 156.615
146.118 98.023 156.585
146.484 98.006 156.576
146.851 97.989 156.606
147.217 97.975 156.670
147.583 97.969 156.738
147.949 97.967 156.782
148.315 97.966 156.787
148.682 97.961 156.765
149.048 97.951 156.741
149.414 97.938 156.736
149.780 97.925 156.759
150.146 97.913 156.799
150.513 97.904 156.841
150.879 97.896 156.874
151.245 97.888 156.894
151.611 97.879 156.905
151.978 97.868 156.915
152.344 97.856 156.933
152.710 97.844 156.961
153.076 97.834 156.991
153.442 97.826 157.011
153.809 97.818 157.008
154.175 97.808 156.986
154.541 97.793 156.966
154.907 97.776 156.974
155.273 97.762 157.016
155.640 97.755 157.067
156.006 97.756 157.079
156.372 97.757 157.017
156.738 97.750 156.892
157.104 97.727 156.766
157.471 97.693 156.717
157.837 97.657 156.790
158.203 97.634 156.961
158.569 97.629 157.150
158.936 97.639 157.273
159.302 97.652 157.296
159.668 97.656 157.250
160.034 97.650 157.197
160.400 97.637 157.189
160.767 97.624 157.231
161.133 97.617 157.292
161.499 97.614 157.338
161.865 97.612 157.355
162.231 97.605 157.356
162.598 97.596 157.364
162.964 97.584 157.392
163.330 97.575 157.433
163.696 97.567 157.474
164.062 97.561 157.504
164.429 97.554 157.521
164.795 97.546 157.531
165.161 97.537 157.538
165.527 97.527 157.543
165.894 97.517 157.547
166.260 97.506 157.552
166.626 97.494 157.564
166.992 97.483 157.584
167.358 97.473 157.609
167.725 97.464 157.632
168.091 97.456 157.648
168.457 97.448 157.657
168.823 97.439 157.665
169.189 97.430 157.677
169.556 97.421 157.694
169.922 97.412 157.715
170.288 97.405 157.736
170.654 97.398 157.754
171.021 97.391 157.771
171.387 97.383 157.788
171.753 97.375 157.806
172.119 97.367 157.828
172.485 97.359 157.853
172.852 97.351 157.878
173.218 97.344 157.904
173.584 97.337 157.928
173.950 97.329 157.951
174.316 97.322 157.973
174.683 97.314 157.996
175.049 97.307 158.019
175.415 97.299 158.041
175.781 97.292 158.062
176.147 97.284 158.083
176.514 97.277 158.103
176.880 97.269 158.124
177.246 97.262 158.145
177.612 97.255 158.164
177.979 97.247 158.181
178.345 97.240 158.199
178.711 97.233 158.218
179.077 97.226 158.238
179.443 97.219 158.256
179.810 97.213 158.268
180.176 97.206 158.277
180.542 97.197 158.288
180.908 97.189 158.309
181.274 97.181 158.340
181.641 97.176 158.374
182.007 97.172 158.395
182.373 97.169 158.397
182.739 97.163 158.385
183.105 97.154 158.374
183.472 97.142 158.383
183.838 97.130 158.418
184.204 97.121 158.473
184.570 97.115 158.529
184.937 97.113 158.570
185.303 97.110 158.593
185.669 97.106 158.603
186.035 97.100 158.610
186.401 97.093 158.621
186.768 97.085 158.638
187.134 97.077 158.657
187.500 97.069 158.680
187.866 97.061 158.706
188.232 97.053 158.738
188.599 97.046 158.771
188.965 97.040 158.799
189.331 97.035 158.817
189.697 97.029 158.827
190.063 97.021 158.833
190.430 97.012 158.846
190.796 97.004 158.868
191.162 96.996 158.898
191.528 96.991 158.929
191.895 96.986 158.954
192.261 96.982 158.970
192.627 96.977 158.979
192.993 96.970 158.986
193.359 96.963 158.998
193.726 96.954 159.020
194.092 96.946 159.052
194.458 96.939 159.092
194.824 96.933 159.132
195.190 96.928 159.167
195.557 96.924 159.191
195.923 96.918 159.209
196.289 96.910 159.226
196.655 96.901 159.250
197.021 96.893 159.283
197.388 96.886 159.319
197.754 96.880 159.349
198.120 96.874 159.366
