* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 25, 2020 1:39:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RE800S L; double flange
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 97.252 -108.692
20.508 97.325 -109.825
20.874 97.370 -110.844
21.240 97.398 -111.734
21.606 97.424 -112.519
21.973 97.457 -113.252
22.339 97.497 -113.995
22.705 97.545 -114.794
23.071 97.593 -115.663
23.438 97.637 -116.586
23.804 97.677 -117.530
24.170 97.717 -118.464
24.536 97.755 -119.369
24.902 97.794 -120.243
25.269 97.833 -121.090
25.635 97.873 -121.911
26.001 97.911 -122.700
26.367 97.949 -123.450
26.733 97.988 -124.162
27.100 98.032 -124.848
27.466 98.076 -125.525
27.832 98.118 -126.208
28.198 98.155 -126.893
28.564 98.185 -127.565
28.931 98.208 -128.205
29.297 98.228 -128.805
29.663 98.248 -129.374
30.029 98.270 -129.932
30.396 98.295 -130.501
30.762 98.319 -131.092
31.128 98.339 -131.701
31.494 98.356 -132.311
31.860 98.368 -132.907
32.227 98.378 -133.476
32.593 98.388 -134.016
32.959 98.400 -134.528
33.325 98.416 -135.021
33.691 98.436 -135.505
34.058 98.463 -135.992
34.424 98.491 -136.492
34.790 98.519 -137.008
35.156 98.544 -137.534
35.522 98.565 -138.058
35.889 98.583 -138.569
36.255 98.598 -139.060
36.621 98.609 -139.529
36.987 98.619 -139.972
37.354 98.628 -140.385
37.720 98.639 -140.769
38.086 98.656 -141.142
38.452 98.677 -141.527
38.818 98.698 -141.943
39.185 98.715 -142.383
39.551 98.725 -142.817
39.917 98.730 -143.207
40.283 98.738 -143.547
40.649 98.752 -143.868
41.016 98.773 -144.218
41.382 98.793 -144.621
41.748 98.805 -145.047
42.114 98.807 -145.437
42.480 98.808 -145.750
42.847 98.816 -146.011
43.213 98.835 -146.295
43.579 98.855 -146.662
43.945 98.860 -147.090
44.312 98.845 -147.467
44.678 98.819 -147.673
45.044 98.806 -147.681
45.410 98.829 -147.613
45.776 98.889 -147.671
46.143 98.960 -148.000
46.509 99.012 -148.584
46.875 99.024 -149.261
47.241 99.001 -149.835
47.607 98.966 -150.199
47.974 98.942 -150.390
48.340 98.941 -150.543
48.706 98.956 -150.779
49.072 98.971 -151.118
49.438 98.974 -151.498
49.805 98.970 -151.840
50.171 98.966 -152.124
50.537 98.971 -152.391
50.903 98.981 -152.691
51.270 98.989 -153.038
51.636 98.989 -153.395
52.002 98.983 -153.718
52.368 98.977 -153.992
52.734 98.974 -154.237
53.101 98.974 -154.479
53.467 98.973 -154.721
53.833 98.972 -154.942
54.199 98.973 -155.129
54.565 98.981 -155.300
54.932 98.995 -155.502
55.298 99.010 -155.763
55.664 99.017 -156.070
56.030 99.013 -156.370
56.396 99.003 -156.611
56.763 98.995 -156.789
57.129 98.995 -156.945
57.495 99.001 -157.131
57.861 99.005 -157.360
58.228 99.003 -157.598
58.594 98.995 -157.791
58.960 98.990 -157.918
59.326 98.996 -158.017
59.692 99.015 -158.159
60.059 99.038 -158.397
60.425 99.054 -158.725
60.791 99.054 -159.082
61.157 99.040 -159.390
61.523 99.021 -159.603
61.890 99.008 -159.732
62.256 99.006 -159.833
62.622 99.014 -159.964
62.988 99.025 -160.153
63.354 99.032 -160.387
63.721 99.032 -160.628
64.087 99.027 -160.845
64.453 99.022 -161.027
64.819 99.020 -161.187
65.186 99.022 -161.350
65.552 99.026 -161.532
65.918 99.029 -161.731
66.284 99.028 -161.931
66.650 99.026 -162.115
67.017 99.025 -162.278
67.383 99.027 -162.436
67.749 99.032 -162.607
68.115 99.037 -162.800
68.481 99.037 -163.003
68.848 99.033 -163.190
69.214 99.028 -163.340
69.580 99.027 -163.457
69.946 99.032 -163.573
70.312 99.041 -163.723
70.679 99.049 -163.922
71.045 99.050 -164.149
71.411 99.043 -164.360
71.777 99.031 -164.519
72.144 99.022 -164.624
72.510 99.022 -164.707
72.876 99.028 -164.817
73.242 99.037 -164.980
73.608 99.040 -165.186
73.975 99.036 -165.396
74.341 99.027 -165.572
74.707 99.017 -165.702
75.073 99.012 -165.802
75.439 99.013 -165.905
75.806 99.018 -166.030
76.172 99.021 -166.178
76.538 99.023 -166.331
76.904 99.023 -166.473
77.271 99.024 -166.606
77.637 99.027 -166.744
78.003 99.030 -166.900
78.369 99.031 -167.075
78.735 99.026 -167.246
79.102 99.017 -167.389
79.468 99.009 -167.490
79.834 99.005 -167.565
80.200 99.008 -167.647
80.566 99.013 -167.765
80.933 99.015 -167.918
81.299 99.011 -168.078
81.665 99.003 -168.209
82.031 98.995 -168.292
82.397 98.994 -168.346
82.764 99.002 -168.413
83.130 99.015 -168.533
83.496 99.026 -168.713
83.862 99.029 -168.929
84.229 99.025 -169.138
84.595 99.016 -169.310
84.961 99.007 -169.441
85.327 99.002 -169.545
85.693 99.001 -169.644
86.060 99.003 -169.753
86.426 99.006 -169.877
86.792 99.008 -170.016
87.158 99.008 -170.163
87.524 99.005 -170.309
87.891 99.000 -170.437
88.257 98.994 -170.540
88.623 98.991 -170.620
88.989 98.993 -170.701
89.355 98.998 -170.812
89.722 99.002 -170.965
90.088 99.000 -171.143
90.454 98.990 -171.307
90.820 98.976 -171.423
91.187 98.964 -171.484
91.553 98.962 -171.521
91.919 98.967 -171.582
92.285 98.976 -171.700
92.651 98.982 -171.871
93.018 98.980 -172.059
93.384 98.971 -172.221
93.750 98.960 -172.335
94.116 98.954 -172.414
94.482 98.954 -172.492
94.849 98.956 -172.598
95.215 98.956 -172.731
95.581 98.951 -172.862
95.947 98.941 -172.954
96.313 98.933 -172.994
96.680 98.933 -173.011
97.046 98.940 -173.055
97.412 98.948 -173.160
97.778 98.947 -173.307
98.145 98.933 -173.434
98.511 98.913 -173.471
98.877 98.900 -173.401
99.243 98.906 -173.287
99.609 98.931 -173.241
99.976 98.965 -173.349
100.342 98.989 -173.612
100.708 98.990 -173.942
101.074 98.970 -174.225
101.440 98.940 -174.385
101.807 98.916 -174.433
102.173 98.907 -174.444
102.539 98.910 -174.498
102.905 98.915 -174.625
103.271 98.913 -174.794
103.638 98.904 -174.953
104.004 98.893 -175.069
104.370 98.886 -175.149
104.736 98.884 -175.224
105.103 98.885 -175.319
105.469 98.886 -175.433
105.835 98.883 -175.547
106.201 98.880 -175.644
106.567 98.877 -175.724
106.934 98.877 -175.801
107.300 98.879 -175.885
107.666 98.880 -175.979
108.032 98.879 -176.076
108.398 98.877 -176.168
108.765 98.875 -176.253
109.131 98.872 -176.335
109.497 98.869 -176.417
109.863 98.866 -176.497
110.229 98.862 -176.575
110.596 98.859 -176.650
110.962 98.857 -176.728
111.328 98.855 -176.812
111.694 98.854 -176.902
112.061 98.851 -176.997
112.427 98.849 -177.091
112.793 98.846 -177.184
113.159 98.844 -177.279
113.525 98.843 -177.377
113.892 98.840 -177.478
114.258 98.837 -177.576
114.624 98.832 -177.665
114.990 98.829 -177.742
115.356 98.826 -177.811
115.723 98.825 -177.879
116.089 98.825 -177.951
116.455 98.826 -178.031
116.821 98.825 -178.117
117.188 98.824 -178.207
117.554 98.821 -178.297
117.920 98.818 -178.386
118.286 98.813 -178.469
118.652 98.807 -178.542
119.019 98.801 -178.603
119.385 98.796 -178.654
119.751 98.794 -178.702
120.117 98.794 -178.758
120.483 98.794 -178.831
120.850 98.793 -178.922
121.216 98.789 -179.021
121.582 98.783 -179.114
121.948 98.777 -179.191
122.314 98.771 -179.253
122.681 98.768 -179.311
123.047 98.767 -179.380
123.413 98.766 -179.465
123.779 98.763 -179.563
124.146 98.758 -179.663
124.512 98.751 -179.753
124.878 98.742 -179.825
125.244 98.736 -179.882
125.610 98.731 -179.931
125.977 98.729 -179.982
126.343 98.729 179.955
126.709 98.730 179.871
127.075 98.730 179.766
127.441 98.727 179.649
127.808 98.720 179.534
128.174 98.711 179.437
128.540 98.701 179.367
128.906 98.693 179.320
129.272 98.689 179.284
129.639 98.689 179.245
130.005 98.690 179.193
130.371 98.692 179.128
130.737 98.694 179.049
131.104 98.694 178.962
131.470 98.692 178.873
131.836 98.687 178.791
132.202 98.681 178.725
132.568 98.674 178.677
132.935 98.670 178.638
133.301 98.667 178.594
133.667 98.663 178.534
134.033 98.657 178.466
134.399 98.648 178.407
134.766 98.640 178.367
135.132 98.634 178.334
135.498 98.633 178.276
135.864 98.632 178.165
136.230 98.624 178.006
136.597 98.603 177.847
136.963 98.572 177.757
137.329 98.542 177.777
137.695 98.525 177.886
138.062 98.529 178.004
138.428 98.550 178.039
138.794 98.576 177.943
139.160 98.592 177.741
139.526 98.593 177.512
139.893 98.581 177.335
140.259 98.568 177.244
140.625 98.562 177.213
140.991 98.566 177.183
141.357 98.576 177.105
141.724 98.581 176.975
142.090 98.577 176.835
142.456 98.564 176.741
142.822 98.549 176.726
143.188 98.541 176.775
143.555 98.544 176.835
143.921 98.556 176.848
144.287 98.568 176.787
144.653 98.573 176.669
145.020 98.567 176.541
145.386 98.553 176.449
145.752 98.538 176.408
146.118 98.529 176.393
146.484 98.525 176.360
146.851 98.522 176.281
147.217 98.515 176.158
147.583 98.500 176.030
147.949 98.479 175.938
148.315 98.458 175.901
148.682 98.442 175.907
149.048 98.436 175.919
149.414 98.436 175.903
149.780 98.438 175.851
150.146 98.438 175.778
150.513 98.437 175.708
150.879 98.436 175.653
151.245 98.438 175.607
151.611 98.444 175.550
151.978 98.451 175.464
152.344 98.455 175.349
152.710 98.454 175.224
153.076 98.446 175.117
153.442 98.435 175.048
153.809 98.425 175.021
154.175 98.418 175.021
154.541 98.416 175.025
154.907 98.417 175.013
155.273 98.419 174.974
155.640 98.420 174.910
156.006 98.417 174.829
156.372 98.411 174.745
156.738 98.401 174.671
157.104 98.388 174.621
157.471 98.377 174.600
157.837 98.369 174.600
158.203 98.368 174.598
158.569 98.372 174.565
158.936 98.377 174.487
159.302 98.378 174.369
159.668 98.372 174.242
160.034 98.360 174.139
160.400 98.347 174.079
160.767 98.338 174.055
161.133 98.334 174.036
161.499 98.334 173.997
161.865 98.334 173.930
162.231 98.330 173.851
162.598 98.322 173.784
162.964 98.314 173.741
163.330 98.307 173.717
163.696 98.304 173.694
164.062 98.302 173.655
164.429 98.299 173.598
164.795 98.294 173.534
165.161 98.285 173.480
165.527 98.277 173.443
165.894 98.270 173.420
166.260 98.266 173.398
166.626 98.264 173.361
166.992 98.263 173.305
167.358 98.260 173.233
167.725 98.254 173.157
168.091 98.247 173.089
168.457 98.240 173.035
168.823 98.235 172.988
169.189 98.231 172.939
169.556 98.228 172.880
169.922 98.225 172.810
170.288 98.220 172.738
170.654 98.213 172.676
171.021 98.206 172.628
171.387 98.200 172.594
171.753 98.196 172.564
172.119 98.193 172.532
172.485 98.191 172.495
172.852 98.189 172.454
173.218 98.187 172.411
173.584 98.185 172.363
173.950 98.182 172.307
174.316 98.179 172.242
174.683 98.173 172.175
175.049 98.165 172.116
175.415 98.156 172.072
175.781 98.148 172.044
176.147 98.142 172.023
176.514 98.138 172.000
176.880 98.135 171.966
177.246 98.132 171.924
177.612 98.129 171.876
177.979 98.126 171.827
178.345 98.122 171.778
178.711 98.119 171.727
179.077 98.115 171.674
179.443 98.111 171.620
179.810 98.106 171.568
180.176 98.101 171.522
180.542 98.097 171.483
180.908 98.093 171.447
181.274 98.090 171.409
181.641 98.088 171.364
182.007 98.086 171.310
182.373 98.082 171.250
182.739 98.076 171.191
183.105 98.069 171.141
183.472 98.061 171.106
183.838 98.055 171.085
184.204 98.051 171.069
184.570 98.049 171.044
184.937 98.048 171.002
185.303 98.046 170.944
185.669 98.041 170.881
186.035 98.035 170.826
186.401 98.028 170.785
186.768 98.022 170.753
187.134 98.018 170.721
187.500 98.015 170.679
187.866 98.012 170.627
188.232 98.007 170.573
188.599 98.001 170.527
188.965 97.995 170.492
189.331 97.991 170.461
189.697 97.988 170.424
190.063 97.986 170.374
190.430 97.982 170.313
