* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 25, 2020 1:59:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RE800S L; single flange
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 112.268 -166.711
20.508 112.258 -167.530
20.874 112.234 -168.295
21.240 112.202 -169.045
21.606 112.165 -169.804
21.973 112.121 -170.583
22.339 112.073 -171.379
22.705 112.023 -172.184
23.071 111.973 -172.995
23.438 111.925 -173.813
23.804 111.880 -174.638
24.170 111.842 -175.465
24.536 111.807 -176.286
24.902 111.773 -177.090
25.269 111.741 -177.872
25.635 111.712 -178.629
26.001 111.683 -179.361
26.367 111.655 179.934
26.733 111.627 179.255
27.100 111.602 178.603
27.466 111.576 177.976
27.832 111.548 177.369
28.198 111.518 176.779
28.564 111.486 176.201
28.931 111.450 175.635
29.297 111.413 175.077
29.663 111.373 174.527
30.029 111.332 173.983
30.396 111.291 173.440
30.762 111.250 172.895
31.128 111.208 172.348
31.494 111.166 171.799
31.860 111.124 171.251
32.227 111.083 170.707
32.593 111.042 170.170
32.959 111.002 169.641
33.325 110.964 169.119
33.691 110.928 168.602
34.058 110.896 168.092
34.424 110.864 167.589
34.790 110.831 167.097
35.156 110.798 166.620
35.522 110.764 166.161
35.889 110.730 165.719
36.255 110.696 165.292
36.621 110.661 164.876
36.987 110.626 164.466
37.354 110.591 164.061
37.720 110.553 163.661
38.086 110.518 163.266
38.452 110.482 162.877
38.818 110.445 162.492
39.185 110.408 162.109
39.551 110.371 161.727
39.917 110.333 161.347
40.283 110.296 160.970
40.649 110.259 160.595
41.016 110.223 160.221
41.382 110.187 159.843
41.748 110.151 159.465
42.114 110.114 159.091
42.480 110.077 158.730
42.847 110.040 158.383
43.213 110.005 158.046
43.579 109.971 157.709
43.945 109.937 157.368
44.312 109.901 157.028
44.678 109.862 156.704
45.044 109.822 156.411
45.410 109.785 156.145
45.776 109.752 155.889
46.143 109.723 155.617
46.509 109.693 155.315
46.875 109.661 154.989
47.241 109.623 154.661
47.607 109.582 154.354
47.974 109.539 154.076
48.340 109.498 153.816
48.706 109.460 153.552
49.072 109.424 153.271
49.438 109.387 152.975
49.805 109.347 152.679
50.171 109.305 152.398
50.537 109.264 152.136
50.903 109.225 151.885
51.270 109.189 151.633
51.636 109.153 151.375
52.002 109.117 151.112
52.368 109.079 150.853
52.734 109.041 150.604
53.101 109.003 150.368
53.467 108.965 150.140
53.833 108.930 149.914
54.199 108.894 149.689
54.565 108.859 149.466
54.932 108.823 149.245
55.298 108.786 149.030
55.664 108.750 148.817
56.030 108.714 148.607
56.396 108.678 148.397
56.763 108.642 148.186
57.129 108.606 147.975
57.495 108.569 147.764
57.861 108.532 147.555
58.228 108.495 147.350
58.594 108.458 147.149
58.960 108.421 146.952
59.326 108.385 146.758
59.692 108.349 146.565
60.059 108.314 146.371
60.425 108.279 146.176
60.791 108.244 145.983
61.157 108.209 145.793
61.523 108.174 145.607
61.890 108.140 145.425
62.256 108.105 145.246
62.622 108.071 145.069
62.988 108.037 144.895
63.354 108.003 144.724
63.721 107.969 144.554
64.087 107.936 144.385
64.453 107.903 144.215
64.819 107.869 144.046
65.186 107.835 143.880
65.552 107.800 143.720
65.918 107.766 143.567
66.284 107.733 143.417
66.650 107.700 143.267
67.017 107.668 143.114
67.383 107.637 142.958
67.749 107.605 142.799
68.115 107.572 142.641
68.481 107.539 142.487
68.848 107.506 142.338
69.214 107.473 142.193
69.580 107.440 142.051
69.946 107.407 141.913
70.312 107.375 141.776
70.679 107.343 141.643
71.045 107.311 141.510
71.411 107.280 141.379
71.777 107.249 141.248
72.144 107.218 141.116
72.510 107.188 140.983
72.876 107.157 140.848
73.242 107.126 140.714
73.608 107.095 140.580
73.975 107.063 140.450
74.341 107.032 140.324
74.707 107.000 140.201
75.073 106.969 140.081
75.439 106.938 139.964
75.806 106.908 139.847
76.172 106.878 139.732
76.538 106.848 139.615
76.904 106.819 139.497
77.271 106.788 139.379
77.637 106.758 139.263
78.003 106.727 139.151
78.369 106.697 139.045
78.735 106.667 138.943
79.102 106.637 138.840
79.468 106.609 138.735
79.834 106.580 138.627
80.200 106.552 138.516
80.566 106.522 138.407
80.933 106.493 138.300
81.299 106.464 138.197
81.665 106.435 138.094
82.031 106.406 137.991
82.397 106.377 137.889
82.764 106.348 137.790
83.130 106.319 137.695
83.496 106.290 137.603
83.862 106.262 137.513
84.229 106.234 137.424
84.595 106.207 137.333
84.961 106.179 137.242
85.327 106.151 137.152
85.693 106.124 137.062
86.060 106.096 136.973
86.426 106.068 136.883
86.792 106.040 136.793
87.158 106.011 136.706
87.524 105.983 136.620
87.891 105.955 136.537
88.257 105.927 136.454
88.623 105.899 136.372
88.989 105.871 136.290
89.355 105.844 136.210
89.722 105.816 136.131
90.088 105.789 136.052
90.454 105.762 135.974
90.820 105.735 135.895
91.187 105.708 135.817
91.553 105.681 135.740
91.919 105.654 135.665
92.285 105.627 135.589
92.651 105.601 135.513
93.018 105.575 135.436
93.384 105.548 135.362
93.750 105.522 135.290
94.116 105.496 135.220
94.482 105.470 135.147
94.849 105.445 135.071
95.215 105.419 134.993
95.581 105.392 134.917
95.947 105.366 134.846
96.313 105.339 134.781
96.680 105.313 134.719
97.046 105.288 134.656
97.412 105.263 134.592
97.778 105.238 134.532
98.145 105.213 134.476
98.511 105.189 134.422
98.877 105.167 134.362
99.243 105.144 134.290
99.609 105.121 134.206
99.976 105.095 134.120
100.342 105.066 134.045
100.708 105.037 133.990
101.074 105.010 133.951
101.440 104.985 133.918
101.807 104.962 133.875
102.173 104.939 133.818
102.539 104.915 133.753
102.905 104.889 133.689
103.271 104.862 133.634
103.638 104.836 133.590
104.004 104.812 133.549
104.370 104.788 133.503
104.736 104.765 133.451
105.103 104.742 133.393
105.469 104.717 133.334
105.835 104.693 133.277
106.201 104.668 133.224
106.567 104.643 133.175
106.934 104.619 133.128
107.300 104.596 133.082
107.666 104.573 133.036
108.032 104.551 132.988
108.398 104.529 132.937
108.765 104.506 132.884
109.131 104.483 132.833
109.497 104.460 132.785
109.863 104.437 132.740
110.229 104.414 132.698
110.596 104.392 132.655
110.962 104.369 132.612
111.328 104.347 132.568
111.694 104.324 132.526
112.061 104.301 132.487
112.427 104.279 132.451
112.793 104.257 132.415
113.159 104.236 132.376
113.525 104.215 132.333
113.892 104.193 132.287
114.258 104.171 132.241
114.624 104.148 132.197
114.990 104.126 132.156
115.356 104.103 132.119
115.723 104.081 132.083
116.089 104.059 132.048
116.455 104.038 132.013
116.821 104.017 131.977
117.188 103.996 131.939
117.554 103.975 131.900
117.920 103.953 131.859
118.286 103.932 131.818
118.652 103.910 131.779
119.019 103.888 131.746
119.385 103.866 131.717
119.751 103.845 131.689
120.117 103.824 131.660
120.483 103.803 131.627
120.850 103.781 131.592
121.216 103.759 131.558
121.582 103.737 131.530
121.948 103.715 131.506
122.314 103.694 131.484
122.681 103.673 131.458
123.047 103.653 131.425
123.413 103.633 131.386
123.779 103.611 131.347
124.146 103.588 131.312
124.512 103.565 131.285
124.878 103.543 131.263
125.244 103.521 131.241
125.610 103.501 131.217
125.977 103.480 131.190
126.343 103.459 131.160
126.709 103.438 131.131
127.075 103.417 131.102
127.441 103.397 131.074
127.808 103.376 131.045
128.174 103.355 131.016
128.540 103.334 130.988
128.906 103.313 130.960
129.272 103.292 130.934
129.639 103.271 130.909
130.005 103.250 130.887
130.371 103.230 130.866
130.737 103.210 130.845
131.104 103.190 130.823
131.470 103.170 130.801
131.836 103.149 130.778
132.202 103.129 130.757
132.568 103.108 130.739
132.935 103.089 130.721
133.301 103.069 130.700
133.667 103.050 130.675
134.033 103.029 130.646
134.399 103.008 130.620
134.766 102.986 130.602
135.132 102.966 130.592
135.498 102.946 130.583
135.864 102.928 130.568
136.230 102.909 130.542
136.597 102.890 130.509
136.963 102.869 130.479
137.329 102.847 130.457
137.695 102.826 130.447
138.062 102.806 130.442
138.428 102.787 130.436
138.794 102.770 130.422
139.160 102.752 130.402
139.526 102.733 130.378
139.893 102.714 130.354
140.259 102.695 130.331
140.625 102.675 130.312
140.991 102.656 130.296
141.357 102.636 130.284
141.724 102.617 130.272
142.090 102.599 130.258
142.456 102.581 130.239
142.822 102.561 130.218
143.188 102.541 130.201
143.555 102.520 130.195
143.921 102.501 130.198
144.287 102.484 130.200
144.653 102.468 130.190
145.020 102.452 130.164
145.386 102.434 130.128
145.752 102.414 130.094
146.118 102.393 130.072
146.484 102.372 130.063
146.851 102.352 130.060
147.217 102.334 130.053
147.583 102.316 130.041
147.949 102.297 130.027
148.315 102.278 130.017
148.682 102.260 130.010
149.048 102.243 130.000
149.414 102.226 129.985
149.780 102.208 129.964
150.146 102.188 129.945
150.513 102.169 129.936
150.879 102.150 129.935
151.245 102.133 129.936
151.611 102.117 129.928
151.978 102.100 129.910
152.344 102.082 129.889
152.710 102.063 129.873
153.076 102.044 129.869
153.442 102.026 129.871
153.809 102.009 129.872
154.175 101.993 129.867
154.541 101.977 129.855
154.907 101.959 129.843
155.273 101.941 129.836
155.640 101.924 129.834
156.006 101.907 129.831
156.372 101.891 129.824
156.738 101.874 129.817
157.104 101.856 129.813
157.471 101.839 129.814
157.837 101.824 129.815
158.203 101.809 129.810
158.569 101.794 129.792
158.936 101.777 129.767
159.302 101.759 129.743
159.668 101.738 129.730
160.034 101.718 129.730
160.400 101.700 129.738
160.767 101.682 129.746
161.133 101.666 129.749
161.499 101.649 129.747
161.865 101.633 129.744
162.231 101.616 129.740
162.598 101.599 129.736
162.964 101.583 129.729
163.330 101.566 129.719
163.696 101.548 129.709
164.062 101.531 129.703
164.429 101.513 129.702
164.795 101.496 129.704
165.161 101.479 129.706
165.527 101.463 129.705
165.894 101.446 129.703
166.260 101.430 129.704
166.626 101.413 129.707
166.992 101.398 129.709
167.358 101.383 129.709
167.725 101.368 129.703
168.091 101.352 129.694
168.457 101.336 129.686
168.823 101.319 129.680
169.189 101.303 129.677
169.556 101.286 129.676
169.922 101.269 129.675
170.288 101.253 129.676
170.654 101.237 129.680
171.021 101.221 129.688
171.387 101.206 129.697
171.753 101.192 129.702
172.119 101.178 129.700
172.485 101.163 129.693
172.852 101.148 129.685
173.218 101.131 129.681
173.584 101.115 129.683
173.950 101.099 129.690
174.316 101.084 129.698
174.683 101.069 129.705
175.049 101.055 129.708
175.415 101.041 129.707
175.781 101.026 129.705
176.147 101.011 129.703
176.514 100.996 129.703
176.880 100.981 129.703
177.246 100.966 129.704
177.612 100.951 129.703
177.979 100.936 129.701
178.345 100.921 129.701
178.711 100.906 129.702
179.077 100.891 129.705
179.443 100.876 129.709
179.810 100.861 129.712
180.176 100.846 129.715
180.542 100.831 129.718
180.908 100.816 129.723
181.274 100.801 129.730
181.641 100.787 129.736
182.007 100.773 129.741
182.373 100.759 129.743
182.739 100.745 129.743
183.105 100.730 129.742
183.472 100.716 129.743
183.838 100.701 129.745
184.204 100.686 129.748
184.570 100.671 129.752
184.937 100.657 129.759
185.303 100.642 129.768
185.669 100.628 129.779
186.035 100.615 129.790
186.401 100.602 129.796
186.768 100.590 129.795
187.134 100.576 129.790
187.500 100.562 129.784
187.866 100.547 129.783
188.232 100.531 129.789
188.599 100.516 129.800
188.965 100.502 129.814
189.331 100.488 129.827
189.697 100.474 129.839
190.063 100.461 129.851
190.430 100.447 129.861
190.796 100.435 129.869
191.162 100.423 129.873
191.528 100.410 129.873
191.895 100.397 129.871
192.261 100.382 129.872
192.627 100.368 129.879
192.993 100.353 129.892
193.359 100.340 129.907
193.726 100.328 129.918
194.092 100.316 129.921
194.458 100.303 129.920
194.824 100.289 129.918
195.190 100.275 129.922
195.557 100.260 129.933
195.923 100.247 129.948
196.289 100.234 129.963
196.655 100.222 129.972
197.021 100.210 129.976
197.388 100.198 129.979
197.754 100.184 129.985
198.120 100.171 129.996
198.486 100.159 130.010
198.853 100.147 130.022
