* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 25, 2020 1:36:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RE800S R; double flange
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 100.881 -114.864
20.508 100.956 -116.013
20.874 100.999 -117.119
21.240 101.018 -118.140
21.606 101.023 -119.043
21.973 101.029 -119.839
22.339 101.047 -120.589
22.705 101.079 -121.376
23.071 101.119 -122.257
23.438 101.156 -123.239
23.804 101.185 -124.274
24.170 101.208 -125.299
24.536 101.226 -126.269
24.902 101.244 -127.171
25.269 101.267 -128.018
25.635 101.294 -128.831
26.001 101.325 -129.621
26.367 101.356 -130.386
26.733 101.388 -131.126
27.100 101.425 -131.851
27.466 101.461 -132.573
27.832 101.492 -133.296
28.198 101.515 -134.007
28.564 101.529 -134.676
28.931 101.538 -135.277
29.297 101.549 -135.809
29.663 101.568 -136.308
30.029 101.595 -136.828
30.396 101.628 -137.415
30.762 101.656 -138.075
31.128 101.673 -138.774
31.494 101.678 -139.459
31.860 101.677 -140.090
32.227 101.676 -140.661
32.593 101.682 -141.200
32.959 101.694 -141.745
33.325 101.707 -142.313
33.691 101.718 -142.892
34.058 101.728 -143.453
34.424 101.738 -143.978
34.790 101.751 -144.473
35.156 101.769 -144.959
35.522 101.787 -145.460
35.889 101.804 -145.974
36.255 101.816 -146.484
36.621 101.824 -146.967
36.987 101.830 -147.414
37.354 101.838 -147.835
37.720 101.847 -148.245
38.086 101.860 -148.660
38.452 101.874 -149.083
38.818 101.884 -149.513
39.185 101.893 -149.946
39.551 101.897 -150.374
39.917 101.899 -150.785
40.283 101.899 -151.169
40.649 101.902 -151.526
41.016 101.910 -151.878
41.382 101.922 -152.257
41.748 101.933 -152.682
42.114 101.937 -153.136
42.480 101.933 -153.567
42.847 101.925 -153.932
43.213 101.925 -154.237
43.579 101.937 -154.548
43.945 101.956 -154.945
44.312 101.968 -155.451
44.678 101.959 -155.995
45.044 101.927 -156.449
45.410 101.888 -156.710
45.776 101.866 -156.785
46.143 101.876 -156.802
46.509 101.915 -156.929
46.875 101.961 -157.262
47.241 101.992 -157.761
47.607 101.995 -158.293
47.974 101.977 -158.730
48.340 101.957 -159.027
48.706 101.951 -159.239
49.072 101.959 -159.468
49.438 101.973 -159.782
49.805 101.980 -160.166
50.171 101.974 -160.556
50.537 101.959 -160.883
50.903 101.945 -161.129
51.270 101.941 -161.327
51.636 101.947 -161.536
52.002 101.959 -161.796
52.368 101.968 -162.114
52.734 101.971 -162.461
53.101 101.967 -162.798
53.467 101.958 -163.095
53.833 101.952 -163.345
54.199 101.951 -163.571
54.565 101.957 -163.811
54.932 101.967 -164.099
55.298 101.972 -164.439
55.664 101.967 -164.801
56.030 101.952 -165.132
56.396 101.932 -165.393
56.763 101.915 -165.578
57.129 101.906 -165.722
57.495 101.907 -165.874
57.861 101.911 -166.062
58.228 101.915 -166.282
58.594 101.916 -166.511
58.960 101.915 -166.732
59.326 101.916 -166.952
59.692 101.918 -167.187
60.059 101.918 -167.446
60.425 101.914 -167.714
60.791 101.905 -167.965
61.157 101.896 -168.180
61.523 101.889 -168.371
61.890 101.888 -168.569
62.256 101.889 -168.798
62.622 101.887 -169.057
62.988 101.880 -169.320
63.354 101.869 -169.558
63.721 101.859 -169.762
64.087 101.853 -169.950
64.453 101.851 -170.148
64.819 101.848 -170.369
65.186 101.844 -170.600
65.552 101.835 -170.818
65.918 101.827 -171.007
66.284 101.821 -171.176
66.650 101.820 -171.346
67.017 101.819 -171.534
67.383 101.818 -171.736
67.749 101.814 -171.936
68.115 101.809 -172.119
68.481 101.805 -172.287
68.848 101.804 -172.458
69.214 101.804 -172.652
69.580 101.801 -172.867
69.946 101.793 -173.085
70.312 101.781 -173.279
70.679 101.768 -173.439
71.045 101.759 -173.574
71.411 101.754 -173.710
71.777 101.751 -173.865
72.144 101.748 -174.040
72.510 101.743 -174.224
72.876 101.737 -174.400
73.242 101.731 -174.568
73.608 101.727 -174.737
73.975 101.724 -174.917
74.341 101.720 -175.111
74.707 101.714 -175.307
75.073 101.705 -175.492
75.439 101.697 -175.655
75.806 101.692 -175.803
76.172 101.690 -175.952
76.538 101.691 -176.116
76.904 101.692 -176.304
77.271 101.690 -176.507
77.637 101.684 -176.711
78.003 101.675 -176.898
78.369 101.664 -177.061
78.735 101.655 -177.203
79.102 101.648 -177.336
79.468 101.643 -177.472
79.834 101.639 -177.614
80.200 101.633 -177.759
80.566 101.627 -177.899
80.933 101.621 -178.030
81.299 101.617 -178.160
81.665 101.616 -178.304
82.031 101.614 -178.474
82.397 101.608 -178.665
82.764 101.597 -178.857
83.130 101.580 -179.022
83.496 101.563 -179.141
83.862 101.550 -179.220
84.229 101.544 -179.285
84.595 101.544 -179.370
84.961 101.549 -179.497
85.327 101.552 -179.665
85.693 101.550 -179.857
86.060 101.545 179.950
86.426 101.536 179.770
86.792 101.528 179.607
87.158 101.519 179.456
87.524 101.512 179.310
87.891 101.506 179.166
88.257 101.501 179.020
88.623 101.495 178.872
88.989 101.489 178.724
89.355 101.482 178.581
89.722 101.475 178.449
90.088 101.468 178.330
90.454 101.463 178.217
90.820 101.460 178.097
91.187 101.458 177.961
91.553 101.452 177.812
91.919 101.443 177.667
92.285 101.431 177.545
92.651 101.421 177.452
93.018 101.413 177.372
93.384 101.410 177.278
93.750 101.407 177.155
94.116 101.400 177.011
94.482 101.389 176.876
94.849 101.377 176.772
95.215 101.368 176.693
95.581 101.366 176.605
95.947 101.368 176.469
96.313 101.366 176.282
96.680 101.355 176.082
97.046 101.336 175.925
97.412 101.319 175.839
97.778 101.313 175.792
98.145 101.320 175.708
98.511 101.332 175.526
98.877 101.333 175.248
99.243 101.316 174.952
99.609 101.282 174.740
99.976 101.244 174.675
100.342 101.221 174.731
100.708 101.218 174.811
101.074 101.231 174.816
101.440 101.246 174.708
101.807 101.251 174.527
102.173 101.243 174.351
102.539 101.228 174.234
102.905 101.216 174.177
103.271 101.211 174.138
103.638 101.212 174.070
104.004 101.213 173.959
104.370 101.208 173.825
104.736 101.199 173.697
105.103 101.187 173.592
105.469 101.177 173.502
105.835 101.169 173.413
106.201 101.162 173.315
106.567 101.154 173.210
106.934 101.146 173.105
107.300 101.139 172.998
107.666 101.132 172.885
108.032 101.125 172.760
108.398 101.116 172.631
108.765 101.105 172.511
109.131 101.093 172.413
109.497 101.083 172.336
109.863 101.076 172.267
110.229 101.072 172.190
110.596 101.070 172.095
110.962 101.066 171.985
111.328 101.061 171.871
111.694 101.053 171.763
112.061 101.044 171.669
112.427 101.036 171.589
112.793 101.030 171.515
113.159 101.026 171.439
113.525 101.023 171.350
113.892 101.019 171.247
114.258 101.013 171.136
114.624 101.005 171.025
114.990 100.996 170.925
115.356 100.986 170.836
115.723 100.978 170.751
116.089 100.971 170.662
116.455 100.963 170.565
116.821 100.954 170.465
117.188 100.944 170.373
117.554 100.935 170.291
117.920 100.927 170.217
118.286 100.921 170.137
118.652 100.915 170.047
119.019 100.909 169.947
119.385 100.900 169.848
119.751 100.891 169.760
120.117 100.883 169.682
120.483 100.876 169.606
120.850 100.870 169.522
121.216 100.863 169.428
121.582 100.855 169.332
121.948 100.846 169.244
122.314 100.837 169.167
122.681 100.829 169.096
123.047 100.824 169.017
123.413 100.818 168.924
123.779 100.811 168.820
124.146 100.801 168.717
124.512 100.788 168.627
124.878 100.776 168.557
125.244 100.767 168.498
125.610 100.759 168.439
125.977 100.754 168.365
126.343 100.748 168.274
126.709 100.740 168.173
127.075 100.729 168.075
127.441 100.716 167.992
127.808 100.705 167.926
128.174 100.695 167.869
128.540 100.688 167.810
128.906 100.682 167.738
129.272 100.676 167.654
129.639 100.668 167.563
130.005 100.660 167.473
130.371 100.651 167.390
130.737 100.642 167.313
131.104 100.634 167.241
131.470 100.627 167.169
131.836 100.621 167.095
132.202 100.615 167.014
132.568 100.609 166.926
132.935 100.601 166.835
133.301 100.591 166.754
133.667 100.581 166.693
134.033 100.572 166.652
134.399 100.568 166.614
134.766 100.566 166.552
135.132 100.564 166.453
135.498 100.554 166.332
135.864 100.536 166.234
136.230 100.514 166.203
136.597 100.496 166.249
136.963 100.491 166.328
137.329 100.500 166.368
137.695 100.516 166.312
138.062 100.525 166.153
138.428 100.521 165.945
138.794 100.502 165.759
139.160 100.476 165.642
139.526 100.452 165.594
139.893 100.435 165.577
140.259 100.424 165.550
140.625 100.416 165.498
140.991 100.407 165.433
141.357 100.397 165.367
141.724 100.389 165.302
142.090 100.383 165.224
142.456 100.377 165.122
142.822 100.367 165.008
143.188 100.353 164.911
143.555 100.339 164.852
143.921 100.330 164.825
144.287 100.329 164.789
144.653 100.334 164.701
145.020 100.337 164.543
145.386 100.328 164.343
145.752 100.306 164.160
146.118 100.276 164.054
146.484 100.246 164.047
146.851 100.225 164.112
147.217 100.218 164.191
147.583 100.223 164.223
147.949 100.230 164.178
148.315 100.233 164.071
148.682 100.226 163.940
149.048 100.212 163.830
149.414 100.195 163.764
149.780 100.180 163.735
150.146 100.170 163.715
150.513 100.164 163.678
150.879 100.158 163.613
151.245 100.149 163.534
151.611 100.136 163.467
151.978 100.122 163.428
152.344 100.112 163.412
152.710 100.107 163.396
153.076 100.106 163.357
153.442 100.104 163.287
153.809 100.100 163.198
154.175 100.092 163.112
154.541 100.082 163.043
154.907 100.073 162.989
155.273 100.067 162.934
155.640 100.060 162.868
156.006 100.052 162.793
156.372 100.042 162.723
156.738 100.030 162.672
157.104 100.019 162.643
157.471 100.012 162.621
157.837 100.007 162.587
158.203 100.004 162.529
158.569 99.998 162.450
158.936 99.988 162.368
159.302 99.975 162.303
159.668 99.961 162.261
160.034 99.950 162.237
160.400 99.942 162.216
160.767 99.936 162.182
161.133 99.929 162.132
161.499 99.922 162.071
161.865 99.913 162.012
162.231 99.903 161.962
162.598 99.894 161.918
162.964 99.886 161.873
163.330 99.879 161.818
163.696 99.871 161.754
164.062 99.861 161.688
164.429 99.849 161.631
164.795 99.838 161.586
165.161 99.829 161.547
165.527 99.820 161.504
165.894 99.812 161.452
166.260 99.803 161.396
166.626 99.793 161.346
166.992 99.783 161.307
167.358 99.776 161.273
167.725 99.770 161.231
168.091 99.765 161.170
168.457 99.757 161.095
168.823 99.746 161.023
169.189 99.734 160.971
169.556 99.723 160.940
169.922 99.716 160.913
170.288 99.711 160.873
170.654 99.706 160.811
171.021 99.699 160.736
171.387 99.688 160.670
171.753 99.676 160.624
172.119 99.665 160.597
172.485 99.658 160.573
172.852 99.652 160.538
173.218 99.646 160.488
173.584 99.639 160.434
173.950 99.630 160.385
174.316 99.621 160.343
174.683 99.614 160.302
175.049 99.607 160.256
175.415 99.599 160.205
175.781 99.590 160.157
176.147 99.581 160.117
176.514 99.573 160.083
176.880 99.566 160.044
177.246 99.560 159.995
177.612 99.553 159.935
177.979 99.543 159.878
178.345 99.532 159.834
178.711 99.522 159.807
179.077 99.514 159.786
179.443 99.509 159.758
179.810 99.504 159.714
180.176 99.497 159.657
180.542 99.489 159.600
180.908 99.479 159.552
181.274 99.469 159.517
181.641 99.461 159.486
182.007 99.454 159.448
182.373 99.447 159.400
182.739 99.438 159.348
183.105 99.427 159.301
183.472 99.417 159.267
183.838 99.407 159.243
184.204 99.400 159.221
184.570 99.394 159.189
184.937 99.389 159.144
185.303 99.382 159.090
185.669 99.373 159.037
186.035 99.364 158.990
186.401 99.355 158.951
186.768 99.346 158.915
187.134 99.338 158.877
187.500 99.330 158.836
187.866 99.321 158.796
188.232 99.312 158.762
188.599 99.303 158.734
188.965 99.296 158.711
189.331 99.290 158.682
189.697 99.285 158.643
190.063 99.279 158.591
190.430 99.271 158.533
190.796 99.261 158.477
191.162 99.251 158.431
191.528 99.240 158.399
191.895 99.229 158.380
192.261 99.221 158.366
192.627 99.215 158.350
192.993 99.210 158.325
193.359 99.206 158.286
193.726 99.200 158.235
