* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Sep 25, 2020 1:58:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RE800S R; single flange
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 112.462 -167.255
20.508 112.451 -168.039
20.874 112.431 -168.780
21.240 112.404 -169.543
21.606 112.369 -170.353
21.973 112.321 -171.188
22.339 112.262 -172.008
22.705 112.202 -172.785
23.071 112.148 -173.530
23.438 112.105 -174.286
23.804 112.071 -175.094
24.170 112.044 -175.964
24.536 112.011 -176.865
24.902 111.973 -177.743
25.269 111.932 -178.558
25.635 111.893 -179.298
26.001 111.861 -179.985
26.367 111.835 179.350
26.733 111.811 178.688
27.100 111.790 178.034
27.466 111.765 177.402
27.832 111.738 176.800
28.198 111.710 176.221
28.564 111.681 175.649
28.931 111.650 175.072
29.297 111.614 174.493
29.663 111.573 173.923
30.029 111.530 173.368
30.396 111.487 172.826
30.762 111.444 172.286
31.128 111.401 171.743
31.494 111.357 171.200
31.860 111.313 170.666
32.227 111.271 170.145
32.593 111.232 169.630
32.959 111.197 169.105
33.325 111.163 168.564
33.691 111.127 168.012
34.058 111.092 167.471
34.424 111.055 166.960
34.790 111.018 166.482
35.156 110.984 166.027
35.522 110.952 165.577
35.889 110.920 165.124
36.255 110.885 164.676
36.621 110.848 164.246
36.987 110.809 163.841
37.354 110.772 163.455
37.720 110.735 163.075
38.086 110.702 162.687
38.452 110.669 162.289
38.818 110.633 161.888
39.185 110.595 161.492
39.551 110.556 161.106
39.917 110.518 160.727
40.283 110.481 160.348
40.649 110.445 159.965
41.016 110.409 159.576
41.382 110.372 159.187
41.748 110.334 158.805
42.114 110.296 158.436
42.480 110.259 158.083
42.847 110.223 157.741
43.213 110.189 157.401
43.579 110.156 157.057
43.945 110.121 156.712
44.312 110.083 156.379
44.678 110.045 156.073
45.044 110.007 155.797
45.410 109.974 155.537
45.776 109.945 155.267
46.143 109.917 154.964
46.509 109.886 154.628
46.875 109.849 154.281
47.241 109.806 153.956
47.607 109.760 153.671
47.974 109.715 153.421
48.340 109.674 153.180
48.706 109.637 152.922
49.072 109.601 152.639
49.438 109.562 152.341
49.805 109.520 152.047
50.171 109.478 151.770
50.537 109.436 151.513
50.903 109.396 151.267
51.270 109.359 151.020
51.636 109.324 150.767
52.002 109.290 150.505
52.368 109.255 150.235
52.734 109.218 149.962
53.101 109.180 149.692
53.467 109.140 149.434
53.833 109.100 149.195
54.199 109.062 148.975
54.565 109.025 148.766
54.932 108.990 148.556
55.298 108.957 148.336
55.664 108.923 148.106
56.030 108.887 147.873
56.396 108.849 147.648
56.763 108.811 147.436
57.129 108.774 147.233
57.495 108.738 147.032
57.861 108.702 146.826
58.228 108.667 146.615
58.594 108.630 146.404
58.960 108.593 146.199
59.326 108.555 146.006
59.692 108.518 145.823
60.059 108.483 145.644
60.425 108.451 145.462
60.791 108.419 145.271
61.157 108.387 145.069
61.523 108.353 144.861
61.890 108.317 144.658
62.256 108.280 144.468
62.622 108.242 144.296
62.988 108.207 144.138
63.354 108.174 143.980
63.721 108.143 143.810
64.087 108.112 143.626
64.453 108.078 143.431
64.819 108.042 143.242
65.186 108.004 143.070
65.552 107.966 142.919
65.918 107.931 142.782
66.284 107.898 142.647
66.650 107.867 142.504
67.017 107.836 142.351
67.383 107.805 142.193
67.749 107.774 142.036
68.115 107.742 141.883
68.481 107.711 141.729
68.848 107.680 141.574
69.214 107.647 141.416
69.580 107.614 141.262
69.946 107.580 141.118
70.312 107.547 140.985
70.679 107.515 140.858
71.045 107.485 140.727
71.411 107.456 140.586
71.777 107.426 140.434
72.144 107.394 140.278
72.510 107.360 140.129
72.876 107.326 139.991
73.242 107.292 139.862
73.608 107.260 139.739
73.975 107.228 139.616
74.341 107.197 139.493
74.707 107.165 139.371
75.073 107.135 139.250
75.439 107.104 139.131
75.806 107.075 139.012
76.172 107.046 138.890
76.538 107.017 138.765
76.904 106.987 138.639
77.271 106.957 138.517
77.637 106.927 138.398
78.003 106.897 138.284
78.369 106.867 138.172
78.735 106.837 138.061
79.102 106.808 137.950
79.468 106.778 137.836
79.834 106.748 137.721
80.200 106.718 137.607
80.566 106.686 137.497
80.933 106.655 137.395
81.299 106.623 137.301
81.665 106.593 137.212
82.031 106.564 137.122
82.397 106.536 137.026
82.764 106.509 136.925
83.130 106.480 136.820
83.496 106.451 136.717
83.862 106.423 136.616
84.229 106.395 136.518
84.595 106.367 136.417
84.961 106.339 136.312
85.327 106.311 136.204
85.693 106.281 136.098
86.060 106.251 136.000
86.426 106.221 135.914
86.792 106.193 135.836
87.158 106.166 135.759
87.524 106.141 135.674
87.891 106.115 135.577
88.257 106.088 135.470
88.623 106.059 135.366
88.989 106.027 135.278
89.355 105.996 135.212
89.722 105.968 135.160
90.088 105.943 135.108
90.454 105.920 135.039
90.820 105.896 134.950
91.187 105.871 134.849
91.553 105.842 134.751
91.919 105.812 134.669
92.285 105.783 134.601
92.651 105.756 134.538
93.018 105.731 134.466
93.384 105.705 134.384
93.750 105.678 134.299
94.116 105.650 134.220
94.482 105.622 134.152
94.849 105.596 134.089
95.215 105.571 134.021
95.581 105.546 133.943
95.947 105.520 133.859
96.313 105.493 133.778
96.680 105.465 133.708
97.046 105.438 133.648
97.412 105.412 133.593
97.778 105.387 133.537
98.145 105.362 133.480
98.511 105.337 133.425
98.877 105.313 133.374
99.243 105.291 133.319
99.609 105.269 133.254
99.976 105.247 133.173
100.342 105.222 133.083
100.708 105.195 132.996
101.074 105.166 132.924
101.440 105.137 132.872
101.807 105.109 132.830
102.173 105.084 132.788
102.539 105.060 132.737
102.905 105.036 132.677
103.271 105.011 132.614
103.638 104.986 132.555
104.004 104.960 132.500
104.370 104.936 132.447
104.736 104.912 132.390
105.103 104.888 132.331
105.469 104.864 132.269
105.835 104.839 132.208
106.201 104.814 132.151
106.567 104.790 132.096
106.934 104.765 132.042
107.300 104.742 131.990
107.666 104.718 131.938
108.032 104.695 131.889
108.398 104.672 131.842
108.765 104.649 131.795
109.131 104.627 131.747
109.497 104.604 131.697
109.863 104.581 131.647
110.229 104.559 131.597
110.596 104.536 131.548
110.962 104.513 131.500
111.328 104.490 131.453
111.694 104.467 131.406
112.061 104.444 131.359
112.427 104.422 131.312
112.793 104.399 131.266
113.159 104.376 131.221
113.525 104.354 131.176
113.892 104.331 131.132
114.258 104.309 131.089
114.624 104.287 131.047
114.990 104.265 131.006
115.356 104.243 130.964
115.723 104.222 130.922
116.089 104.200 130.880
116.455 104.178 130.839
116.821 104.156 130.800
117.188 104.134 130.764
117.554 104.112 130.729
117.920 104.091 130.694
118.286 104.070 130.658
118.652 104.048 130.621
119.019 104.027 130.586
119.385 104.006 130.551
119.751 103.985 130.516
120.117 103.964 130.476
120.483 103.942 130.433
120.850 103.919 130.390
121.216 103.895 130.353
121.582 103.871 130.324
121.948 103.849 130.303
122.314 103.828 130.281
122.681 103.808 130.252
123.047 103.789 130.211
123.413 103.768 130.163
123.779 103.746 130.114
124.146 103.723 130.071
124.512 103.699 130.037
124.878 103.677 130.011
125.244 103.655 129.987
125.610 103.634 129.961
125.977 103.614 129.932
126.343 103.593 129.901
126.709 103.572 129.868
127.075 103.551 129.835
127.441 103.529 129.803
127.808 103.508 129.773
128.174 103.486 129.747
128.540 103.464 129.726
128.906 103.443 129.707
129.272 103.423 129.688
129.639 103.403 129.664
130.005 103.384 129.635
130.371 103.364 129.601
130.737 103.343 129.567
131.104 103.322 129.535
131.470 103.300 129.509
131.836 103.279 129.486
132.202 103.259 129.462
132.568 103.238 129.437
132.935 103.218 129.411
133.301 103.197 129.386
133.667 103.176 129.366
134.033 103.157 129.348
134.399 103.138 129.328
134.766 103.119 129.301
135.132 103.100 129.267
135.498 103.079 129.233
135.864 103.057 129.209
136.230 103.035 129.199
136.597 103.014 129.199
136.963 102.997 129.199
137.329 102.981 129.184
137.695 102.965 129.152
138.062 102.947 129.108
138.428 102.925 129.065
138.794 102.903 129.034
139.160 102.880 129.020
139.526 102.859 129.014
139.893 102.840 129.007
140.259 102.822 128.992
140.625 102.803 128.969
140.991 102.784 128.943
141.357 102.763 128.918
141.724 102.743 128.897
142.090 102.723 128.879
142.456 102.703 128.863
142.822 102.684 128.846
143.188 102.665 128.830
143.555 102.647 128.812
143.921 102.629 128.790
144.287 102.611 128.763
144.653 102.593 128.732
145.020 102.574 128.700
145.386 102.553 128.671
145.752 102.532 128.649
146.118 102.511 128.635
146.484 102.490 128.628
146.851 102.471 128.624
147.217 102.451 128.624
147.583 102.433 128.623
147.949 102.415 128.622
148.315 102.398 128.619
148.682 102.382 128.610
149.048 102.365 128.596
149.414 102.348 128.577
149.780 102.330 128.556
150.146 102.311 128.535
150.513 102.292 128.516
150.879 102.272 128.500
151.245 102.253 128.487
151.611 102.233 128.477
151.978 102.214 128.470
152.344 102.195 128.465
152.710 102.177 128.463
153.076 102.159 128.458
153.442 102.143 128.450
153.809 102.126 128.435
154.175 102.109 128.418
154.541 102.092 128.400
154.907 102.074 128.386
155.273 102.056 128.375
155.640 102.039 128.366
156.006 102.022 128.354
156.372 102.005 128.340
156.738 101.987 128.327
157.104 101.969 128.320
157.471 101.951 128.320
157.837 101.935 128.324
158.203 101.920 128.322
158.569 101.906 128.307
158.936 101.890 128.280
159.302 101.873 128.248
159.668 101.852 128.226
160.034 101.831 128.219
160.400 101.812 128.225
160.767 101.794 128.236
161.133 101.777 128.241
161.499 101.762 128.235
161.865 101.745 128.222
162.231 101.727 128.209
162.598 101.708 128.202
162.964 101.690 128.202
163.330 101.673 128.203
163.696 101.657 128.199
164.062 101.641 128.189
164.429 101.624 128.175
164.795 101.606 128.162
165.161 101.589 128.153
165.527 101.571 128.148
165.894 101.554 128.143
166.260 101.538 128.137
166.626 101.521 128.128
166.992 101.503 128.119
167.358 101.486 128.114
167.725 101.468 128.116
168.091 101.452 128.121
168.457 101.437 128.124
168.823 101.422 128.120
169.189 101.407 128.107
169.556 101.390 128.091
169.922 101.373 128.077
170.288 101.355 128.071
170.654 101.338 128.075
171.021 101.321 128.085
171.387 101.306 128.094
171.753 101.292 128.098
172.119 101.277 128.095
172.485 101.262 128.089
172.852 101.247 128.082
173.218 101.231 128.077
173.584 101.215 128.074
173.950 101.199 128.072
174.316 101.184 128.071
174.683 101.168 128.072
175.049 101.152 128.074
175.415 101.137 128.077
175.781 101.122 128.079
176.147 101.108 128.077
176.514 101.094 128.072
176.880 101.078 128.065
177.246 101.063 128.058
177.612 101.047 128.056
177.979 101.031 128.058
178.345 101.015 128.061
178.711 101.000 128.063
179.077 100.985 128.063
179.443 100.970 128.063
179.810 100.955 128.065
180.176 100.940 128.070
180.542 100.925 128.074
180.908 100.911 128.075
181.274 100.897 128.071
181.641 100.882 128.066
182.007 100.866 128.062
182.373 100.850 128.065
182.739 100.834 128.072
183.105 100.820 128.081
183.472 100.806 128.086
183.838 100.793 128.086
184.204 100.779 128.080
184.570 100.764 128.073
184.937 100.748 128.068
185.303 100.732 128.068
185.669 100.716 128.074
186.035 100.701 128.084
186.401 100.687 128.094
186.768 100.673 128.100
187.134 100.659 128.102
187.500 100.645 128.100
187.866 100.630 128.100
188.232 100.615 128.104
188.599 100.600 128.112
188.965 100.586 128.121
189.331 100.573 128.129
189.697 100.560 128.131
190.063 100.546 128.128
190.430 100.532 128.121
190.796 100.518 128.116
191.162 100.503 128.114
191.528 100.488 128.117
191.895 100.474 128.123
192.261 100.461 128.129
192.627 100.447 128.134
192.993 100.434 128.138
193.359 100.420 128.142
193.726 100.406 128.148
194.092 100.393 128.156
194.458 100.380 128.167
194.824 100.368 128.177
195.190 100.356 128.183
195.557 100.344 128.184
195.923 100.331 128.182
196.289 100.318 128.181
196.655 100.304 128.185
197.021 100.290 128.194
197.388 100.277 128.207
197.754 100.264 128.220
198.120 100.252 128.229
198.486 100.240 128.235
198.853 100.227 128.240
