* Measurement data measured by REW V5.19
* Source: default [default], no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Nov 16, 2020 2:20:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ ATR (L)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 106.291 -143.873
20.508 106.317 -145.458
20.874 106.292 -146.799
21.240 106.247 -147.995
21.606 106.181 -149.166
21.973 106.076 -150.260
22.339 105.933 -151.039
22.705 105.795 -151.291
23.071 105.729 -151.105
23.438 105.771 -150.935
23.804 105.891 -151.284
24.170 106.011 -152.313
24.536 106.058 -153.736
24.902 106.017 -155.049
25.269 105.932 -155.859
25.635 105.876 -156.145
26.001 105.895 -156.275
26.367 105.970 -156.698
26.733 106.037 -157.580
27.100 106.046 -158.709
27.466 105.981 -159.684
27.832 105.881 -160.201
28.198 105.806 -160.248
28.564 105.794 -160.111
28.931 105.838 -160.141
29.297 105.900 -160.498
29.663 105.943 -161.092
30.029 105.959 -161.718
30.396 105.969 -162.243
30.762 105.997 -162.704
31.128 106.052 -163.264
31.494 106.117 -164.077
31.860 106.161 -165.163
32.227 106.160 -166.392
32.593 106.103 -167.545
32.959 106.005 -168.409
33.325 105.895 -168.858
33.691 105.811 -168.908
34.058 105.782 -168.718
34.424 105.814 -168.531
34.790 105.889 -168.562
35.156 105.977 -168.912
35.522 106.045 -169.531
35.889 106.076 -170.272
36.255 106.072 -170.962
36.621 106.048 -171.498
36.987 106.025 -171.885
37.354 106.017 -172.223
37.720 106.018 -172.627
38.086 106.016 -173.141
38.452 105.993 -173.704
38.818 105.946 -174.188
39.185 105.890 -174.482
39.551 105.848 -174.570
39.917 105.843 -174.562
40.283 105.879 -174.651
40.649 105.938 -175.005
41.016 105.988 -175.668
41.382 106.000 -176.535
41.748 105.961 -177.385
42.114 105.883 -177.984
42.480 105.801 -178.203
42.847 105.759 -178.110
43.213 105.778 -177.972
43.579 105.847 -178.101
43.945 105.921 -178.656
44.312 105.951 -179.544
44.678 105.911 179.525
45.044 105.812 178.892
45.410 105.697 178.763
45.776 105.625 179.083
46.143 105.630 179.539
46.509 105.702 179.755
46.875 105.798 179.514
47.241 105.868 178.859
47.607 105.881 178.013
47.974 105.837 177.245
48.340 105.759 176.744
48.706 105.683 176.547
49.072 105.634 176.543
49.438 105.620 176.546
49.805 105.627 176.407
50.171 105.630 176.094
50.537 105.613 175.695
50.903 105.572 175.353
51.270 105.523 175.171
51.636 105.490 175.129
52.002 105.484 175.089
52.368 105.496 174.893
52.734 105.499 174.489
53.101 105.470 173.986
53.467 105.404 173.595
53.833 105.327 173.487
54.199 105.277 173.650
54.565 105.280 173.867
54.932 105.327 173.859
55.298 105.381 173.482
55.664 105.402 172.821
56.030 105.373 172.114
56.396 105.310 171.586
56.763 105.245 171.308
57.129 105.205 171.160
57.495 105.190 170.949
57.861 105.178 170.569
58.228 105.142 170.086
58.594 105.075 169.685
58.960 104.994 169.529
59.326 104.932 169.639
59.692 104.916 169.864
60.059 104.944 169.973
60.425 104.995 169.799
60.791 105.035 169.327
61.157 105.037 168.679
61.523 104.994 168.043
61.890 104.916 167.594
62.256 104.826 167.434
62.622 104.751 167.556
62.988 104.714 167.845
63.354 104.719 168.126
63.721 104.757 168.237
64.087 104.804 168.099
64.453 104.837 167.742
64.819 104.840 167.276
65.186 104.814 166.838
65.552 104.768 166.533
65.918 104.720 166.400
66.284 104.688 166.395
66.650 104.680 166.412
67.017 104.692 166.332
67.383 104.710 166.081
67.749 104.714 165.670
68.115 104.688 165.205
68.481 104.633 164.843
68.848 104.567 164.708
69.214 104.519 164.803
69.580 104.509 164.988
69.946 104.538 165.050
70.312 104.579 164.855
70.679 104.601 164.435
71.045 104.587 163.963
71.411 104.546 163.631
71.777 104.504 163.517
72.144 104.486 163.534
72.510 104.497 163.500
72.876 104.519 163.281
73.242 104.526 162.889
73.608 104.504 162.454
73.975 104.457 162.112
74.341 104.403 161.920
74.707 104.355 161.833
75.073 104.316 161.775
75.439 104.278 161.717
75.806 104.237 161.691
76.172 104.200 161.740
76.538 104.177 161.845
76.904 104.174 161.922
77.271 104.185 161.881
77.637 104.194 161.697
78.003 104.190 161.421
78.369 104.172 161.136
78.735 104.146 160.891
79.102 104.120 160.681
79.468 104.097 160.473
79.834 104.073 160.253
80.200 104.044 160.044
80.566 104.012 159.879
80.933 103.982 159.770
81.299 103.958 159.702
81.665 103.941 159.656
82.031 103.928 159.625
82.397 103.922 159.612
82.764 103.924 159.600
83.130 103.935 159.547
83.496 103.947 159.415
83.862 103.950 159.218
84.229 103.938 159.026
84.595 103.917 158.914
84.961 103.902 158.888
85.327 103.903 158.864
85.693 103.913 158.725
86.060 103.914 158.427
86.426 103.886 158.053
86.792 103.828 157.769
87.158 103.758 157.700
87.524 103.707 157.822
87.891 103.689 157.970
88.257 103.696 157.959
88.623 103.700 157.729
88.989 103.679 157.382
89.355 103.629 157.096
89.722 103.572 156.987
90.088 103.532 157.027
90.454 103.520 157.071
90.820 103.526 156.981
91.187 103.527 156.728
91.553 103.509 156.400
91.919 103.469 156.131
92.285 103.420 156.007
92.651 103.381 156.024
93.018 103.361 156.109
93.384 103.361 156.170
93.750 103.373 156.142
94.116 103.386 156.003
94.482 103.392 155.767
94.849 103.381 155.476
95.215 103.352 155.198
95.581 103.308 154.997
95.947 103.259 154.915
96.313 103.217 154.933
96.680 103.188 154.988
97.046 103.170 155.003
97.412 103.154 154.948
97.778 103.129 154.854
98.145 103.096 154.790
98.511 103.061 154.811
98.877 103.037 154.910
99.243 103.035 155.015
99.609 103.050 155.030
99.976 103.073 154.887
100.342 103.087 154.590
100.708 103.080 154.209
101.074 103.049 153.851
101.440 103.003 153.604
101.807 102.955 153.504
102.173 102.920 153.516
102.539 102.902 153.558
102.905 102.899 153.548
103.271 102.899 153.453
103.638 102.893 153.292
104.004 102.875 153.119
104.370 102.849 152.983
104.736 102.820 152.901
105.103 102.793 152.859
105.469 102.768 152.834
105.835 102.745 152.809
106.201 102.722 152.783
106.567 102.699 152.761
106.934 102.677 152.741
107.300 102.657 152.716
107.666 102.637 152.679
108.032 102.618 152.628
108.398 102.599 152.562
108.765 102.578 152.479
109.131 102.557 152.381
109.497 102.531 152.279
109.863 102.503 152.192
110.229 102.475 152.140
110.596 102.452 152.121
110.962 102.437 152.107
111.328 102.430 152.060
111.694 102.425 151.963
112.061 102.416 151.833
112.427 102.403 151.707
112.793 102.388 151.609
113.159 102.377 151.527
113.525 102.370 151.428
113.892 102.361 151.295
114.258 102.343 151.157
114.624 102.317 151.073
114.990 102.291 151.086
115.356 102.279 151.169
115.723 102.285 151.230
116.089 102.301 151.173
116.455 102.311 150.970
116.821 102.299 150.692
117.188 102.262 150.462
117.554 102.214 150.378
117.920 102.173 150.440
118.286 102.153 150.549
118.652 102.151 150.583
119.019 102.151 150.482
119.385 102.135 150.289
119.751 102.100 150.118
120.117 102.054 150.067
120.483 102.017 150.154
120.850 102.003 150.291
121.216 102.012 150.347
121.582 102.029 150.230
121.948 102.034 149.946
122.314 102.011 149.599
122.681 101.962 149.329
123.047 101.901 149.238
123.413 101.848 149.334
123.779 101.818 149.529
124.146 101.814 149.695
124.512 101.823 149.748
124.878 101.828 149.690
125.244 101.822 149.592
125.610 101.806 149.531
125.977 101.792 149.530
126.343 101.788 149.539
126.709 101.792 149.479
127.075 101.792 149.309
127.441 101.774 149.069
127.808 101.734 148.861
128.174 101.681 148.784
128.540 101.633 148.861
128.906 101.606 149.012
129.272 101.603 149.097
129.639 101.608 149.006
130.005 101.598 148.742
130.371 101.555 148.422
130.737 101.480 148.223
131.104 101.394 148.277
131.470 101.328 148.585
131.836 101.304 148.992
132.202 101.322 149.278
132.568 101.357 149.295
132.935 101.376 149.060
133.301 101.360 148.740
133.667 101.314 148.538
134.033 101.263 148.561
134.399 101.237 148.745
134.766 101.248 148.896
135.132 101.279 148.833
135.498 101.297 148.526
135.864 101.281 148.112
136.230 101.229 147.797
136.597 101.165 147.711
136.963 101.118 147.821
137.329 101.103 147.961
137.695 101.107 147.963
138.062 101.105 147.787
138.428 101.078 147.543
138.794 101.027 147.397
139.160 100.973 147.441
139.526 100.939 147.625
139.893 100.934 147.792
140.259 100.946 147.802
140.625 100.949 147.637
140.991 100.927 147.402
141.357 100.881 147.251
141.724 100.829 147.275
142.090 100.792 147.447
142.456 100.781 147.642
142.822 100.790 147.732
143.188 100.799 147.669
143.555 100.793 147.513
143.921 100.769 147.370
144.287 100.736 147.321
144.653 100.709 147.365
145.020 100.696 147.424
145.386 100.695 147.406
145.752 100.690 147.273
146.118 100.669 147.074
146.484 100.627 146.911
146.851 100.574 146.877
147.217 100.527 146.996
147.583 100.502 147.197
147.949 100.501 147.356
148.315 100.514 147.371
148.682 100.522 147.225
149.048 100.508 146.994
149.414 100.472 146.799
149.780 100.424 146.737
150.146 100.382 146.824
150.513 100.360 146.986
150.879 100.359 147.111
151.245 100.368 147.117
151.611 100.373 147.000
151.978 100.363 146.815
152.344 100.336 146.633
152.710 100.296 146.507
153.076 100.248 146.464
153.442 100.200 146.516
153.809 100.157 146.661
154.175 100.129 146.862
154.541 100.119 147.031
154.907 100.118 147.069
155.273 100.106 146.943
155.640 100.060 146.761
156.006 99.977 146.750
156.372 99.887 147.114
156.738 99.843 147.846
157.104 99.884 148.633
157.471 100.002 149.015
157.837 100.134 148.714
158.203 100.208 147.834
158.569 100.180 146.786
158.936 100.063 146.060
159.302 99.919 145.951
159.668 99.822 146.363
160.034 99.810 146.866
160.400 99.855 147.019
160.767 99.892 146.702
161.133 99.871 146.151
161.499 99.786 145.748
161.865 99.675 145.758
162.231 99.592 146.158
162.598 99.565 146.669
162.964 99.582 146.989
163.330 99.599 147.021
163.696 99.584 146.913
164.062 99.534 146.913
164.429 99.478 147.172
164.795 99.453 147.627
165.161 99.474 148.041
165.527 99.521 148.177
165.894 99.555 147.982
166.260 99.543 147.616
166.626 99.480 147.348
166.992 99.393 147.387
167.358 99.327 147.740
167.725 99.310 148.191
168.091 99.339 148.442
168.457 99.374 148.326
168.823 99.372 147.919
169.189 99.310 147.480
169.556 99.201 147.300
169.922 99.083 147.538
170.288 99.003 148.124
170.654 98.985 148.799
171.021 99.020 149.272
171.387 99.070 149.391
171.753 99.098 149.198
172.119 99.078 148.875
172.485 99.011 148.649
172.852 98.914 148.698
173.218 98.819 149.081
173.584 98.753 149.716
173.950 98.731 150.420
174.316 98.741 151.019
174.683 98.759 151.448
175.049 98.767 151.778
175.415 98.761 152.151
175.781 98.758 152.659
176.147 98.781 153.263
176.514 98.842 153.799
176.880 98.929 154.086
177.246 99.013 154.049
177.612 99.066 153.761
177.979 99.074 153.394
178.345 99.043 153.125
178.711 98.991 153.060
179.077 98.940 153.204
179.443 98.904 153.492
179.810 98.888 153.843
180.176 98.890 154.211
180.542 98.909 154.580
180.908 98.948 154.930
181.274 99.011 155.201
181.641 99.093 155.298
182.007 99.179 155.139
182.373 99.245 154.730
182.739 99.267 154.190
183.105 99.241 153.720
183.472 99.180 153.511
183.838 99.118 153.646
184.204 99.083 154.047
184.570 99.089 154.529
184.937 99.126 154.933
185.303 99.175 155.211
185.669 99.226 155.407
186.035 99.280 155.561
186.401 99.342 155.634
186.768 99.405 155.542
187.134 99.449 155.251
187.500 99.452 154.864
187.866 99.406 154.589
188.232 99.333 154.630
188.599 99.273 155.046
188.965 99.263 155.683
189.331 99.313 156.255
189.697 99.402 156.521
190.063 99.493 156.406
190.430 99.555 156.001
190.796 99.573 155.479
191.162 99.548 155.014
191.528 99.496 154.736
191.895 99.437 154.712
192.261 99.393 154.931
192.627 99.385 155.296
192.993 99.417 155.652
193.359 99.479 155.856
193.726 99.552 155.844
194.092 99.612 155.660
194.458 99.650 155.424
194.824 99.670 155.248
195.190 99.686 155.185
195.557 99.709 155.212
195.923 99.746 155.262
196.289 99.791 155.281
196.655 99.839 155.248
197.021 99.885 155.177
197.388 99.930 155.082
