* Measurement data measured by REW V5.19
* Source: default [default], no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Nov 16, 2020 2:29:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ ATR (R)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 106.126 -148.426
20.508 106.179 -149.164
20.874 106.185 -149.928
21.240 106.156 -150.560
21.606 106.121 -151.014
21.973 106.104 -151.388
22.339 106.110 -151.841
22.705 106.126 -152.476
23.071 106.137 -153.289
23.438 106.134 -154.204
23.804 106.121 -155.150
24.170 106.107 -156.104
24.536 106.088 -157.066
24.902 106.058 -158.009
25.269 106.015 -158.855
25.635 105.967 -159.508
26.001 105.935 -159.938
26.367 105.938 -160.235
26.733 105.981 -160.584
27.100 106.049 -161.156
27.466 106.104 -161.988
27.832 106.117 -162.951
28.198 106.080 -163.819
28.564 106.013 -164.390
28.931 105.953 -164.614
29.297 105.934 -164.640
29.663 105.963 -164.741
30.029 106.015 -165.140
30.396 106.051 -165.870
30.762 106.039 -166.768
31.128 105.975 -167.580
31.494 105.884 -168.107
31.860 105.803 -168.317
32.227 105.763 -168.366
32.593 105.766 -168.486
32.959 105.791 -168.833
33.325 105.809 -169.399
33.691 105.803 -170.052
34.058 105.780 -170.646
34.424 105.754 -171.115
34.790 105.740 -171.496
35.156 105.743 -171.881
35.522 105.753 -172.335
35.889 105.760 -172.856
36.255 105.759 -173.395
36.621 105.750 -173.905
36.987 105.739 -174.376
37.354 105.727 -174.825
37.720 105.712 -175.259
38.086 105.697 -175.664
38.452 105.679 -176.016
38.818 105.667 -176.319
39.185 105.662 -176.612
39.551 105.665 -176.952
39.917 105.667 -177.370
40.283 105.659 -177.846
40.649 105.638 -178.325
41.016 105.605 -178.755
41.382 105.569 -179.114
41.748 105.536 -179.410
42.114 105.508 -179.670
42.480 105.487 -179.910
42.847 105.473 179.852
43.213 105.467 179.595
43.579 105.465 179.289
43.945 105.462 178.921
44.312 105.451 178.514
44.678 105.429 178.125
45.044 105.400 177.810
45.410 105.376 177.581
45.776 105.364 177.390
46.143 105.363 177.162
46.509 105.365 176.851
46.875 105.357 176.475
47.241 105.335 176.102
47.607 105.302 175.803
47.974 105.269 175.601
48.340 105.246 175.458
48.706 105.237 175.301
49.072 105.236 175.070
49.438 105.234 174.745
49.805 105.222 174.347
50.171 105.196 173.920
50.537 105.156 173.518
50.903 105.107 173.188
51.270 105.055 172.954
51.636 105.012 172.805
52.002 104.983 172.688
52.368 104.968 172.530
52.734 104.959 172.283
53.101 104.945 171.955
53.467 104.917 171.609
53.833 104.882 171.325
54.199 104.847 171.135
54.565 104.826 171.003
54.932 104.820 170.845
55.298 104.821 170.595
55.664 104.815 170.255
56.030 104.793 169.900
56.396 104.759 169.617
56.763 104.725 169.446
57.129 104.704 169.343
57.495 104.698 169.213
57.861 104.699 168.983
58.228 104.690 168.657
58.594 104.662 168.312
58.960 104.619 168.047
59.326 104.574 167.912
59.692 104.542 167.873
60.059 104.531 167.828
60.425 104.534 167.678
60.791 104.535 167.388
61.157 104.520 167.005
61.523 104.485 166.623
61.890 104.436 166.326
62.256 104.386 166.144
62.622 104.345 166.045
62.988 104.319 165.962
63.354 104.303 165.836
63.721 104.290 165.649
64.087 104.273 165.420
64.453 104.252 165.186
64.819 104.227 164.971
65.186 104.203 164.781
65.552 104.181 164.601
65.918 104.161 164.416
66.284 104.142 164.216
66.650 104.120 164.007
67.017 104.094 163.803
67.383 104.065 163.622
67.749 104.035 163.474
68.115 104.008 163.357
68.481 103.985 163.256
68.848 103.967 163.144
69.214 103.952 163.000
69.580 103.936 162.816
69.946 103.913 162.606
70.312 103.884 162.400
70.679 103.850 162.226
71.045 103.815 162.099
71.411 103.785 162.007
71.777 103.761 161.923
72.144 103.744 161.818
72.510 103.728 161.675
72.876 103.711 161.502
73.242 103.690 161.317
73.608 103.667 161.141
73.975 103.644 160.978
74.341 103.622 160.819
74.707 103.602 160.646
75.073 103.580 160.450
75.439 103.552 160.246
75.806 103.518 160.068
76.172 103.481 159.950
76.538 103.448 159.899
76.904 103.426 159.882
77.271 103.416 159.838
77.637 103.413 159.714
78.003 103.406 159.500
78.369 103.386 159.237
78.735 103.352 158.995
79.102 103.309 158.831
79.468 103.270 158.756
79.834 103.240 158.731
80.200 103.222 158.695
80.566 103.210 158.609
80.933 103.198 158.475
81.299 103.181 158.322
81.665 103.162 158.177
82.031 103.144 158.043
82.397 103.130 157.899
82.764 103.116 157.724
83.130 103.098 157.516
83.496 103.074 157.300
83.862 103.043 157.107
84.229 103.009 156.956
84.595 102.976 156.847
84.961 102.946 156.763
85.327 102.920 156.686
85.693 102.896 156.607
86.060 102.874 156.521
86.426 102.851 156.431
86.792 102.829 156.336
87.158 102.806 156.241
87.524 102.781 156.156
87.891 102.758 156.089
88.257 102.737 156.040
88.623 102.723 155.990
88.989 102.713 155.913
89.355 102.706 155.789
89.722 102.695 155.618
90.088 102.677 155.421
90.454 102.652 155.234
90.820 102.622 155.084
91.187 102.591 154.982
91.553 102.564 154.917
91.919 102.543 154.866
92.285 102.528 154.800
92.651 102.515 154.700
93.018 102.500 154.564
93.384 102.479 154.413
93.750 102.452 154.284
94.116 102.423 154.205
94.482 102.400 154.171
94.849 102.387 154.136
95.215 102.383 154.034
95.581 102.377 153.831
95.947 102.355 153.556
96.313 102.314 153.298
96.680 102.258 153.155
97.046 102.204 153.164
97.412 102.167 153.274
97.778 102.152 153.373
98.145 102.148 153.373
98.511 102.140 153.272
98.877 102.120 153.148
99.243 102.091 153.087
99.609 102.069 153.109
99.976 102.063 153.143
100.342 102.070 153.091
100.708 102.075 152.906
101.074 102.063 152.640
101.440 102.032 152.402
101.807 101.991 152.275
102.173 101.958 152.256
102.539 101.939 152.259
102.905 101.932 152.194
103.271 101.921 152.038
103.638 101.898 151.847
104.004 101.863 151.701
104.370 101.826 151.640
104.736 101.798 151.634
105.103 101.779 151.619
105.469 101.765 151.557
105.835 101.746 151.462
106.201 101.723 151.376
106.567 101.700 151.325
106.934 101.683 151.290
107.300 101.673 151.227
107.666 101.662 151.111
108.032 101.645 150.962
108.398 101.619 150.829
108.765 101.589 150.752
109.131 101.562 150.730
109.497 101.544 150.725
109.863 101.533 150.694
110.229 101.524 150.615
110.596 101.510 150.498
110.962 101.490 150.367
111.328 101.464 150.247
111.694 101.434 150.154
112.061 101.402 150.095
112.427 101.370 150.076
112.793 101.341 150.091
113.159 101.319 150.123
113.525 101.302 150.147
113.892 101.290 150.143
114.258 101.279 150.101
114.624 101.267 150.024
114.990 101.251 149.925
115.356 101.230 149.819
115.723 101.204 149.725
116.089 101.177 149.664
116.455 101.151 149.641
116.821 101.131 149.640
117.188 101.119 149.622
117.554 101.111 149.550
117.920 101.097 149.425
118.286 101.074 149.290
118.652 101.042 149.212
119.019 101.011 149.221
119.385 100.993 149.285
119.751 100.989 149.321
120.117 100.992 149.260
120.483 100.987 149.104
120.850 100.966 148.924
121.216 100.933 148.803
121.582 100.900 148.770
121.948 100.877 148.778
122.314 100.862 148.752
122.681 100.845 148.659
123.047 100.818 148.543
123.413 100.781 148.483
123.779 100.745 148.520
124.146 100.725 148.609
124.512 100.721 148.650
124.878 100.722 148.571
125.244 100.713 148.390
125.610 100.685 148.199
125.977 100.647 148.095
126.343 100.612 148.097
126.709 100.593 148.139
127.075 100.586 148.125
127.441 100.580 148.014
127.808 100.562 147.849
128.174 100.531 147.713
128.540 100.495 147.663
128.906 100.464 147.686
129.272 100.443 147.730
129.639 100.428 147.750
130.005 100.413 147.743
130.371 100.397 147.732
130.737 100.382 147.721
131.104 100.369 147.687
131.470 100.354 147.605
131.836 100.328 147.496
132.202 100.289 147.430
132.568 100.246 147.477
132.935 100.216 147.626
133.301 100.211 147.769
133.667 100.222 147.768
134.033 100.228 147.568
134.399 100.206 147.254
134.766 100.152 147.004
135.132 100.083 146.965
135.498 100.031 147.138
135.864 100.014 147.364
136.230 100.026 147.444
136.597 100.037 147.294
136.963 100.021 147.008
137.329 99.971 146.789
137.695 99.906 146.799
138.062 99.859 147.041
138.428 99.850 147.353
138.794 99.873 147.525
139.160 99.902 147.456
139.526 99.907 147.213
139.893 99.879 146.967
140.259 99.829 146.867
140.625 99.782 146.948
140.991 99.755 147.117
141.357 99.747 147.233
141.724 99.743 147.220
142.090 99.727 147.110
142.456 99.691 147.001
142.822 99.642 146.986
143.188 99.597 147.087
143.555 99.566 147.253
143.921 99.552 147.399
144.287 99.549 147.468
144.653 99.549 147.439
145.020 99.544 147.326
145.386 99.530 147.156
145.752 99.503 146.966
146.118 99.462 146.812
146.484 99.411 146.752
146.851 99.361 146.823
147.217 99.325 146.999
147.583 99.311 147.196
147.949 99.313 147.311
148.315 99.316 147.293
148.682 99.305 147.173
149.048 99.272 147.048
149.414 99.219 147.021
149.780 99.162 147.149
150.146 99.115 147.415
150.513 99.090 147.733
150.879 99.087 147.985
151.245 99.095 148.077
151.611 99.093 147.985
151.978 99.064 147.789
152.344 99.004 147.649
152.710 98.930 147.710
153.076 98.875 147.980
153.442 98.864 148.265
153.809 98.889 148.283
154.175 98.903 147.898
154.541 98.857 147.279
154.907 98.737 146.845
155.273 98.588 146.992
155.640 98.500 147.738
156.006 98.539 148.546
156.372 98.674 148.670
156.738 98.789 147.781
157.104 98.765 146.239
157.471 98.551 144.895
157.837 98.201 144.694
158.203 97.875 146.119
158.569 97.753 148.643
158.936 97.887 150.911
159.302 98.148 151.890
159.668 98.356 151.602
160.034 98.413 150.798
160.400 98.329 150.335
160.767 98.194 150.694
161.133 98.114 151.760
161.499 98.134 152.973
161.865 98.218 153.841
162.231 98.301 154.289
162.598 98.342 154.573
162.964 98.352 154.972
163.330 98.362 155.564
163.696 98.393 156.236
164.062 98.439 156.862
164.429 98.481 157.455
164.795 98.519 158.146
165.161 98.576 159.020
165.527 98.681 159.979
165.894 98.842 160.770
166.260 99.032 161.178
166.626 99.209 161.187
166.992 99.344 160.982
167.358 99.437 160.815
167.725 99.515 160.840
168.091 99.612 161.020
168.457 99.744 161.164
168.823 99.902 161.073
169.189 100.055 160.667
169.556 100.178 160.018
169.922 100.263 159.275
170.288 100.315 158.565
170.654 100.350 157.933
171.021 100.377 157.352
171.387 100.400 156.773
171.753 100.414 156.182
172.119 100.417 155.607
172.485 100.411 155.084
172.852 100.407 154.617
173.218 100.408 154.163
173.584 100.415 153.671
173.950 100.417 153.119
174.316 100.409 152.536
174.683 100.389 151.982
175.049 100.361 151.507
175.415 100.334 151.124
175.781 100.313 150.808
176.147 100.302 150.522
176.514 100.297 150.233
176.880 100.297 149.924
177.246 100.295 149.586
177.612 100.289 149.221
177.979 100.272 148.851
178.345 100.242 148.519
178.711 100.201 148.281
179.077 100.160 148.169
179.443 100.128 148.165
179.810 100.115 148.195
180.176 100.117 148.165
180.542 100.124 148.014
180.908 100.123 147.745
181.274 100.102 147.422
181.641 100.064 147.130
182.007 100.014 146.929
182.373 99.966 146.831
182.739 99.930 146.792
183.105 99.906 146.745
183.472 99.890 146.639
183.838 99.874 146.462
184.204 99.852 146.242
184.570 99.821 146.031
184.937 99.787 145.868
185.303 99.754 145.761
185.669 99.729 145.688
186.035 99.711 145.614
186.401 99.698 145.514
186.768 99.683 145.390
187.134 99.666 145.262
187.500 99.645 145.150
187.866 99.623 145.064
188.232 99.601 145.003
188.599 99.579 144.966
188.965 99.559 144.951
189.331 99.542 144.952
189.697 99.529 144.954
190.063 99.521 144.927
190.430 99.512 144.851
190.796 99.499 144.729
191.162 99.476 144.594
191.528 99.444 144.492
191.895 99.410 144.450
192.261 99.380 144.457
192.627 99.359 144.475
192.993 99.345 144.460
193.359 99.332 144.399
193.726 99.315 144.312
194.092 99.293 144.234
194.458 99.270 144.188
194.824 99.251 144.173
195.190 99.237 144.167
195.557 99.228 144.148
195.923 99.221 144.107
196.289 99.214 144.048
196.655 99.205 143.979
197.021 99.194 143.905
197.388 99.180 143.829
