* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Nov 16, 2020 1:38:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDX (L)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 101.605 -116.413
20.508 101.661 -117.504
20.874 101.703 -118.514
21.240 101.736 -119.478
21.606 101.767 -120.435
21.973 101.793 -121.411
22.339 101.814 -122.414
22.705 101.829 -123.429
23.071 101.840 -124.437
23.438 101.850 -125.425
23.804 101.862 -126.392
24.170 101.883 -127.350
24.536 101.907 -128.306
24.902 101.932 -129.258
25.269 101.956 -130.195
25.635 101.979 -131.104
26.001 102.001 -131.976
26.367 102.023 -132.814
26.733 102.045 -133.623
27.100 102.070 -134.408
27.466 102.093 -135.170
27.832 102.113 -135.907
28.198 102.131 -136.619
28.564 102.147 -137.311
28.931 102.160 -137.988
29.297 102.172 -138.655
29.663 102.181 -139.313
30.029 102.188 -139.959
30.396 102.195 -140.593
30.762 102.201 -141.218
31.128 102.208 -141.841
31.494 102.216 -142.469
31.860 102.222 -143.105
32.227 102.227 -143.743
32.593 102.230 -144.371
32.959 102.231 -144.982
33.325 102.234 -145.572
33.691 102.238 -146.148
34.058 102.247 -146.717
34.424 102.257 -147.286
34.790 102.265 -147.853
35.156 102.271 -148.408
35.522 102.276 -148.945
35.889 102.281 -149.459
36.255 102.286 -149.956
36.621 102.291 -150.444
36.987 102.297 -150.929
37.354 102.301 -151.412
37.720 102.303 -151.886
38.086 102.308 -152.351
38.452 102.312 -152.807
38.818 102.316 -153.260
39.185 102.319 -153.712
39.551 102.321 -154.160
39.917 102.323 -154.601
40.283 102.324 -155.036
40.649 102.325 -155.467
41.016 102.326 -155.899
41.382 102.326 -156.330
41.748 102.324 -156.750
42.114 102.322 -157.152
42.480 102.321 -157.539
42.847 102.323 -157.927
43.213 102.325 -158.331
43.579 102.325 -158.753
43.945 102.318 -159.171
44.312 102.307 -159.549
44.678 102.296 -159.869
45.044 102.292 -160.142
45.410 102.298 -160.414
45.776 102.311 -160.733
46.143 102.324 -161.121
46.509 102.329 -161.556
46.875 102.325 -161.994
47.241 102.314 -162.394
47.607 102.302 -162.744
47.974 102.292 -163.064
48.340 102.286 -163.385
48.706 102.282 -163.723
49.072 102.275 -164.071
49.438 102.266 -164.412
49.805 102.257 -164.734
50.171 102.250 -165.042
50.537 102.244 -165.351
50.903 102.239 -165.670
51.270 102.233 -165.997
51.636 102.224 -166.317
52.002 102.215 -166.620
52.368 102.206 -166.907
52.734 102.199 -167.189
53.101 102.193 -167.477
53.467 102.187 -167.774
53.833 102.180 -168.074
54.199 102.171 -168.366
54.565 102.161 -168.643
54.932 102.152 -168.909
55.298 102.144 -169.169
55.664 102.138 -169.434
56.030 102.132 -169.708
56.396 102.125 -169.989
56.763 102.116 -170.272
57.129 102.106 -170.549
57.495 102.095 -170.817
57.861 102.084 -171.073
58.228 102.073 -171.323
58.594 102.064 -171.572
58.960 102.055 -171.821
59.326 102.045 -172.069
59.692 102.035 -172.309
60.059 102.026 -172.541
60.425 102.019 -172.769
60.791 102.013 -173.004
61.157 102.008 -173.252
61.523 102.001 -173.514
61.890 101.992 -173.778
62.256 101.980 -174.030
62.622 101.966 -174.264
62.988 101.954 -174.481
63.354 101.944 -174.692
63.721 101.935 -174.908
64.087 101.927 -175.129
64.453 101.917 -175.352
64.819 101.907 -175.571
65.186 101.897 -175.787
65.552 101.888 -176.001
65.918 101.879 -176.217
66.284 101.869 -176.434
66.650 101.858 -176.648
67.017 101.847 -176.857
67.383 101.837 -177.062
67.749 101.827 -177.268
68.115 101.818 -177.477
68.481 101.807 -177.686
68.848 101.794 -177.887
69.214 101.782 -178.073
69.580 101.771 -178.250
69.946 101.762 -178.425
70.312 101.755 -178.612
70.679 101.748 -178.813
71.045 101.738 -179.021
71.411 101.727 -179.224
71.777 101.714 -179.414
72.144 101.703 -179.593
72.510 101.694 -179.771
72.876 101.685 -179.959
73.242 101.677 179.842
73.608 101.666 179.637
73.975 101.654 179.437
74.341 101.641 179.248
74.707 101.628 179.071
75.073 101.616 178.899
75.439 101.605 178.727
75.806 101.593 178.554
76.172 101.582 178.385
76.538 101.571 178.223
76.904 101.560 178.067
77.271 101.551 177.912
77.637 101.543 177.751
78.003 101.534 177.580
78.369 101.524 177.406
78.735 101.513 177.237
79.102 101.501 177.077
79.468 101.490 176.923
79.834 101.480 176.766
80.200 101.471 176.598
80.566 101.460 176.422
80.933 101.447 176.247
81.299 101.432 176.087
81.665 101.417 175.947
82.031 101.405 175.819
82.397 101.396 175.685
82.764 101.388 175.534
83.130 101.379 175.364
83.496 101.367 175.188
83.862 101.352 175.023
84.229 101.337 174.879
84.595 101.323 174.753
84.961 101.312 174.631
85.327 101.302 174.501
85.693 101.294 174.357
86.060 101.285 174.200
86.426 101.274 174.036
86.792 101.261 173.873
87.158 101.246 173.716
87.524 101.231 173.571
87.891 101.215 173.437
88.257 101.201 173.312
88.623 101.188 173.186
88.989 101.176 173.052
89.355 101.163 172.910
89.722 101.148 172.769
90.088 101.131 172.640
90.454 101.114 172.529
90.820 101.101 172.432
91.187 101.090 172.332
91.553 101.082 172.216
91.919 101.074 172.079
92.285 101.063 171.929
92.651 101.051 171.777
93.018 101.037 171.629
93.384 101.022 171.487
93.750 101.007 171.348
94.116 100.991 171.214
94.482 100.975 171.089
94.849 100.959 170.975
95.215 100.945 170.868
95.581 100.932 170.758
95.947 100.920 170.638
96.313 100.908 170.507
96.680 100.893 170.375
97.046 100.877 170.250
97.412 100.861 170.137
97.778 100.845 170.032
98.145 100.830 169.928
98.511 100.816 169.822
98.877 100.801 169.717
99.243 100.786 169.614
99.609 100.771 169.514
99.976 100.757 169.413
100.342 100.743 169.307
100.708 100.728 169.198
101.074 100.712 169.091
101.440 100.695 168.989
101.807 100.678 168.893
102.173 100.662 168.799
102.539 100.645 168.704
102.905 100.627 168.610
103.271 100.609 168.521
103.638 100.591 168.440
104.004 100.573 168.366
104.370 100.556 168.294
104.736 100.539 168.220
105.103 100.521 168.144
105.469 100.502 168.070
105.835 100.483 168.005
106.201 100.463 167.952
106.567 100.444 167.910
106.934 100.426 167.875
107.300 100.409 167.844
107.666 100.394 167.814
108.032 100.378 167.785
108.398 100.363 167.758
108.765 100.348 167.736
109.131 100.333 167.722
109.497 100.319 167.717
109.863 100.306 167.718
110.229 100.295 167.721
110.596 100.286 167.723
110.962 100.277 167.725
111.328 100.269 167.732
111.694 100.263 167.745
112.061 100.260 167.759
112.427 100.260 167.761
112.793 100.263 167.738
113.159 100.266 167.687
113.525 100.265 167.617
113.892 100.262 167.545
114.258 100.257 167.484
114.624 100.251 167.440
114.990 100.248 167.408
115.356 100.248 167.375
115.723 100.250 167.328
116.089 100.254 167.262
116.455 100.256 167.176
116.821 100.257 167.076
117.188 100.255 166.971
117.554 100.251 166.870
117.920 100.247 166.777
118.286 100.242 166.690
118.652 100.239 166.602
119.019 100.235 166.505
119.385 100.229 166.403
119.751 100.222 166.305
120.117 100.212 166.225
120.483 100.204 166.166
120.850 100.199 166.115
121.216 100.198 166.046
121.582 100.199 165.940
121.948 100.196 165.798
122.314 100.187 165.642
122.681 100.171 165.506
123.047 100.153 165.411
123.413 100.137 165.354
123.779 100.126 165.309
124.146 100.119 165.248
124.512 100.113 165.158
124.878 100.105 165.047
125.244 100.093 164.935
125.610 100.078 164.836
125.977 100.064 164.756
126.343 100.051 164.684
126.709 100.040 164.610
127.075 100.029 164.529
127.441 100.017 164.444
127.808 100.004 164.362
128.174 99.992 164.284
128.540 99.979 164.209
128.906 99.967 164.133
129.272 99.955 164.055
129.639 99.942 163.978
130.005 99.929 163.908
130.371 99.915 163.847
130.737 99.903 163.791
131.104 99.891 163.736
131.470 99.881 163.676
131.836 99.871 163.608
132.202 99.859 163.534
132.568 99.846 163.460
132.935 99.832 163.395
133.301 99.817 163.342
133.667 99.804 163.298
134.033 99.792 163.254
134.399 99.781 163.200
134.766 99.768 163.135
135.132 99.753 163.071
135.498 99.736 163.024
135.864 99.720 163.003
136.230 99.708 163.001
136.597 99.701 162.992
136.963 99.697 162.953
137.329 99.692 162.875
137.695 99.683 162.774
138.062 99.668 162.676
138.428 99.650 162.608
138.794 99.632 162.571
139.160 99.618 162.549
139.526 99.607 162.523
139.893 99.597 162.482
140.259 99.585 162.434
140.625 99.572 162.393
140.991 99.559 162.365
141.357 99.549 162.344
141.724 99.540 162.316
142.090 99.531 162.275
142.456 99.520 162.228
142.822 99.507 162.191
143.188 99.493 162.172
143.555 99.482 162.169
143.921 99.473 162.169
144.287 99.466 162.158
144.653 99.460 162.136
145.020 99.453 162.107
145.386 99.445 162.077
145.752 99.437 162.047
146.118 99.430 162.012
146.484 99.422 161.973
146.851 99.412 161.936
147.217 99.403 161.911
147.583 99.395 161.897
147.949 99.390 161.883
148.315 99.388 161.846
148.682 99.386 161.777
149.048 99.380 161.687
149.414 99.368 161.603
149.780 99.353 161.549
150.146 99.341 161.532
150.513 99.334 161.529
150.879 99.332 161.509
151.245 99.331 161.452
151.611 99.327 161.364
151.978 99.318 161.273
152.344 99.305 161.206
152.710 99.293 161.172
153.076 99.284 161.157
153.442 99.279 161.136
153.809 99.276 161.094
154.175 99.272 161.033
154.541 99.264 160.970
154.907 99.256 160.918
155.273 99.248 160.879
155.640 99.242 160.840
156.006 99.238 160.786
156.372 99.232 160.714
156.738 99.224 160.633
157.104 99.212 160.562
157.471 99.200 160.510
157.837 99.189 160.475
158.203 99.181 160.440
158.569 99.174 160.390
158.936 99.167 160.322
159.302 99.157 160.246
159.668 99.145 160.179
160.034 99.131 160.133
160.400 99.120 160.103
160.767 99.112 160.074
161.133 99.106 160.029
161.499 99.100 159.962
161.865 99.092 159.881
162.231 99.080 159.804
162.598 99.067 159.742
162.964 99.053 159.698
163.330 99.042 159.662
163.696 99.032 159.625
164.062 99.023 159.581
164.429 99.013 159.533
164.795 99.003 159.486
165.161 98.992 159.443
165.527 98.982 159.400
165.894 98.973 159.356
166.260 98.963 159.309
166.626 98.952 159.262
166.992 98.941 159.217
167.358 98.930 159.177
167.725 98.920 159.138
168.091 98.910 159.097
168.457 98.900 159.053
168.823 98.889 159.008
169.189 98.879 158.963
169.556 98.868 158.920
169.922 98.858 158.876
170.288 98.847 158.831
170.654 98.837 158.787
171.021 98.826 158.747
171.387 98.815 158.713
171.753 98.805 158.682
172.119 98.796 158.648
172.485 98.787 158.606
172.852 98.778 158.557
173.218 98.767 158.506
173.584 98.755 158.463
173.950 98.742 158.433
174.316 98.730 158.414
174.683 98.721 158.399
175.049 98.713 158.377
175.415 98.705 158.344
175.781 98.697 158.300
176.147 98.688 158.252
176.514 98.677 158.204
176.880 98.665 158.162
177.246 98.653 158.126
177.612 98.641 158.098
177.979 98.629 158.073
178.345 98.619 158.051
178.711 98.609 158.026
179.077 98.600 157.996
179.443 98.590 157.959
179.810 98.579 157.920
180.176 98.568 157.883
180.542 98.555 157.855
180.908 98.544 157.836
181.274 98.533 157.821
181.641 98.524 157.804
182.007 98.515 157.780
182.373 98.506 157.748
182.739 98.496 157.715
183.105 98.485 157.687
183.472 98.474 157.668
183.838 98.465 157.652
184.204 98.457 157.632
184.570 98.448 157.602
184.937 98.439 157.564
185.303 98.429 157.526
185.669 98.417 157.497
186.035 98.405 157.478
186.401 98.395 157.464
186.768 98.386 157.446
187.134 98.377 157.417
187.500 98.367 157.383
187.866 98.356 157.351
188.232 98.344 157.330
188.599 98.333 157.318
188.965 98.323 157.309
189.331 98.315 157.292
189.697 98.307 157.264
190.063 98.297 157.229
190.430 98.286 157.195
190.796 98.274 157.171
191.162 98.264 157.157
191.528 98.254 157.147
191.895 98.246 157.134
192.261 98.238 157.112
192.627 98.230 157.084
192.993 98.221 157.055
193.359 98.211 157.029
193.726 98.201 157.010
194.092 98.192 156.993
194.458 98.183 156.975
194.824 98.175 156.953
