* Measurement data measured by REW V5.19
* Source: default [default], no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Nov 16, 2020 2:10:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDX (L)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 101.760 -124.011
20.508 101.811 -124.944
20.874 101.845 -125.815
21.240 101.869 -126.634
21.606 101.893 -127.425
21.973 101.921 -128.244
22.339 101.951 -129.157
22.705 101.976 -130.197
23.071 101.983 -131.323
23.438 101.967 -132.437
23.804 101.936 -133.430
24.170 101.913 -134.252
24.536 101.909 -134.945
24.902 101.930 -135.614
25.269 101.969 -136.351
25.635 102.010 -137.181
26.001 102.041 -138.056
26.367 102.060 -138.899
26.733 102.072 -139.660
27.100 102.088 -140.337
27.466 102.108 -140.964
27.832 102.132 -141.580
28.198 102.153 -142.204
28.564 102.170 -142.828
28.931 102.180 -143.434
29.297 102.187 -144.012
29.663 102.192 -144.564
30.029 102.197 -145.104
30.396 102.204 -145.648
30.762 102.210 -146.205
31.128 102.214 -146.773
31.494 102.215 -147.339
31.860 102.214 -147.889
32.227 102.215 -148.414
32.593 102.220 -148.925
32.959 102.231 -149.446
33.325 102.245 -149.998
33.691 102.258 -150.587
34.058 102.268 -151.189
34.424 102.271 -151.769
34.790 102.271 -152.299
35.156 102.272 -152.775
35.522 102.278 -153.219
35.889 102.288 -153.660
36.255 102.300 -154.116
36.621 102.309 -154.584
36.987 102.315 -155.051
37.354 102.317 -155.508
37.720 102.316 -155.949
38.086 102.317 -156.376
38.452 102.317 -156.789
38.818 102.317 -157.186
39.185 102.319 -157.575
39.551 102.322 -157.971
39.917 102.327 -158.390
40.283 102.329 -158.831
40.649 102.325 -159.273
41.016 102.318 -159.686
41.382 102.312 -160.054
41.748 102.313 -160.395
42.114 102.320 -160.749
42.480 102.330 -161.146
42.847 102.336 -161.580
43.213 102.333 -162.007
43.579 102.325 -162.379
43.945 102.320 -162.684
44.312 102.324 -162.959
44.678 102.338 -163.264
45.044 102.353 -163.641
45.410 102.359 -164.076
45.776 102.352 -164.516
46.143 102.335 -164.900
46.509 102.314 -165.205
46.875 102.299 -165.451
47.241 102.291 -165.684
47.607 102.288 -165.939
47.974 102.284 -166.221
48.340 102.278 -166.518
48.706 102.271 -166.820
49.072 102.263 -167.130
49.438 102.255 -167.455
49.805 102.244 -167.790
50.171 102.229 -168.118
50.537 102.212 -168.417
50.903 102.198 -168.683
51.270 102.188 -168.938
51.636 102.183 -169.210
52.002 102.178 -169.512
52.368 102.170 -169.829
52.734 102.156 -170.131
53.101 102.141 -170.396
53.467 102.129 -170.629
53.833 102.123 -170.858
54.199 102.118 -171.107
54.565 102.110 -171.372
54.932 102.098 -171.625
55.298 102.083 -171.835
55.664 102.073 -172.001
56.030 102.070 -172.157
56.396 102.075 -172.349
56.763 102.080 -172.604
57.129 102.078 -172.904
57.495 102.067 -173.202
57.861 102.049 -173.450
58.228 102.034 -173.640
58.594 102.026 -173.803
58.960 102.027 -173.990
59.326 102.030 -174.233
59.692 102.028 -174.525
60.059 102.018 -174.828
60.425 102.002 -175.099
60.791 101.984 -175.320
61.157 101.971 -175.505
61.523 101.963 -175.684
61.890 101.959 -175.881
62.256 101.955 -176.101
62.622 101.948 -176.334
62.988 101.940 -176.563
63.354 101.930 -176.781
63.721 101.920 -176.989
64.087 101.910 -177.192
64.453 101.902 -177.395
64.819 101.893 -177.601
65.186 101.885 -177.809
65.552 101.876 -178.021
65.918 101.866 -178.234
66.284 101.854 -178.445
66.650 101.841 -178.645
67.017 101.829 -178.833
67.383 101.818 -179.013
67.749 101.810 -179.193
68.115 101.803 -179.382
68.481 101.795 -179.581
68.848 101.785 -179.783
69.214 101.775 -179.979
69.580 101.764 179.835
69.946 101.754 179.655
70.312 101.745 179.473
70.679 101.736 179.282
71.045 101.726 179.085
71.411 101.714 178.891
71.777 101.700 178.708
72.144 101.686 178.541
72.510 101.674 178.386
72.876 101.664 178.230
73.242 101.655 178.065
73.608 101.646 177.888
73.975 101.635 177.705
74.341 101.622 177.528
74.707 101.609 177.363
75.073 101.597 177.208
75.439 101.585 177.057
75.806 101.575 176.904
76.172 101.566 176.750
76.538 101.556 176.597
76.904 101.546 176.447
77.271 101.537 176.297
77.637 101.529 176.146
78.003 101.519 175.993
78.369 101.509 175.844
78.735 101.498 175.706
79.102 101.489 175.576
79.468 101.482 175.442
79.834 101.476 175.289
80.200 101.468 175.113
80.566 101.454 174.934
80.933 101.435 174.781
81.299 101.416 174.675
81.665 101.402 174.604
82.031 101.396 174.532
82.397 101.395 174.417
82.764 101.393 174.245
83.130 101.385 174.038
83.496 101.368 173.840
83.862 101.347 173.685
84.229 101.328 173.574
84.595 101.315 173.478
84.961 101.306 173.361
85.327 101.298 173.212
85.693 101.286 173.044
86.060 101.271 172.888
86.426 101.254 172.760
86.792 101.240 172.652
87.158 101.230 172.543
87.524 101.222 172.413
87.891 101.213 172.266
88.257 101.201 172.119
88.623 101.188 171.990
88.989 101.176 171.878
89.355 101.168 171.767
89.722 101.162 171.635
90.088 101.155 171.475
90.454 101.143 171.304
90.820 101.127 171.146
91.187 101.108 171.022
91.553 101.091 170.931
91.919 101.079 170.852
92.285 101.071 170.763
92.651 101.063 170.650
93.018 101.054 170.521
93.384 101.041 170.394
93.750 101.026 170.287
94.116 101.012 170.203
94.482 101.002 170.130
94.849 100.995 170.049
95.215 100.989 169.945
95.581 100.982 169.819
95.947 100.972 169.684
96.313 100.958 169.558
96.680 100.943 169.449
97.046 100.929 169.354
97.412 100.916 169.263
97.778 100.903 169.168
98.145 100.888 169.070
98.511 100.872 168.983
98.877 100.856 168.922
99.243 100.842 168.885
99.609 100.836 168.853
99.976 100.835 168.792
100.342 100.837 168.675
100.708 100.835 168.503
101.074 100.825 168.304
101.440 100.806 168.119
101.807 100.782 167.979
102.173 100.760 167.889
102.539 100.743 167.823
102.905 100.731 167.750
103.271 100.721 167.653
103.638 100.709 167.541
104.004 100.695 167.435
104.370 100.680 167.347
104.736 100.669 167.270
105.103 100.660 167.185
105.469 100.653 167.076
105.835 100.643 166.949
106.201 100.628 166.827
106.567 100.612 166.730
106.934 100.597 166.661
107.300 100.587 166.601
107.666 100.580 166.530
108.032 100.573 166.437
108.398 100.565 166.328
108.765 100.554 166.220
109.131 100.542 166.118
109.497 100.530 166.019
109.863 100.516 165.919
110.229 100.500 165.825
110.596 100.481 165.754
110.962 100.464 165.718
111.328 100.452 165.707
111.694 100.447 165.689
112.061 100.447 165.628
112.427 100.445 165.510
112.793 100.437 165.360
113.159 100.420 165.222
113.525 100.399 165.130
113.892 100.381 165.084
114.258 100.369 165.053
114.624 100.362 164.998
114.990 100.356 164.904
115.356 100.345 164.787
115.723 100.329 164.678
116.089 100.311 164.600
116.455 100.294 164.552
116.821 100.281 164.516
117.188 100.272 164.472
117.554 100.264 164.410
117.920 100.256 164.335
118.286 100.247 164.253
118.652 100.238 164.168
119.019 100.228 164.079
119.385 100.217 163.986
119.751 100.204 163.894
120.117 100.189 163.810
120.483 100.173 163.739
120.850 100.158 163.678
121.216 100.145 163.622
121.582 100.132 163.566
121.948 100.120 163.509
122.314 100.108 163.450
122.681 100.097 163.388
123.047 100.086 163.317
123.413 100.075 163.237
123.779 100.062 163.154
124.146 100.047 163.078
124.512 100.032 163.017
124.878 100.019 162.965
125.244 100.008 162.909
125.610 99.998 162.836
125.977 99.987 162.749
126.343 99.972 162.659
126.709 99.955 162.584
127.075 99.938 162.532
127.441 99.924 162.495
127.808 99.912 162.455
128.174 99.902 162.400
128.540 99.891 162.333
128.906 99.878 162.267
129.272 99.864 162.210
129.639 99.851 162.161
130.005 99.839 162.107
130.371 99.827 162.042
130.737 99.813 161.971
131.104 99.798 161.910
131.470 99.782 161.866
131.836 99.769 161.832
132.202 99.760 161.787
132.568 99.751 161.714
132.935 99.740 161.614
133.301 99.724 161.510
133.667 99.704 161.430
134.033 99.685 161.382
134.399 99.670 161.351
134.766 99.659 161.307
135.132 99.649 161.232
135.498 99.634 161.134
135.864 99.613 161.046
136.230 99.589 161.005
136.597 99.566 161.024
136.963 99.552 161.081
137.329 99.549 161.131
137.695 99.553 161.129
138.062 99.557 161.055
138.428 99.553 160.927
138.794 99.538 160.794
139.160 99.515 160.708
139.526 99.490 160.698
139.893 99.472 160.750
140.259 99.467 160.808
140.625 99.471 160.807
140.991 99.476 160.712
141.357 99.472 160.545
141.724 99.452 160.368
142.090 99.420 160.253
142.456 99.387 160.230
142.822 99.362 160.271
143.188 99.349 160.315
143.555 99.343 160.309
143.921 99.335 160.246
144.287 99.320 160.164
144.653 99.299 160.106
145.020 99.279 160.091
145.386 99.263 160.099
145.752 99.252 160.100
146.118 99.242 160.080
146.484 99.230 160.053
146.851 99.218 160.036
147.217 99.208 160.033
147.583 99.202 160.019
147.949 99.199 159.969
148.315 99.192 159.878
148.682 99.178 159.772
149.048 99.157 159.686
149.414 99.134 159.640
149.780 99.112 159.624
150.146 99.094 159.618
150.513 99.079 159.608
150.879 99.064 159.592
151.245 99.051 159.572
151.611 99.041 159.537
151.978 99.030 159.471
152.344 99.015 159.378
152.710 98.993 159.290
153.076 98.967 159.253
153.442 98.944 159.282
153.809 98.932 159.343
154.175 98.931 159.370
154.541 98.933 159.321
154.907 98.926 159.223
155.273 98.909 159.155
155.640 98.890 159.181
156.006 98.884 159.281
156.372 98.899 159.347
156.738 98.925 159.262
157.104 98.938 159.002
157.471 98.919 158.670
157.837 98.868 158.436
158.203 98.803 158.429
158.569 98.750 158.646
158.936 98.727 158.954
159.302 98.732 159.188
159.668 98.743 159.267
160.034 98.744 159.235
160.400 98.728 159.196
160.767 98.703 159.230
161.133 98.684 159.333
161.499 98.676 159.437
161.865 98.674 159.478
162.231 98.668 159.451
162.598 98.652 159.402
162.964 98.628 159.390
163.330 98.604 159.436
163.696 98.586 159.519
164.062 98.574 159.601
164.429 98.567 159.662
164.795 98.562 159.705
165.161 98.557 159.738
165.527 98.554 159.761
165.894 98.553 159.760
166.260 98.550 159.732
166.626 98.541 159.694
166.992 98.528 159.677
167.358 98.512 159.707
167.725 98.501 159.780
168.091 98.496 159.868
168.457 98.497 159.938
168.823 98.500 159.975
169.189 98.502 159.989
169.556 98.501 159.999
169.922 98.499 160.017
170.288 98.498 160.042
170.654 98.498 160.067
171.021 98.499 160.086
171.387 98.501 160.100
171.753 98.504 160.108
172.119 98.508 160.101
172.485 98.512 160.072
172.852 98.514 160.022
173.218 98.511 159.967
173.584 98.505 159.929
173.950 98.500 159.919
174.316 98.497 159.927
174.683 98.500 159.926
175.049 98.504 159.893
175.415 98.506 159.827
175.781 98.502 159.755
176.147 98.494 159.705
176.514 98.487 159.691
176.880 98.484 159.694
177.246 98.486 159.683
177.612 98.490 159.634
177.979 98.490 159.549
178.345 98.484 159.457
178.711 98.472 159.389
179.077 98.461 159.359
179.443 98.452 159.355
179.810 98.449 159.351
180.176 98.449 159.324
180.542 98.450 159.266
180.908 98.448 159.186
181.274 98.441 159.102
181.641 98.432 159.031
182.007 98.422 158.981
182.373 98.414 158.950
182.739 98.408 158.927
183.105 98.406 158.896
183.472 98.405 158.842
183.838 98.403 158.764
184.204 98.396 158.673
184.570 98.384 158.592
184.937 98.370 158.543
185.303 98.356 158.532
185.669 98.346 158.543
186.035 98.342 158.549
186.401 98.340 158.529
186.768 98.337 158.478
187.134 98.330 158.412
187.500 98.319 158.352
187.866 98.307 158.310
188.232 98.294 158.284
188.599 98.283 158.265
188.965 98.273 158.243
189.331 98.263 158.220
189.697 98.253 158.199
190.063 98.244 158.181
190.430 98.237 158.161
190.796 98.232 158.127
191.162 98.225 158.078
191.528 98.217 158.022
191.895 98.207 157.971
192.261 98.195 157.935
192.627 98.186 157.911
192.993 98.178 157.888
193.359 98.171 157.855
193.726 98.164 157.813
194.092 98.154 157.768
194.458 98.144 157.730
194.824 98.133 157.703
195.190 98.123 157.681
