* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Nov 16, 2020 1:42:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDX (R)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 101.829 -117.154
20.508 101.891 -118.187
20.874 101.941 -119.180
21.240 101.981 -120.169
21.606 102.012 -121.169
21.973 102.034 -122.172
22.339 102.048 -123.164
22.705 102.060 -124.139
23.071 102.074 -125.108
23.438 102.090 -126.086
23.804 102.107 -127.080
24.170 102.128 -128.083
24.536 102.146 -129.074
24.902 102.163 -130.029
25.269 102.180 -130.939
25.635 102.201 -131.812
26.001 102.224 -132.659
26.367 102.248 -133.494
26.733 102.270 -134.315
27.100 102.293 -135.112
27.466 102.313 -135.878
27.832 102.330 -136.610
28.198 102.347 -137.317
28.564 102.361 -138.010
28.931 102.374 -138.694
29.297 102.382 -139.366
29.663 102.388 -140.022
30.029 102.393 -140.659
30.396 102.399 -141.283
30.762 102.406 -141.905
31.128 102.414 -142.536
31.494 102.420 -143.178
31.860 102.425 -143.825
32.227 102.427 -144.464
32.593 102.427 -145.087
32.959 102.428 -145.689
33.325 102.431 -146.273
33.691 102.436 -146.847
34.058 102.445 -147.416
34.424 102.455 -147.983
34.790 102.463 -148.546
35.156 102.471 -149.100
35.522 102.477 -149.637
35.889 102.483 -150.159
36.255 102.489 -150.667
36.621 102.494 -151.169
36.987 102.498 -151.669
37.354 102.500 -152.161
37.720 102.500 -152.641
38.086 102.501 -153.103
38.452 102.502 -153.549
38.818 102.504 -153.984
39.185 102.506 -154.417
39.551 102.509 -154.851
39.917 102.510 -155.283
40.283 102.512 -155.713
40.649 102.514 -156.143
41.016 102.516 -156.577
41.382 102.516 -157.015
41.748 102.514 -157.449
42.114 102.510 -157.866
42.480 102.507 -158.263
42.847 102.506 -158.650
43.213 102.507 -159.047
43.579 102.506 -159.464
43.945 102.500 -159.887
44.312 102.488 -160.282
44.678 102.474 -160.619
45.044 102.465 -160.898
45.410 102.466 -161.155
45.776 102.477 -161.448
46.143 102.490 -161.811
46.509 102.498 -162.238
46.875 102.495 -162.682
47.241 102.483 -163.091
47.607 102.469 -163.439
47.974 102.458 -163.745
48.340 102.453 -164.050
48.706 102.452 -164.388
49.072 102.448 -164.758
49.438 102.438 -165.134
49.805 102.424 -165.484
50.171 102.409 -165.793
50.537 102.397 -166.072
50.903 102.390 -166.342
51.270 102.386 -166.622
51.636 102.382 -166.914
52.002 102.378 -167.210
52.368 102.374 -167.508
52.734 102.370 -167.807
53.101 102.366 -168.115
53.467 102.360 -168.430
53.833 102.352 -168.745
54.199 102.341 -169.048
54.565 102.329 -169.331
54.932 102.318 -169.596
55.298 102.309 -169.854
55.664 102.302 -170.114
56.030 102.294 -170.382
56.396 102.286 -170.656
56.763 102.276 -170.929
57.129 102.266 -171.196
57.495 102.255 -171.456
57.861 102.244 -171.707
58.228 102.235 -171.954
58.594 102.226 -172.200
58.960 102.218 -172.451
59.326 102.210 -172.709
59.692 102.200 -172.972
60.059 102.189 -173.233
60.425 102.178 -173.484
60.791 102.166 -173.720
61.157 102.155 -173.945
61.523 102.146 -174.168
61.890 102.138 -174.397
62.256 102.129 -174.633
62.622 102.119 -174.871
62.988 102.108 -175.102
63.354 102.098 -175.324
63.721 102.088 -175.541
64.087 102.079 -175.759
64.453 102.070 -175.983
64.819 102.061 -176.211
65.186 102.050 -176.438
65.552 102.039 -176.657
65.918 102.028 -176.870
66.284 102.018 -177.082
66.650 102.007 -177.295
67.017 101.996 -177.508
67.383 101.985 -177.717
67.749 101.974 -177.919
68.115 101.963 -178.116
68.481 101.953 -178.312
68.848 101.943 -178.510
69.214 101.933 -178.711
69.580 101.923 -178.911
69.946 101.912 -179.108
70.312 101.901 -179.302
70.679 101.890 -179.496
71.045 101.879 -179.694
71.411 101.867 -179.893
71.777 101.854 179.912
72.144 101.841 179.727
72.510 101.828 179.553
72.876 101.816 179.385
73.242 101.806 179.214
73.608 101.797 179.035
73.975 101.788 178.847
74.341 101.777 178.655
74.707 101.765 178.466
75.073 101.752 178.285
75.439 101.738 178.113
75.806 101.726 177.948
76.172 101.715 177.787
76.538 101.705 177.623
76.904 101.695 177.456
77.271 101.685 177.284
77.637 101.674 177.109
78.003 101.661 176.935
78.369 101.648 176.767
78.735 101.634 176.606
79.102 101.621 176.453
79.468 101.609 176.304
79.834 101.599 176.151
80.200 101.589 175.988
80.566 101.578 175.813
80.933 101.565 175.631
81.299 101.549 175.454
81.665 101.532 175.292
82.031 101.515 175.150
82.397 101.500 175.023
82.764 101.488 174.901
83.130 101.479 174.770
83.496 101.471 174.625
83.862 101.462 174.466
84.229 101.451 174.300
84.595 101.438 174.136
84.961 101.425 173.981
85.327 101.410 173.837
85.693 101.397 173.703
86.060 101.385 173.572
86.426 101.374 173.438
86.792 101.362 173.298
87.158 101.350 173.155
87.524 101.337 173.015
87.891 101.323 172.884
88.257 101.310 172.761
88.623 101.298 172.636
88.989 101.288 172.499
89.355 101.276 172.343
89.722 101.262 172.178
90.088 101.243 172.020
90.454 101.222 171.887
90.820 101.201 171.784
91.187 101.184 171.700
91.553 101.171 171.615
91.919 101.161 171.512
92.285 101.151 171.385
92.651 101.139 171.243
93.018 101.124 171.101
93.384 101.107 170.969
93.750 101.091 170.850
94.116 101.075 170.739
94.482 101.059 170.629
94.849 101.044 170.517
95.215 101.028 170.408
95.581 101.012 170.306
95.947 100.996 170.215
96.313 100.982 170.130
96.680 100.971 170.041
97.046 100.960 169.937
97.412 100.948 169.817
97.778 100.933 169.691
98.145 100.914 169.575
98.511 100.895 169.483
98.877 100.877 169.415
99.243 100.863 169.354
99.609 100.853 169.278
99.976 100.844 169.172
100.342 100.831 169.039
100.708 100.814 168.901
101.074 100.793 168.780
101.440 100.770 168.689
101.807 100.749 168.622
102.173 100.732 168.563
102.539 100.716 168.494
102.905 100.701 168.411
103.271 100.685 168.320
103.638 100.667 168.233
104.004 100.647 168.156
104.370 100.628 168.089
104.736 100.609 168.029
105.103 100.590 167.978
105.469 100.572 167.937
105.835 100.555 167.906
106.201 100.540 167.876
106.567 100.526 167.841
106.934 100.512 167.798
107.300 100.497 167.755
107.666 100.481 167.727
108.032 100.465 167.722
108.398 100.453 167.733
108.765 100.444 167.741
109.131 100.438 167.732
109.497 100.430 167.704
109.863 100.420 167.678
110.229 100.408 167.674
110.596 100.399 167.697
110.962 100.396 167.729
111.328 100.399 167.738
111.694 100.403 167.705
112.061 100.405 167.635
112.427 100.402 167.556
112.793 100.395 167.496
113.159 100.390 167.459
113.525 100.388 167.426
113.892 100.389 167.370
114.258 100.389 167.284
114.624 100.384 167.184
114.990 100.376 167.097
115.356 100.367 167.037
115.723 100.361 166.997
116.089 100.359 166.948
116.455 100.359 166.872
116.821 100.357 166.770
117.188 100.351 166.662
117.554 100.343 166.566
117.920 100.335 166.485
118.286 100.329 166.405
118.652 100.323 166.313
119.019 100.316 166.211
119.385 100.305 166.115
119.751 100.293 166.040
120.117 100.284 165.986
120.483 100.278 165.929
120.850 100.274 165.846
121.216 100.268 165.732
121.582 100.257 165.606
121.948 100.239 165.504
122.314 100.220 165.449
122.681 100.204 165.434
123.047 100.195 165.431
123.413 100.191 165.406
123.779 100.187 165.347
124.146 100.181 165.266
124.512 100.170 165.189
124.878 100.158 165.133
125.244 100.146 165.100
125.610 100.138 165.075
125.977 100.132 165.040
126.343 100.127 164.989
126.709 100.121 164.926
127.075 100.114 164.859
127.441 100.106 164.794
127.808 100.097 164.734
128.174 100.089 164.675
128.540 100.081 164.615
128.906 100.072 164.555
129.272 100.064 164.498
129.639 100.056 164.444
130.005 100.049 164.393
130.371 100.043 164.339
130.737 100.037 164.281
131.104 100.032 164.216
131.470 100.027 164.145
131.836 100.022 164.069
132.202 100.015 163.990
132.568 100.008 163.912
132.935 100.000 163.837
133.301 99.992 163.766
133.667 99.985 163.698
134.033 99.978 163.630
134.399 99.971 163.556
134.766 99.963 163.477
135.132 99.954 163.396
135.498 99.943 163.321
135.864 99.933 163.257
136.230 99.923 163.204
136.597 99.915 163.153
136.963 99.909 163.093
137.329 99.903 163.015
137.695 99.896 162.918
138.062 99.887 162.813
138.428 99.874 162.713
138.794 99.859 162.632
139.160 99.846 162.569
139.526 99.835 162.513
139.893 99.826 162.449
140.259 99.818 162.366
140.625 99.807 162.269
140.991 99.793 162.176
141.357 99.777 162.106
141.724 99.763 162.064
142.090 99.753 162.036
142.456 99.748 161.993
142.822 99.744 161.916
143.188 99.737 161.810
143.555 99.725 161.700
143.921 99.708 161.617
144.287 99.691 161.574
144.653 99.679 161.551
145.020 99.673 161.517
145.386 99.668 161.448
145.752 99.659 161.348
146.118 99.645 161.246
146.484 99.626 161.171
146.851 99.608 161.132
147.217 99.593 161.111
147.583 99.583 161.082
147.949 99.573 161.034
148.315 99.561 160.975
148.682 99.548 160.923
149.048 99.535 160.884
149.414 99.524 160.849
149.780 99.516 160.799
150.146 99.507 160.728
150.513 99.495 160.647
150.879 99.480 160.580
151.245 99.464 160.537
151.611 99.452 160.510
151.978 99.442 160.477
152.344 99.434 160.423
152.710 99.424 160.355
153.076 99.410 160.292
153.442 99.395 160.251
153.809 99.381 160.229
154.175 99.371 160.209
154.541 99.362 160.174
154.907 99.351 160.125
155.273 99.338 160.079
155.640 99.323 160.053
156.006 99.310 160.048
156.372 99.301 160.045
156.738 99.295 160.022
157.104 99.289 159.970
157.471 99.279 159.899
157.837 99.264 159.832
158.203 99.248 159.786
158.569 99.233 159.759
158.936 99.219 159.742
159.302 99.208 159.720
159.668 99.197 159.691
160.034 99.186 159.659
160.400 99.175 159.628
160.767 99.165 159.596
161.133 99.155 159.557
161.499 99.145 159.510
161.865 99.133 159.463
162.231 99.120 159.424
162.598 99.107 159.400
162.964 99.095 159.387
163.330 99.086 159.373
163.696 99.078 159.350
164.062 99.069 159.320
164.429 99.060 159.290
164.795 99.050 159.266
165.161 99.041 159.246
165.527 99.034 159.218
165.894 99.027 159.176
166.260 99.017 159.124
166.626 99.004 159.076
166.992 98.989 159.049
167.358 98.976 159.044
167.725 98.966 159.048
168.091 98.959 159.041
168.457 98.954 159.011
168.823 98.946 158.963
169.189 98.935 158.912
169.556 98.923 158.874
169.922 98.911 158.853
170.288 98.902 158.839
170.654 98.895 158.818
171.021 98.889 158.782
171.387 98.881 158.736
171.753 98.871 158.691
172.119 98.861 158.654
172.485 98.850 158.627
172.852 98.841 158.603
173.218 98.833 158.575
173.584 98.825 158.541
173.950 98.817 158.504
174.316 98.807 158.468
174.683 98.798 158.435
175.049 98.788 158.405
175.415 98.778 158.376
175.781 98.768 158.348
176.147 98.758 158.321
176.514 98.749 158.296
176.880 98.739 158.271
177.246 98.729 158.247
177.612 98.720 158.223
177.979 98.711 158.199
178.345 98.701 158.175
178.711 98.693 158.151
179.077 98.684 158.124
179.443 98.676 158.093
179.810 98.667 158.059
180.176 98.657 158.024
180.542 98.647 157.990
180.908 98.637 157.961
181.274 98.626 157.937
181.641 98.616 157.917
182.007 98.607 157.898
182.373 98.598 157.878
182.739 98.590 157.853
183.105 98.582 157.823
183.472 98.573 157.791
183.838 98.563 157.759
184.204 98.553 157.732
184.570 98.543 157.710
184.937 98.533 157.691
185.303 98.525 157.669
185.669 98.516 157.642
186.035 98.507 157.609
186.401 98.497 157.578
186.768 98.486 157.552
187.134 98.475 157.534
187.500 98.465 157.520
187.866 98.456 157.503
188.232 98.447 157.481
188.599 98.438 157.454
188.965 98.428 157.427
189.331 98.417 157.404
189.697 98.407 157.388
190.063 98.397 157.374
190.430 98.388 157.360
190.796 98.379 157.343
191.162 98.371 157.324
191.528 98.362 157.305
191.895 98.354 157.287
192.261 98.346 157.269
192.627 98.337 157.249
192.993 98.329 157.229
193.359 98.320 157.210
193.726 98.310 157.195
194.092 98.302 157.182
194.458 98.293 157.170
194.824 98.285 157.155
