* Measurement data measured by REW V5.19
* Source: default [default], no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Nov 16, 2020 2:06:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDX (R)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 101.787 -124.438
20.508 101.835 -125.415
20.874 101.868 -126.312
21.240 101.892 -127.163
21.606 101.912 -127.997
21.973 101.929 -128.835
22.339 101.944 -129.688
22.705 101.959 -130.562
23.071 101.972 -131.462
23.438 101.984 -132.382
23.804 101.992 -133.305
24.170 102.004 -134.207
24.536 102.014 -135.067
24.902 102.028 -135.878
25.269 102.048 -136.654
25.635 102.074 -137.417
26.001 102.104 -138.187
26.367 102.132 -138.969
26.733 102.155 -139.751
27.100 102.175 -140.512
27.466 102.190 -141.233
27.832 102.200 -141.907
28.198 102.210 -142.540
28.564 102.219 -143.145
28.931 102.228 -143.741
29.297 102.237 -144.336
29.663 102.242 -144.932
30.029 102.245 -145.521
30.396 102.248 -146.098
30.762 102.251 -146.665
31.128 102.255 -147.231
31.494 102.260 -147.808
31.860 102.263 -148.394
32.227 102.264 -148.980
32.593 102.262 -149.551
32.959 102.260 -150.095
33.325 102.261 -150.619
33.691 102.263 -151.132
34.058 102.269 -151.644
34.424 102.273 -152.148
34.790 102.276 -152.630
35.156 102.279 -153.078
35.522 102.284 -153.501
35.889 102.294 -153.921
36.255 102.306 -154.362
36.621 102.314 -154.827
36.987 102.317 -155.299
37.354 102.315 -155.750
37.720 102.310 -156.163
38.086 102.311 -156.548
38.452 102.315 -156.929
38.818 102.323 -157.326
39.185 102.330 -157.747
39.551 102.335 -158.182
39.917 102.337 -158.620
40.283 102.338 -159.052
40.649 102.336 -159.476
41.016 102.334 -159.885
41.382 102.331 -160.274
41.748 102.330 -160.639
42.114 102.332 -160.992
42.480 102.336 -161.351
42.847 102.340 -161.727
43.213 102.339 -162.107
43.579 102.333 -162.454
43.945 102.325 -162.738
44.312 102.326 -162.966
44.678 102.338 -163.191
45.044 102.361 -163.484
45.410 102.382 -163.884
45.776 102.391 -164.368
46.143 102.380 -164.862
46.509 102.354 -165.283
46.875 102.325 -165.591
47.241 102.303 -165.808
47.607 102.294 -166.005
47.974 102.294 -166.247
48.340 102.296 -166.560
48.706 102.292 -166.925
49.072 102.280 -167.296
49.438 102.263 -167.637
49.805 102.246 -167.935
50.171 102.232 -168.205
50.537 102.224 -168.469
50.903 102.219 -168.743
51.270 102.215 -169.032
51.636 102.211 -169.330
52.002 102.206 -169.627
52.368 102.200 -169.917
52.734 102.195 -170.201
53.101 102.190 -170.484
53.467 102.186 -170.769
53.833 102.180 -171.057
54.199 102.173 -171.338
54.565 102.164 -171.607
54.932 102.155 -171.861
55.298 102.148 -172.111
55.664 102.140 -172.370
56.030 102.131 -172.645
56.396 102.117 -172.923
56.763 102.098 -173.179
57.129 102.076 -173.391
57.495 102.058 -173.552
57.861 102.048 -173.688
58.228 102.046 -173.840
58.594 102.050 -174.044
58.960 102.054 -174.310
59.326 102.051 -174.619
59.692 102.039 -174.933
60.059 102.022 -175.217
60.425 102.003 -175.456
60.791 101.988 -175.663
61.157 101.977 -175.862
61.523 101.970 -176.075
61.890 101.962 -176.305
62.256 101.951 -176.542
62.622 101.938 -176.768
62.988 101.924 -176.971
63.354 101.912 -177.152
63.721 101.903 -177.326
64.087 101.896 -177.507
64.453 101.891 -177.704
64.819 101.885 -177.913
65.186 101.877 -178.128
65.552 101.867 -178.342
65.918 101.856 -178.551
66.284 101.844 -178.753
66.650 101.831 -178.948
67.017 101.818 -179.133
67.383 101.806 -179.312
67.749 101.796 -179.488
68.115 101.787 -179.670
68.481 101.777 -179.860
68.848 101.766 179.945
69.214 101.753 179.754
69.580 101.740 179.572
69.946 101.727 179.400
70.312 101.716 179.230
70.679 101.704 179.055
71.045 101.692 178.877
71.411 101.679 178.705
71.777 101.666 178.546
72.144 101.655 178.399
72.510 101.647 178.249
72.876 101.640 178.083
73.242 101.634 177.897
73.608 101.624 177.701
73.975 101.611 177.515
74.341 101.597 177.350
74.707 101.586 177.201
75.073 101.577 177.052
75.439 101.569 176.888
75.806 101.560 176.711
76.172 101.549 176.538
76.538 101.536 176.386
76.904 101.524 176.256
77.271 101.516 176.131
77.637 101.510 175.991
78.003 101.503 175.832
78.369 101.492 175.668
78.735 101.479 175.523
79.102 101.467 175.406
79.468 101.459 175.301
79.834 101.455 175.178
80.200 101.452 175.015
80.566 101.444 174.821
80.933 101.430 174.626
81.299 101.410 174.466
81.665 101.391 174.350
82.031 101.377 174.259
82.397 101.369 174.158
82.764 101.364 174.023
83.130 101.356 173.858
83.496 101.343 173.685
83.862 101.328 173.528
84.229 101.312 173.396
84.595 101.299 173.277
84.961 101.289 173.153
85.327 101.280 173.015
85.693 101.269 172.866
86.060 101.258 172.717
86.426 101.245 172.573
86.792 101.233 172.435
87.158 101.221 172.297
87.524 101.209 172.157
87.891 101.195 172.020
88.257 101.181 171.896
88.623 101.167 171.787
88.989 101.155 171.689
89.355 101.145 171.592
89.722 101.137 171.482
90.088 101.130 171.355
90.454 101.120 171.216
90.820 101.107 171.076
91.187 101.092 170.946
91.553 101.077 170.831
91.919 101.062 170.730
92.285 101.049 170.632
92.651 101.038 170.530
93.018 101.026 170.421
93.384 101.013 170.309
93.750 101.000 170.201
94.116 100.987 170.098
94.482 100.975 169.998
94.849 100.965 169.895
95.215 100.955 169.784
95.581 100.945 169.663
95.947 100.934 169.535
96.313 100.922 169.407
96.680 100.909 169.283
97.046 100.895 169.167
97.412 100.882 169.061
97.778 100.870 168.961
98.145 100.860 168.859
98.511 100.852 168.744
98.877 100.842 168.612
99.243 100.830 168.469
99.609 100.813 168.333
99.976 100.794 168.222
100.342 100.774 168.147
100.708 100.759 168.097
101.074 100.749 168.049
101.440 100.742 167.981
101.807 100.735 167.886
102.173 100.726 167.774
102.539 100.713 167.663
102.905 100.699 167.565
103.271 100.686 167.480
103.638 100.674 167.396
104.004 100.662 167.305
104.370 100.650 167.210
104.736 100.636 167.116
105.103 100.622 167.031
105.469 100.608 166.954
105.835 100.596 166.878
106.201 100.584 166.798
106.567 100.572 166.714
106.934 100.560 166.628
107.300 100.549 166.544
107.666 100.538 166.463
108.032 100.527 166.379
108.398 100.517 166.291
108.765 100.507 166.198
109.131 100.496 166.105
109.497 100.484 166.013
109.863 100.472 165.924
110.229 100.460 165.839
110.596 100.449 165.756
110.962 100.438 165.675
111.328 100.427 165.592
111.694 100.418 165.502
112.061 100.407 165.405
112.427 100.395 165.302
112.793 100.381 165.203
113.159 100.365 165.120
113.525 100.350 165.055
113.892 100.337 165.001
114.258 100.327 164.942
114.624 100.318 164.865
114.990 100.308 164.770
115.356 100.295 164.668
115.723 100.279 164.576
116.089 100.262 164.505
116.455 100.246 164.453
116.821 100.232 164.412
117.188 100.221 164.367
117.554 100.212 164.310
117.920 100.202 164.240
118.286 100.191 164.162
118.652 100.179 164.081
119.019 100.166 164.004
119.385 100.153 163.933
119.751 100.139 163.867
120.117 100.126 163.801
120.483 100.113 163.733
120.850 100.100 163.661
121.216 100.086 163.587
121.582 100.071 163.516
121.948 100.056 163.450
122.314 100.040 163.391
122.681 100.026 163.335
123.047 100.012 163.281
123.413 99.999 163.228
123.779 99.986 163.177
124.146 99.974 163.125
124.512 99.963 163.067
124.878 99.953 162.998
125.244 99.941 162.919
125.610 99.926 162.839
125.977 99.908 162.773
126.343 99.890 162.732
126.709 99.874 162.715
127.075 99.862 162.706
127.441 99.853 162.685
127.808 99.845 162.640
128.174 99.835 162.577
128.540 99.822 162.511
128.906 99.806 162.460
129.272 99.790 162.430
129.639 99.776 162.411
130.005 99.764 162.388
130.371 99.754 162.350
130.737 99.742 162.296
131.104 99.727 162.237
131.470 99.711 162.187
131.836 99.695 162.148
132.202 99.680 162.113
132.568 99.667 162.073
132.935 99.653 162.022
133.301 99.638 161.970
133.667 99.621 161.928
134.033 99.605 161.906
134.399 99.594 161.895
134.766 99.587 161.871
135.132 99.583 161.811
135.498 99.577 161.709
135.864 99.563 161.588
136.230 99.542 161.490
136.597 99.517 161.451
136.963 99.496 161.475
137.329 99.484 161.532
137.695 99.481 161.573
138.062 99.483 161.563
138.428 99.482 161.505
138.794 99.475 161.431
139.160 99.463 161.378
139.526 99.451 161.359
139.893 99.442 161.351
140.259 99.436 161.323
140.625 99.428 161.263
140.991 99.413 161.196
141.357 99.392 161.163
141.724 99.370 161.192
142.090 99.356 161.267
142.456 99.353 161.337
142.822 99.357 161.350
143.188 99.360 161.287
143.555 99.355 161.179
143.921 99.341 161.076
144.287 99.322 161.015
144.653 99.305 160.996
145.020 99.294 160.990
145.386 99.285 160.969
145.752 99.277 160.926
146.118 99.267 160.876
146.484 99.256 160.835
146.851 99.246 160.806
147.217 99.237 160.776
147.583 99.230 160.734
147.949 99.221 160.681
148.315 99.209 160.632
148.682 99.195 160.603
149.048 99.183 160.592
149.414 99.174 160.586
149.780 99.167 160.566
150.146 99.159 160.530
150.513 99.149 160.485
150.879 99.137 160.444
151.245 99.124 160.411
151.611 99.110 160.384
151.978 99.096 160.359
152.344 99.082 160.345
152.710 99.069 160.346
153.076 99.059 160.353
153.442 99.055 160.343
153.809 99.052 160.290
154.175 99.045 160.193
154.541 99.030 160.088
154.907 99.009 160.023
155.273 98.990 160.023
155.640 98.980 160.059
156.006 98.982 160.062
156.372 98.989 159.974
156.738 98.987 159.795
157.104 98.967 159.598
157.471 98.931 159.480
157.837 98.891 159.505
158.203 98.865 159.648
158.569 98.861 159.816
158.936 98.873 159.908
159.302 98.887 159.880
159.668 98.892 159.767
160.034 98.882 159.648
160.400 98.863 159.585
160.767 98.844 159.594
161.133 98.832 159.643
161.499 98.827 159.684
161.865 98.825 159.693
162.231 98.823 159.669
162.598 98.818 159.630
162.964 98.810 159.589
163.330 98.800 159.550
163.696 98.789 159.515
164.062 98.776 159.491
164.429 98.764 159.482
164.795 98.754 159.483
165.161 98.748 159.479
165.527 98.743 159.451
165.894 98.737 159.395
166.260 98.727 159.330
166.626 98.712 159.281
166.992 98.697 159.266
167.358 98.684 159.280
167.725 98.678 159.297
168.091 98.675 159.292
168.457 98.672 159.257
168.823 98.666 159.205
169.189 98.657 159.155
169.556 98.646 159.120
169.922 98.637 159.101
170.288 98.629 159.086
170.654 98.622 159.065
171.021 98.616 159.037
171.387 98.609 159.003
171.753 98.601 158.969
172.119 98.592 158.938
172.485 98.583 158.909
172.852 98.574 158.883
173.218 98.566 158.859
173.584 98.557 158.834
173.950 98.549 158.808
174.316 98.541 158.778
174.683 98.532 158.749
175.049 98.523 158.723
175.415 98.514 158.701
175.781 98.506 158.681
176.147 98.499 158.658
176.514 98.492 158.629
176.880 98.485 158.595
177.246 98.477 158.561
177.612 98.468 158.530
177.979 98.460 158.503
178.345 98.452 158.475
178.711 98.444 158.444
179.077 98.436 158.411
179.443 98.427 158.380
179.810 98.417 158.351
180.176 98.408 158.324
180.542 98.399 158.294
180.908 98.389 158.264
181.274 98.377 158.239
181.641 98.366 158.224
182.007 98.355 158.222
182.373 98.347 158.222
182.739 98.341 158.212
183.105 98.336 158.183
183.472 98.328 158.138
183.838 98.318 158.093
184.204 98.305 158.062
184.570 98.293 158.049
184.937 98.283 158.047
185.303 98.276 158.042
185.669 98.270 158.021
186.035 98.263 157.985
186.401 98.254 157.943
186.768 98.244 157.905
187.134 98.232 157.879
187.500 98.221 157.864
187.866 98.211 157.853
188.232 98.203 157.840
188.599 98.195 157.821
188.965 98.186 157.799
189.331 98.176 157.779
189.697 98.167 157.763
190.063 98.159 157.750
190.430 98.152 157.734
190.796 98.145 157.708
191.162 98.138 157.670
191.528 98.129 157.625
191.895 98.118 157.585
192.261 98.105 157.560
192.627 98.093 157.552
192.993 98.082 157.554
193.359 98.074 157.555
193.726 98.068 157.546
194.092 98.061 157.523
194.458 98.053 157.492
194.824 98.044 157.462
195.190 98.033 157.438
