* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS  With no timing reference
* Dated: Sep 24, 2020 2:02:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TRN V90 (L)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 103.475 -121.004
20.508 103.552 -121.939
20.874 103.631 -122.912
21.240 103.701 -124.010
21.606 103.751 -125.235
21.973 103.771 -126.500
22.339 103.763 -127.682
22.705 103.746 -128.703
23.071 103.740 -129.579
23.438 103.758 -130.411
23.804 103.794 -131.311
24.170 103.842 -132.327
24.536 103.881 -133.418
24.902 103.906 -134.501
25.269 103.925 -135.511
25.635 103.944 -136.439
26.001 103.968 -137.322
26.367 103.996 -138.199
26.733 104.021 -139.078
27.100 104.044 -139.939
27.466 104.060 -140.755
27.832 104.075 -141.522
28.198 104.089 -142.259
28.564 104.102 -142.990
28.931 104.111 -143.720
29.297 104.115 -144.437
29.663 104.115 -145.125
30.029 104.114 -145.782
30.396 104.117 -146.422
30.762 104.122 -147.065
31.128 104.128 -147.723
31.494 104.134 -148.396
31.860 104.139 -149.081
32.227 104.143 -149.776
32.593 104.146 -150.481
32.959 104.145 -151.189
33.325 104.141 -151.886
33.691 104.133 -152.551
34.058 104.129 -153.174
34.424 104.127 -153.762
34.790 104.130 -154.336
35.156 104.135 -154.913
35.522 104.138 -155.496
35.889 104.139 -156.070
36.255 104.139 -156.622
36.621 104.138 -157.150
36.987 104.139 -157.666
37.354 104.140 -158.188
37.720 104.140 -158.719
38.086 104.139 -159.252
38.452 104.134 -159.771
38.818 104.126 -160.267
39.185 104.118 -160.742
39.551 104.110 -161.200
39.917 104.103 -161.644
40.283 104.096 -162.073
40.649 104.092 -162.496
41.016 104.091 -162.931
41.382 104.090 -163.393
41.748 104.085 -163.880
42.114 104.073 -164.362
42.480 104.056 -164.804
42.847 104.041 -165.194
43.213 104.034 -165.566
43.579 104.033 -165.977
43.945 104.030 -166.460
44.312 104.013 -166.985
44.678 103.980 -167.463
45.044 103.939 -167.810
45.410 103.907 -168.010
45.776 103.899 -168.145
46.143 103.916 -168.349
46.509 103.942 -168.714
46.875 103.959 -169.232
47.241 103.954 -169.804
47.607 103.930 -170.315
47.974 103.899 -170.707
48.340 103.877 -171.008
48.706 103.869 -171.301
49.072 103.869 -171.653
49.438 103.867 -172.070
49.805 103.855 -172.508
50.171 103.836 -172.917
50.537 103.815 -173.273
50.903 103.797 -173.594
51.270 103.783 -173.911
51.636 103.770 -174.239
52.002 103.755 -174.571
52.368 103.737 -174.892
52.734 103.719 -175.193
53.101 103.702 -175.481
53.467 103.685 -175.768
53.833 103.670 -176.061
54.199 103.653 -176.354
54.565 103.634 -176.638
54.932 103.615 -176.907
55.298 103.597 -177.163
55.664 103.582 -177.418
56.030 103.570 -177.683
56.396 103.558 -177.969
56.763 103.547 -178.279
57.129 103.532 -178.610
57.495 103.512 -178.945
57.861 103.488 -179.262
58.228 103.461 -179.541
58.594 103.437 -179.776
58.960 103.418 -179.986
59.326 103.407 179.799
59.692 103.399 179.553
60.059 103.391 179.270
60.425 103.379 178.964
60.791 103.362 178.663
61.157 103.341 178.387
61.523 103.319 178.142
61.890 103.299 177.919
62.256 103.281 177.707
62.622 103.265 177.497
62.988 103.249 177.289
63.354 103.235 177.082
63.721 103.221 176.873
64.087 103.209 176.653
64.453 103.197 176.416
64.819 103.182 176.165
65.186 103.165 175.910
65.552 103.145 175.662
65.918 103.123 175.432
66.284 103.101 175.219
66.650 103.081 175.018
67.017 103.063 174.818
67.383 103.046 174.614
67.749 103.029 174.404
68.115 103.012 174.195
68.481 102.994 173.993
68.848 102.977 173.798
69.214 102.962 173.609
69.580 102.948 173.418
69.946 102.935 173.215
70.312 102.921 172.998
70.679 102.905 172.768
71.045 102.886 172.538
71.411 102.864 172.322
71.777 102.839 172.128
72.144 102.816 171.961
72.510 102.794 171.811
72.876 102.776 171.668
73.242 102.760 171.517
73.608 102.746 171.352
73.975 102.731 171.172
74.341 102.715 170.982
74.707 102.697 170.790
75.073 102.678 170.601
75.439 102.658 170.417
75.806 102.638 170.238
76.172 102.618 170.065
76.538 102.598 169.899
76.904 102.578 169.740
77.271 102.560 169.585
77.637 102.542 169.430
78.003 102.526 169.269
78.369 102.509 169.100
78.735 102.491 168.926
79.102 102.471 168.755
79.468 102.451 168.591
79.834 102.431 168.438
80.200 102.411 168.290
80.566 102.393 168.142
80.933 102.375 167.992
81.299 102.356 167.842
81.665 102.338 167.696
82.031 102.320 167.556
82.397 102.304 167.416
82.764 102.289 167.266
83.130 102.273 167.101
83.496 102.255 166.926
83.862 102.233 166.759
84.229 102.209 166.615
84.595 102.186 166.501
84.961 102.167 166.404
85.327 102.152 166.302
85.693 102.139 166.178
86.060 102.124 166.031
86.426 102.106 165.878
86.792 102.085 165.739
87.158 102.063 165.622
87.524 102.043 165.520
87.891 102.026 165.416
88.257 102.009 165.298
88.623 101.992 165.166
88.989 101.973 165.031
89.355 101.953 164.901
89.722 101.933 164.771
90.088 101.913 164.633
90.454 101.891 164.483
90.820 101.866 164.334
91.187 101.836 164.210
91.553 101.808 164.129
91.919 101.785 164.081
92.285 101.770 164.031
92.651 101.761 163.941
93.018 101.753 163.797
93.384 101.739 163.615
93.750 101.717 163.437
94.116 101.691 163.293
94.482 101.666 163.189
94.849 101.645 163.102
95.215 101.627 163.008
95.581 101.609 162.899
95.947 101.588 162.788
96.313 101.565 162.693
96.680 101.543 162.620
97.046 101.522 162.557
97.412 101.503 162.487
97.778 101.483 162.407
98.145 101.460 162.332
98.511 101.434 162.280
98.877 101.411 162.255
99.243 101.393 162.237
99.609 101.379 162.192
99.976 101.366 162.101
100.342 101.346 161.975
100.708 101.318 161.849
101.074 101.283 161.762
101.440 101.248 161.731
101.807 101.217 161.745
102.173 101.194 161.773
102.539 101.176 161.786
102.905 101.161 161.772
103.271 101.145 161.733
103.638 101.127 161.685
104.004 101.107 161.640
104.370 101.085 161.607
104.736 101.063 161.592
105.103 101.042 161.596
105.469 101.023 161.619
105.835 101.006 161.657
106.201 100.992 161.705
106.567 100.982 161.755
106.934 100.975 161.803
107.300 100.971 161.841
107.666 100.971 161.865
108.032 100.971 161.870
108.398 100.972 161.857
108.765 100.972 161.830
109.131 100.971 161.795
109.497 100.970 161.755
109.863 100.969 161.710
110.229 100.968 161.658
110.596 100.967 161.599
110.962 100.964 161.536
111.328 100.962 161.473
111.694 100.961 161.409
112.061 100.961 161.335
112.427 100.961 161.243
112.793 100.960 161.131
113.159 100.956 161.007
113.525 100.949 160.886
113.892 100.939 160.777
114.258 100.930 160.680
114.624 100.922 160.586
114.990 100.914 160.485
115.356 100.905 160.378
115.723 100.895 160.268
116.089 100.884 160.160
116.455 100.872 160.055
116.821 100.860 159.950
117.188 100.848 159.844
117.554 100.835 159.744
117.920 100.823 159.651
118.286 100.813 159.555
118.652 100.805 159.441
119.019 100.796 159.299
119.385 100.782 159.144
119.751 100.761 159.011
120.117 100.739 158.933
120.483 100.722 158.907
120.850 100.717 158.888
121.216 100.721 158.810
121.582 100.725 158.637
121.948 100.717 158.392
122.314 100.692 158.149
122.681 100.654 157.987
123.047 100.614 157.943
123.413 100.583 157.989
123.779 100.566 158.057
124.146 100.559 158.087
124.512 100.554 158.062
124.878 100.545 158.006
125.244 100.533 157.950
125.610 100.519 157.906
125.977 100.508 157.862
126.343 100.497 157.799
126.709 100.484 157.712
127.075 100.466 157.620
127.441 100.443 157.548
127.808 100.420 157.509
128.174 100.401 157.495
128.540 100.386 157.482
128.906 100.375 157.449
129.272 100.364 157.387
129.639 100.352 157.304
130.005 100.336 157.215
130.371 100.317 157.136
130.737 100.298 157.078
131.104 100.280 157.037
131.470 100.266 157.002
131.836 100.254 156.957
132.202 100.242 156.894
132.568 100.228 156.819
132.935 100.212 156.747
133.301 100.194 156.694
133.667 100.178 156.657
134.033 100.165 156.620
134.399 100.153 156.566
134.766 100.139 156.492
135.132 100.120 156.420
135.498 100.099 156.375
135.864 100.080 156.369
136.230 100.068 156.378
136.597 100.062 156.359
136.963 100.058 156.282
137.329 100.049 156.153
137.695 100.029 156.014
138.062 100.001 155.920
138.428 99.971 155.898
138.794 99.948 155.930
139.160 99.935 155.969
139.526 99.929 155.973
139.893 99.923 155.926
140.259 99.913 155.850
140.625 99.896 155.779
140.991 99.877 155.736
141.357 99.859 155.723
141.724 99.844 155.723
142.090 99.831 155.716
142.456 99.820 155.694
142.822 99.807 155.662
143.188 99.791 155.632
143.555 99.775 155.613
143.921 99.759 155.608
144.287 99.745 155.610
144.653 99.734 155.608
145.020 99.725 155.588
145.386 99.716 155.543
145.752 99.704 155.474
146.118 99.689 155.395
146.484 99.670 155.322
146.851 99.649 155.270
147.217 99.628 155.242
147.583 99.609 155.229
147.949 99.594 155.215
148.315 99.580 155.189
148.682 99.567 155.151
149.048 99.552 155.108
149.414 99.536 155.071
149.780 99.521 155.043
150.146 99.507 155.019
150.513 99.494 154.992
150.879 99.482 154.956
151.245 99.468 154.918
151.611 99.453 154.888
151.978 99.437 154.873
152.344 99.424 154.870
152.710 99.415 154.864
153.076 99.406 154.840
153.442 99.397 154.793
153.809 99.383 154.738
154.175 99.366 154.699
154.541 99.349 154.691
154.907 99.335 154.707
155.273 99.326 154.720
155.640 99.321 154.703
156.006 99.314 154.647
156.372 99.301 154.575
156.738 99.284 154.522
157.104 99.265 154.508
157.471 99.252 154.522
157.837 99.245 154.523
158.203 99.241 154.476
158.569 99.233 154.375
158.936 99.215 154.259
159.302 99.187 154.182
159.668 99.157 154.178
160.034 99.132 154.240
160.400 99.118 154.324
160.767 99.112 154.377
161.133 99.110 154.373
161.499 99.104 154.324
161.865 99.091 154.263
162.231 99.074 154.223
162.598 99.056 154.214
162.964 99.041 154.224
163.330 99.030 154.232
163.696 99.020 154.223
164.062 99.010 154.196
164.429 98.998 154.161
164.795 98.985 154.127
165.161 98.970 154.101
165.527 98.955 154.083
165.894 98.941 154.070
166.260 98.928 154.056
166.626 98.916 154.036
166.992 98.903 154.011
167.358 98.890 153.985
167.725 98.875 153.962
168.091 98.860 153.947
168.457 98.846 153.941
168.823 98.833 153.938
169.189 98.821 153.934
169.556 98.810 153.923
169.922 98.799 153.906
170.288 98.788 153.883
170.654 98.776 153.860
171.021 98.763 153.839
171.387 98.749 153.824
171.753 98.735 153.815
172.119 98.721 153.812
172.485 98.708 153.815
172.852 98.696 153.819
173.218 98.685 153.821
173.584 98.675 153.818
173.950 98.664 153.809
174.316 98.654 153.795
174.683 98.642 153.778
175.049 98.630 153.760
175.415 98.617 153.745
175.781 98.603 153.734
176.147 98.590 153.730
176.514 98.577 153.734
176.880 98.565 153.740
177.246 98.555 153.742
177.612 98.545 153.735
177.979 98.535 153.716
178.345 98.523 153.692
178.711 98.509 153.672
179.077 98.494 153.661
179.443 98.480 153.661
179.810 98.466 153.668
180.176 98.454 153.676
180.542 98.442 153.683
180.908 98.431 153.685
181.274 98.421 153.681
181.641 98.409 153.671
182.007 98.397 153.657
182.373 98.384 153.645
182.739 98.369 153.642
183.105 98.355 153.651
183.472 98.343 153.667
183.838 98.334 153.681
184.204 98.325 153.679
184.570 98.316 153.660
184.937 98.305 153.631
185.303 98.291 153.609
185.669 98.276 153.602
186.035 98.261 153.613
186.401 98.249 153.630
186.768 98.239 153.641
187.134 98.229 153.641
187.500 98.218 153.635
187.866 98.207 153.631
188.232 98.194 153.635
188.599 98.183 153.643
188.965 98.172 153.650
189.331 98.162 153.652
189.697 98.151 153.651
190.063 98.139 153.650
190.430 98.127 153.654
190.796 98.115 153.662
191.162 98.104 153.673
191.528 98.093 153.686
191.895 98.083 153.699
192.261 98.073 153.712
192.627 98.065 153.719
192.993 98.056 153.714
193.359 98.046 153.699
193.726 98.034 153.681
194.092 98.019 153.675
194.458 98.003 153.690
194.824 97.990 153.723
195.190 97.980 153.758
195.557 97.973 153.778
195.923 97.965 153.776
