* Measurement data measured by REW V5.19
* Source: default [default], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS  With no timing reference
* Dated: Sep 24, 2020 1:59:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TRN V90  (R)
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 103.652 -118.518
20.508 103.710 -119.614
20.874 103.760 -120.618
21.240 103.806 -121.601
21.606 103.848 -122.619
21.973 103.880 -123.677
22.339 103.902 -124.746
22.705 103.916 -125.790
23.071 103.931 -126.799
23.438 103.950 -127.789
23.804 103.976 -128.792
24.170 104.012 -129.828
24.536 104.046 -130.892
24.902 104.077 -131.966
25.269 104.102 -133.025
25.635 104.121 -134.048
26.001 104.135 -135.011
26.367 104.145 -135.894
26.733 104.158 -136.688
27.100 104.181 -137.410
27.466 104.213 -138.102
27.832 104.253 -138.818
28.198 104.293 -139.593
28.564 104.325 -140.424
28.931 104.344 -141.272
29.297 104.349 -142.087
29.663 104.346 -142.837
30.029 104.341 -143.517
30.396 104.343 -144.152
30.762 104.350 -144.780
31.128 104.363 -145.433
31.494 104.376 -146.127
31.860 104.386 -146.862
32.227 104.390 -147.615
32.593 104.387 -148.356
32.959 104.380 -149.058
33.325 104.373 -149.711
33.691 104.370 -150.323
34.058 104.376 -150.921
34.424 104.386 -151.526
34.790 104.397 -152.142
35.156 104.406 -152.761
35.522 104.413 -153.369
35.889 104.420 -153.964
36.255 104.426 -154.552
36.621 104.429 -155.138
36.987 104.429 -155.714
37.354 104.423 -156.260
37.720 104.416 -156.761
38.086 104.415 -157.227
38.452 104.419 -157.690
38.818 104.424 -158.183
39.185 104.426 -158.716
39.551 104.417 -159.257
39.917 104.399 -159.756
40.283 104.379 -160.173
40.649 104.366 -160.517
41.016 104.366 -160.845
41.382 104.379 -161.231
41.748 104.394 -161.716
42.114 104.400 -162.282
42.480 104.392 -162.863
42.847 104.374 -163.396
43.213 104.356 -163.858
43.579 104.347 -164.291
43.945 104.344 -164.760
44.312 104.340 -165.304
44.678 104.321 -165.889
45.044 104.285 -166.426
45.410 104.240 -166.827
45.776 104.202 -167.068
46.143 104.186 -167.217
46.509 104.196 -167.396
46.875 104.220 -167.702
47.241 104.240 -168.148
47.607 104.244 -168.667
47.974 104.229 -169.160
48.340 104.206 -169.566
48.706 104.188 -169.892
49.072 104.179 -170.193
49.438 104.177 -170.527
49.805 104.174 -170.910
50.171 104.164 -171.315
50.537 104.148 -171.699
50.903 104.130 -172.042
51.270 104.115 -172.354
51.636 104.105 -172.668
52.002 104.098 -173.009
52.368 104.088 -173.378
52.734 104.074 -173.757
53.101 104.056 -174.123
53.467 104.036 -174.466
53.833 104.019 -174.790
54.199 104.002 -175.107
54.565 103.986 -175.424
54.932 103.970 -175.740
55.298 103.954 -176.047
55.664 103.938 -176.345
56.030 103.924 -176.638
56.396 103.911 -176.937
56.763 103.897 -177.246
57.129 103.880 -177.557
57.495 103.861 -177.855
57.861 103.841 -178.128
58.228 103.823 -178.380
58.594 103.809 -178.628
58.960 103.797 -178.894
59.326 103.783 -179.185
59.692 103.765 -179.487
60.059 103.743 -179.776
60.425 103.719 179.967
60.791 103.698 179.739
61.157 103.680 179.520
61.523 103.666 179.288
61.890 103.651 179.033
62.256 103.634 178.766
62.622 103.615 178.506
62.988 103.594 178.266
63.354 103.576 178.043
63.721 103.560 177.820
64.087 103.546 177.585
64.453 103.531 177.337
64.819 103.514 177.087
65.186 103.496 176.849
65.552 103.477 176.629
65.918 103.461 176.421
66.284 103.446 176.211
66.650 103.433 175.991
67.017 103.418 175.762
67.383 103.402 175.534
67.749 103.386 175.313
68.115 103.370 175.101
68.481 103.354 174.891
68.848 103.340 174.674
69.214 103.324 174.445
69.580 103.306 174.211
69.946 103.286 173.982
70.312 103.265 173.767
70.679 103.244 173.569
71.045 103.224 173.379
71.411 103.206 173.190
71.777 103.189 172.994
72.144 103.172 172.794
72.510 103.155 172.592
72.876 103.137 172.394
73.242 103.120 172.198
73.608 103.103 172.002
73.975 103.086 171.805
74.341 103.067 171.611
74.707 103.048 171.427
75.073 103.029 171.255
75.439 103.012 171.090
75.806 102.996 170.921
76.172 102.981 170.739
76.538 102.964 170.548
76.904 102.944 170.359
77.271 102.921 170.186
77.637 102.899 170.036
78.003 102.880 169.898
78.369 102.863 169.755
78.735 102.848 169.592
79.102 102.832 169.409
79.468 102.812 169.217
79.834 102.790 169.034
80.200 102.767 168.869
80.566 102.745 168.717
80.933 102.726 168.566
81.299 102.709 168.403
81.665 102.690 168.228
82.031 102.670 168.052
82.397 102.648 167.887
82.764 102.627 167.740
83.130 102.607 167.604
83.496 102.590 167.467
83.862 102.574 167.322
84.229 102.557 167.168
84.595 102.539 167.015
84.961 102.521 166.868
85.327 102.503 166.725
85.693 102.485 166.581
86.060 102.467 166.430
86.426 102.447 166.275
86.792 102.424 166.126
87.158 102.401 165.993
87.524 102.379 165.876
87.891 102.358 165.764
88.257 102.340 165.645
88.623 102.321 165.511
88.989 102.302 165.367
89.355 102.281 165.223
89.722 102.258 165.085
90.088 102.237 164.952
90.454 102.216 164.814
90.820 102.195 164.665
91.187 102.172 164.509
91.553 102.145 164.360
91.919 102.116 164.233
92.285 102.088 164.135
92.651 102.062 164.055
93.018 102.040 163.979
93.384 102.019 163.893
93.750 101.999 163.794
94.116 101.978 163.689
94.482 101.954 163.587
94.849 101.930 163.494
95.215 101.905 163.408
95.581 101.880 163.329
95.947 101.855 163.256
96.313 101.829 163.191
96.680 101.803 163.134
97.046 101.779 163.083
97.412 101.754 163.030
97.778 101.730 162.969
98.145 101.703 162.902
98.511 101.674 162.840
98.877 101.641 162.798
99.243 101.609 162.785
99.609 101.578 162.799
99.976 101.550 162.829
100.342 101.526 162.857
100.708 101.504 162.876
101.074 101.481 162.889
101.440 101.457 162.911
101.807 101.432 162.956
102.173 101.410 163.028
102.539 101.392 163.118
102.905 101.380 163.210
103.271 101.371 163.290
103.638 101.365 163.355
104.004 101.358 163.415
104.370 101.352 163.484
104.736 101.348 163.566
105.103 101.348 163.654
105.469 101.354 163.734
105.835 101.362 163.791
106.201 101.372 163.824
106.567 101.382 163.839
106.934 101.393 163.846
107.300 101.405 163.846
107.666 101.420 163.831
108.032 101.437 163.788
108.398 101.454 163.709
108.765 101.469 163.597
109.131 101.480 163.462
109.497 101.488 163.318
109.863 101.492 163.177
110.229 101.496 163.041
110.596 101.500 162.907
110.962 101.505 162.763
111.328 101.511 162.601
111.694 101.515 162.417
112.061 101.515 162.215
112.427 101.512 162.012
112.793 101.505 161.821
113.159 101.496 161.650
113.525 101.487 161.497
113.892 101.480 161.349
114.258 101.474 161.198
114.624 101.466 161.043
114.990 101.457 160.889
115.356 101.447 160.742
115.723 101.435 160.603
116.089 101.424 160.468
116.455 101.411 160.334
116.821 101.397 160.204
117.188 101.381 160.082
117.554 101.366 159.967
117.920 101.350 159.854
118.286 101.334 159.735
118.652 101.316 159.616
119.019 101.295 159.509
119.385 101.276 159.425
119.751 101.261 159.350
120.117 101.251 159.251
120.483 101.242 159.093
120.850 101.225 158.877
121.216 101.196 158.651
121.582 101.153 158.488
121.948 101.108 158.444
122.314 101.074 158.510
122.681 101.059 158.610
123.047 101.063 158.649
123.413 101.073 158.574
123.779 101.076 158.401
124.146 101.067 158.198
124.512 101.046 158.033
124.878 101.024 157.933
125.244 101.007 157.873
125.610 100.996 157.807
125.977 100.986 157.710
126.343 100.972 157.592
126.709 100.953 157.484
127.075 100.931 157.412
127.441 100.910 157.374
127.808 100.895 157.345
128.174 100.882 157.302
128.540 100.870 157.234
128.906 100.854 157.150
129.272 100.836 157.070
129.639 100.816 157.006
130.005 100.796 156.956
130.371 100.779 156.912
130.737 100.763 156.861
131.104 100.748 156.799
131.470 100.733 156.729
131.836 100.716 156.658
132.202 100.700 156.590
132.568 100.684 156.523
132.935 100.669 156.451
133.301 100.653 156.373
133.667 100.636 156.297
134.033 100.616 156.234
134.399 100.598 156.194
134.766 100.582 156.169
135.132 100.569 156.141
135.498 100.559 156.089
135.864 100.546 156.012
136.230 100.527 155.931
136.597 100.505 155.879
136.963 100.482 155.874
137.329 100.465 155.900
137.695 100.456 155.917
138.062 100.451 155.887
138.428 100.444 155.800
138.794 100.430 155.686
139.160 100.408 155.590
139.526 100.383 155.538
139.893 100.363 155.521
140.259 100.348 155.503
140.625 100.337 155.454
140.991 100.324 155.372
141.357 100.306 155.285
141.724 100.285 155.221
142.090 100.266 155.185
142.456 100.252 155.157
142.822 100.241 155.110
143.188 100.228 155.038
143.555 100.212 154.964
143.921 100.193 154.916
144.287 100.176 154.905
144.653 100.166 154.905
145.020 100.161 154.878
145.386 100.155 154.802
145.752 100.143 154.696
146.118 100.122 154.606
146.484 100.097 154.571
146.851 100.075 154.593
147.217 100.061 154.635
147.583 100.054 154.647
147.949 100.048 154.605
148.315 100.036 154.527
148.682 100.017 154.456
149.048 99.993 154.426
149.414 99.973 154.439
149.780 99.958 154.461
150.146 99.949 154.454
150.513 99.939 154.406
150.879 99.924 154.333
151.245 99.904 154.268
151.611 99.881 154.238
151.978 99.860 154.244
152.344 99.844 154.263
152.710 99.834 154.270
153.076 99.825 154.247
153.442 99.816 154.198
153.809 99.804 154.135
154.175 99.789 154.073
154.541 99.773 154.018
154.907 99.756 153.971
155.273 99.738 153.932
155.640 99.719 153.905
156.006 99.702 153.893
156.372 99.686 153.892
156.738 99.674 153.891
157.104 99.664 153.873
157.471 99.655 153.828
157.837 99.642 153.758
158.203 99.624 153.685
158.569 99.602 153.633
158.936 99.578 153.622
159.302 99.558 153.647
159.668 99.544 153.683
160.034 99.535 153.701
160.400 99.528 153.683
160.767 99.519 153.637
161.133 99.505 153.583
161.499 99.489 153.545
161.865 99.472 153.529
162.231 99.458 153.524
162.598 99.447 153.515
162.964 99.435 153.492
163.330 99.423 153.460
163.696 99.409 153.431
164.062 99.395 153.412
164.429 99.382 153.399
164.795 99.370 153.380
165.161 99.357 153.352
165.527 99.343 153.319
165.894 99.326 153.296
166.260 99.309 153.293
166.626 99.294 153.306
166.992 99.282 153.320
167.358 99.273 153.319
167.725 99.263 153.298
168.091 99.252 153.266
168.457 99.237 153.238
168.823 99.222 153.222
169.189 99.207 153.218
169.556 99.195 153.215
169.922 99.183 153.205
170.288 99.171 153.189
170.654 99.158 153.173
171.021 99.144 153.162
171.387 99.131 153.158
171.753 99.119 153.155
172.119 99.106 153.149
172.485 99.094 153.140
172.852 99.081 153.131
173.218 99.067 153.128
173.584 99.054 153.132
173.950 99.041 153.138
174.316 99.030 153.143
174.683 99.019 153.143
175.049 99.008 153.137
175.415 98.996 153.128
175.781 98.984 153.120
176.147 98.972 153.114
176.514 98.959 153.109
176.880 98.947 153.107
177.246 98.935 153.105
177.612 98.923 153.104
177.979 98.911 153.102
178.345 98.900 153.099
178.711 98.889 153.094
179.077 98.877 153.089
179.443 98.865 153.085
179.810 98.854 153.084
180.176 98.842 153.085
180.542 98.831 153.090
180.908 98.821 153.094
181.274 98.811 153.096
181.641 98.802 153.091
182.007 98.793 153.080
182.373 98.783 153.062
182.739 98.772 153.044
183.105 98.759 153.031
183.472 98.746 153.026
183.838 98.734 153.028
184.204 98.722 153.034
184.570 98.712 153.038
184.937 98.702 153.038
185.303 98.693 153.033
185.669 98.683 153.024
186.035 98.672 153.015
186.401 98.662 153.007
186.768 98.651 153.003
187.134 98.641 153.001
187.500 98.632 152.999
187.866 98.623 152.992
188.232 98.615 152.979
188.599 98.606 152.960
188.965 98.596 152.939
189.331 98.586 152.921
189.697 98.575 152.908
190.063 98.564 152.898
190.430 98.552 152.890
190.796 98.542 152.884
191.162 98.531 152.880
191.528 98.521 152.878
191.895 98.511 152.877
192.261 98.501 152.874
192.627 98.491 152.871
192.993 98.480 152.869
193.359 98.469 152.871
193.726 98.459 152.877
194.092 98.451 152.881
194.458 98.443 152.875
194.824 98.434 152.856
195.190 98.424 152.832
195.557 98.411 152.813
195.923 98.397 152.810
